V1
                                                                                                                                         MONTENEGRO
""
""
""
" Table 8. Montenegro: Consolidated General Government Fiscal Operations, 2016–2026   "
                                     (Percent of GDP)
                                                                                          Est.                    Projections
                                                         2016     2017    2018    2019    2020    2021    2022    2023    2024    2025    2026
""
Total revenues and grants                                 41.3     40.3    41.0    42.2    43.4    43.0    38.8    38.8    38.9    38.9    38.9
 Total revenues                                           40.9     39.6    40.3    41.3    41.8    42.0    37.8    37.9    38.0    38.1    38.1
   Current revenues                                       40.8     39.4    40.1    41.2    41.7    41.8    37.7    37.7    37.8    37.9    38.0
      Taxes                                               25.6     25.7    26.2    27.2    27.0    27.5    26.7    27.0    27.0    27.0    27.0
        Personal income tax                                4.0      3.4     3.5     3.6     4.0     3.8     3.5     3.4     3.4     3.4     3.4
        Corporate income tax                               1.1      1.1     1.5     1.5     1.9     1.6     1.6     1.9     1.9     1.9     2.0
        Taxes on turnover of real estate                   0.3      0.4     0.4     0.5     0.4     0.4     0.4     0.4     0.4     0.4     0.4
        Value added tax                                   12.7     12.8    13.2    14.1    12.7    14.2    13.8    13.8    13.8    13.8    13.8
        Excises                                            4.6      5.2     4.7     4.8     4.9     4.9     5.0     5.0     5.0     5.0     5.0
        Taxes on international trade                       0.6      0.6     0.6     0.6     0.5     0.5     0.5     0.5     0.5     0.5     0.5
        Local government taxes                             2.0      2.0     2.1     1.9     2.4     1.9     1.7     1.7     1.7     1.7     1.7
        Other taxes                                        0.2      0.2     0.2     0.3     0.2     0.2     0.2     0.2     0.2     0.2     0.2
      Social security contributions                       10.5     10.3    10.0     9.8    11.5    10.4     7.6     7.5     7.5     7.6     7.6
      Nontax revenues                                      4.7      3.5     4.0     4.2     3.3     3.9     3.4     3.3     3.3     3.3     3.3
        Duties                                             0.5      0.5     0.5     0.4     0.3     0.3     0.3     0.3     0.3     0.3     0.3
        Fees                                               3.0      1.9     1.6     1.9     1.8     2.2     2.1     1.9     1.9     1.9     2.0
        Other revenues                                     1.2      1.1     1.8     1.9     1.2     1.4     1.0     1.0     1.0     1.0     1.0
   Loan repayment receipts                                 0.1      0.2     0.2     0.2     0.2     0.2     0.2     0.2     0.2     0.2     0.2
 Grants                                                    0.4      0.7     0.6     0.9     1.6     1.0     1.0     0.9     0.9     0.8     0.8
""
Total expenditures and net lending                        47.5     47.1    47.2    44.0    54.4    45.0    44.9    44.4    44.8    45.3    45.7
  Total expenditures                                      47.4     46.9    47.1    43.9    54.2    44.9    44.8    44.3    44.7    45.2    45.6
    Current expenditures                                  41.1     37.5    36.5    35.2    46.4    39.4    38.3    38.5    38.9    39.4    39.8
      Gross salaries                                      10.6     10.2     9.6     9.4    11.9    11.0    10.3    10.4    10.4    10.4    10.5
      Other personal income                                0.4      0.3     0.4     0.4     0.4     0.3     0.3     0.3     0.3     0.3     0.3
      Goods and services                                   4.1      3.4     3.5     2.6     3.6     2.8     2.6     2.6     2.6     2.6     2.6
      Current maintenance                                  0.7      0.6     0.6     0.6     0.7     0.5     0.6     0.6     0.6     0.6     0.6
      Interest payments                                    2.2      2.4     2.2     2.2     2.7     2.4     1.8     2.0     2.4     2.8     3.2
      Rent                                                 0.3      0.2     0.2     0.2     0.3     0.3     0.2     0.2     0.2     0.2     0.2
      Subsidies to enterprises                             0.7      0.7     0.7     0.7     0.9     1.0     1.2     1.1     1.1     1.1     1.1
      Other outflows 2/                                    1.0      1.0     1.1     0.9     1.2     0.9     1.0     1.0     1.0     1.0     1.0
      Social security transfers                           14.1     12.5    11.7    11.2    13.4    11.8    12.3    13.0    13.1    13.1    13.2
      Other transfers                                      6.6      5.7     6.1     5.6     8.5     6.8     6.5     6.3     6.3     6.3     6.2
      Repayment of guarantees                              0.0      0.0     0.0     0.8     0.0     0.0     0.0     0.0     0.0     0.0     0.0
      Reserves                                             0.5      0.5     0.6     0.6     2.8     1.5     1.3     0.9     0.9     0.9     0.9
    Capital expenditures                                   6.3      9.4    10.5     8.7     7.9     5.5     6.5     5.8     5.8     5.8     5.8
  Net lending                                              0.1      0.2     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.1
""
Overall Balance                                            -6.2    -6.8    -6.2    -1.8   -10.9    -2.0    -6.1    -5.6    -6.0    -6.4    -6.8
""
Financing                                                   5.2     5.0     6.3     0.6   10.9      2.0     6.1     5.6     6.0     6.4     6.8
  Domestic financing                                        2.3    -0.3    -3.7    -5.6    -8.1     7.6     6.7     1.3    -1.1    -0.1     1.2
    Central bank financing (- deposit increase)             0.3    -0.6    -4.4    -7.8    -6.1     8.8     6.2     0.5    -0.1    -0.1    -0.1
    Commercial bank financing                               3.4     0.8     0.9     1.3    -2.0    -1.0    -0.1     0.0    -0.9    -1.0     1.0
      Change in deposits (- increase)                       0.1    -0.5    -0.9    -0.4    -0.2     0.0     0.0     0.0     0.0     0.0     0.0
"      Bank loans, net                                       0.5     1.6     0.6     0.8     1.0    -1.0    -0.8    -0.9    -0.9    -0.9    -0.1"
"      Bank purchases of securities, net                     2.8    -0.2     1.2     1.0    -2.7     0.0     0.8     0.9     0.0     0.0     1.1"
    Non-bank financing                                     -1.3    -0.5    -0.1     0.9     0.1    -0.2     0.6     0.8    -0.1     0.9     0.3
  Foreign financing                                         2.6     5.1    10.9     7.0    18.5    -5.8    -0.8     4.3     7.0     6.5     5.6
    Disbursements                                           8.2     8.2    19.6    13.3    28.5     2.4     3.8     8.6    12.8    21.7    14.1
    Amortization                                           -7.8    -3.2    -9.9    -6.7   -10.1    -7.3    -4.6    -4.4    -5.8   -15.2    -8.5
    Change in foreign accounts receivable 3/                2.2     0.0     1.3     0.4     0.2
  Privatization receipts                                    0.3     0.2    -1.0    -0.8     0.5     0.1     0.1     0.0     0.0     0.0     0.0
""
Memorandum items:
 Primary balance                                           -4.0    -4.4    -4.0     0.4    -8.2     0.5    -4.2    -3.6    -3.6    -3.6    -3.6
 Current balance                                           -0.3     1.9     3.6     6.0    -4.7     2.4    -0.6    -0.8    -1.1    -1.5    -1.9
 General government debt (gross)                           66.4    66.2    71.9    78.8   107.3    88.2    79.4    79.6    82.2    85.0    88.0
" Gen. govt debt, including guarantees                      73.9    73.5    78.1    83.7   112.6    92.2    83.0    83.0    85.4    88.1    90.9"
""
Sources: Ministry of Finance; and Fund staff estimates and projections.
1/ Includes central government and local governments.
"2/ According to GFSM 1986, payments of loan guarantees or related to court rulings are recorded as government expenses."
3/ To reflect pre-payments made for construction of Bar-Boljare highway that exceed the pace of actual capital expenditure.
""
""
""
""
                                                                                                  INTERNATIONAL MONETARY FUND                     29
