V1
MONTENEGRO
""
""
""
""
"     Table 7. Montenegro: Consolidated General Government Fiscal Operations, 2016–2026 1/"
                                       (Millions of euro)
                                                                                                       Est.                    Projections
                                                                       2016       2017   2018   2019   2020     2021   2022    2023   2024     2025     2026
""
"        Total revenues and grants                                     1,635 1,732 1,911 2,090          1,817 2,067 2,060 2,187 2,291 2,398 2,516"
"         Total revenues                                               1,617 1,701 1,881 2,046          1,752 2,019 2,009 2,136 2,239 2,346 2,464"
"           Current revenues                                           1,613 1,695 1,870 2,038          1,744 2,011 1,999 2,126 2,229 2,335 2,453"
"              Taxes                                                   1,013 1,104 1,220 1,345          1,128 1,322 1,417 1,522 1,593 1,666 1,746"
                Personal income tax                                     160   146   163   180            168   183   187   194   202   211   220
                Corporate income tax                                     45    49    68    73             78    75    83   108   114   120   127
                Taxes on turnover of real estate                         13    15    18    25             16    19    19    20    21    22    23
                Value added tax                                         501   549   617   696            530   682   734   780   815   852   894
                Excises                                                 183   225   221   236            205   237   263   281   295   308   323
                Taxes on international trade                             24    25    27    29             23    26    29    31    32    33    35
                Local government taxes                                   77    86    96    95             99    89    91    97   102   106   111
                Other taxes                                               9     9     9    13             10    10    11    12    13    13    14
              Social security contributions                             414   441   466   485            480   501   401   420   443   467   494
              Nontax revenues                                           186   149   184   208            136   188   181   183   193   202   213
                Duties                                                   19    20    23    21             13    17    18    19    20    21    22
                Fees                                                    120    80    76    93             75   105   111   109   114   120   126
                Other revenues                                           47    49    86    94             49    66    52    56    59    61    65
           Loan repayment receipts                                        4     7    11     8              7     9     9    10    10    11    11
         Grants                                                          17    30    30    43             65    48    52    52    52    52    52
""
"        Total expenditures and net lending                            1,879 2,025 2,200 2,177          2,275 2,163 2,382 2,503 2,642 2,792 2,954"
"          Total expenditures                                          1,875 2,017 2,194 2,171          2,270 2,159 2,377 2,498 2,637 2,787 2,949"
"            Current expenditures                                      1,624 1,614 1,704 1,740          1,940 1,896 2,032 2,170 2,294 2,428 2,573"
              Gross salaries                                            419   438   449   463            497   530   547   584   613   643   677
              Other personal income                                      15    14    17    20             17    15    18    19    19    20    21
              Goods and services                                        161   146   161   130            150   133   139   147   153   159   166
              Current maintenance                                        26    26    26    28             31    26    32    34    36    38    39
              Interest payments                                          85   103   101   109            114   118    96   113   139   173   207
              Rent                                                       10    10    11    12             12    12    12    13    13    14    15
              Subsidies to enterprises                                   28    29    32    36             38    49    65    62    64    67    71
              Other outflows 2/                                          41    44    50    46             48    42    55    58    60    63    66
              Social security transfers                                 556   539   545   555            559   568   653   734   772   809   850
              Other transfers                                           263   243   285   275            355   328   346   356   370   386   403
              Repayment of guarantees                                     0     0     0    39              0     0     0     0     0     0     0
              Reserves                                                   21    22    27    27            119    74    71    50    53    55    58
            Capital expenditures                                        251   403   490   431            330   263   345   329   343   359   377
          Net lending                                                     4     7     6     6              5     4     5     5     5     5     5
""
        Overall Balance                                                -244       -293   -290    -88   -458      -96   -321    -316   -351     -394     -438
""
        Financing                                                       205        215    293     30     457      96    321     316     351      394     438
          Domestic financing                                             91        -12   -171   -276    -337     367    357      75     -62        -7     75
            Central bank financing (- deposit increase)                  10        -25   -207   -386    -256     421    328      29       -8       -4     -6
            Commercial bank financing                                   133         37     41     66      -83    -46      -5      1      -51      -59     65
              Change in deposits (- increase)                             4        -23    -44    -22      -10      0       0      0       -1       -1      1
"              Bank loans, net                                            18         67     28     39       41    -46    -45     -48     -50      -58      -6"
"              Bank purchases of securities, net                         111         -7     57     50    -114       0      40     50        0        0     70"
            Non-bank financing                                          -52        -23     -5     44        2     -8      34     45       -3       57     17
          Foreign financing                                             103        217    510    346     775    -278     -42    241     413      401     363
"            Disbursements                                               325        353    913    658   1,193     117    204     487     757    1,337     914"
            Amortization                                               -310       -136   -464   -331    -425    -352   -246    -246    -344     -936    -551
            Change in foreign accounts receivable 3/                     87         -1     60     20        8    -44       0      0        0        0      0
          Privatization receipts                                         11          9    -45    -40       19      7       7      0        0        0      0
""
        Memorandum items:
         Primary balance                                               -159       -190   -189     22    -344      22   -225    -202    -212    -221     -231
         Current balance                                                -11         81    166    298    -196     115    -33     -44     -65     -93     -120
""
        Sources: Ministry of Finance; and Fund staff estimates and projections.
        1/ Includes central government budget and local governments.
"        2/ According to GFSM 1986, payments of loan guarantees or related to court rulings are recorded as government expenses."
        3/ To reflect pre-payments made for construction of Bar-Boljare highway that exceed the pace of actual capital expenditure.
""
""
""
""
28    INTERNATIONAL MONETARY FUND
