V1
                                                                                                                                                      CEMAC
""
""
""
"                                          Table 2. CEMAC: National Accounts, 2016–23"
""
                                                                 2016         2017    2018      2019       2019       2020    2021    2022    2023
                                                                                                  CR
                                                                                                       1
                                                                   Est.        Est.    Est.   19/215       Proj.      Proj.   Proj.   Proj.   Proj.
""
"                                                                                        (Annual change, in percent)"
Real GDP
Cameroon                                                            4.6        3.5     4.1        4.2       3.9        3.8     4.1     4.2     4.5
Central African Republic                                            4.7        4.5     3.8        4.5       4.5        5.0     5.0     5.0     5.0
Chad                                                               -5.6       -2.4     2.4        2.4       3.0        3.9     5.8     5.4     4.0
"Congo, Republic of                                                 -2.8       -1.8     1.6        5.4       2.2        4.6     1.9     0.0     1.3"
Equatorial Guinea                                                  -8.8       -4.7    -5.7       -4.0      -5.9       -1.9     1.0    -4.7    -1.2
Gabon                                                               2.1        0.5     0.8        2.9       3.4        3.8     3.8     4.5     4.5
CEMAC                                                              -0.3        1.0     2.5        3.4       2.5        3.5     3.5     2.5     3.1
""
Nominal GDP
Cameroon                                                           5.8         5.1     5.7        5.4       5.7        5.8     5.6     5.9     6.1
Central African Republic                                           7.9        11.3     5.2        7.2       7.4        7.6     7.6     7.7     7.7
Chad                                                              -6.6        -3.2     4.8        5.1       5.0        6.8     9.0     8.4     5.8
"Congo, Republic of                                                -8.7        12.4    24.8        0.8       1.0        3.4    -1.5    -3.0     0.2"
Equatorial Guinea                                                -14.5         7.4     6.6       -6.5      -8.8       -1.5     0.5    -2.2     1.2
Gabon                                                             -2.3         4.3     8.1        3.6       6.1        4.0     4.3     5.6     5.9
CEMAC                                                             -2.2         5.1     8.2        2.8       3.0        4.4     4.4     4.2     4.9
""
Real non-oil GDP
Cameroon                                                            5.3        5.0     4.4        4.3       3.8        4.0     4.6     4.7     5.0
Central African Republic                                            4.7        4.5     3.8        4.5       4.5        5.0     5.0     5.0     5.0
Chad                                                               -6.0       -0.5     0.5        2.0       2.0        3.0     4.0     4.0     3.9
"Congo, Republic of                                                 -3.2       -6.2    -5.5        1.0       0.8        2.5     3.6     4.0     4.1"
Equatorial Guinea                                                  -4.7        1.5    -3.8       -3.1      -5.0       -0.3     7.6    -1.9     0.9
Gabon                                                               3.3        1.7     1.9        2.5       2.5        4.0     4.3     5.1     5.1
CEMAC                                                               1.3        2.4     1.8        2.7       2.2        3.3     4.7     3.9     4.4
""
Consumer price inflation (period average)
Cameroon                                                            0.9        0.6     1.1        2.1       2.4        2.4     2.0     2.0     2.0
Central African Republic                                            4.6        4.5     1.6        3.0       3.2        2.5     2.5     2.5     2.5
Chad                                                               -1.6       -0.9     4.0        2.9       1.0        3.0     3.0     3.0     3.0
"Congo, Republic of                                                  3.2        0.4     1.2        1.5       1.8        1.8     2.6     2.8     3.0"
Equatorial Guinea                                                   1.4        0.7     1.3        2.6       0.9        1.7     1.7     1.8     1.9
Gabon                                                               2.1        2.7     4.8        3.0       3.0        3.0     3.0     2.5     2.5
CEMAC                                                               1.2        0.8     2.1        2.4       2.1        2.4     2.4     2.3     2.3
""
""
End of period inflation
Cameroon                                                            0.3        0.8     2.0        2.1       2.8        2.0     2.0     2.0     2.0
Central African Republic                                            1.6        7.2     4.6        3.0      -0.3        2.5     2.5     2.5     2.5
Chad                                                               -5.0        3.1     4.4        9.1       1.5        3.0     3.0     2.9     3.0
"Congo, Republic of                                                  0.0        1.8     0.9        2.0       1.8        2.5     2.7     3.0     3.0"
Equatorial Guinea                                                   2.0       -0.2     2.6        2.6       1.6        1.7     1.7     1.8     1.9
Gabon                                                               4.1        1.1     6.3        3.0       3.0        3.0     3.0     2.5     2.5
CEMAC                                                               0.4        1.2     3.0        3.3       2.3        2.3     2.4     2.3     2.4
""
Gross national savings
Cameroon                                                          25.2        25.5    26.2       25.2      25.8       25.7    25.7    25.7    25.8
Central African Republic                                           8.2         5.7     8.5       12.6      10.5       10.6    11.2    11.1    11.3
Chad                                                               6.4        14.1    18.8       22.6      22.8       24.0    23.7    23.0    23.5
"Congo, Republic of                                                -7.0        26.2    24.3       26.4      27.8       27.4    25.3    24.7    26.2"
Equatorial Guinea                                                  3.7         6.8     6.6        7.0       6.5        7.3     7.9     8.1     8.6
Gabon                                                             24.1        24.9    27.3       30.3      30.0       31.4    30.6    31.7    32.0
CEMAC                                                             15.8        20.8    22.0       23.2      23.6       24.1    23.8    24.0    24.4
""
""
Gross domestic investment
Cameroon                                                          28.4        28.1    29.8       28.6      29.4       29.3    29.1    29.0    29.1
Central African Republic                                          13.6        13.5    16.4       16.3      16.2       16.9    16.5    16.4    16.9
Chad                                                              16.5        20.7    22.2       29.1      29.0       30.2    30.3    30.1    29.8
"Congo, Republic of                                                56.5        29.8    17.1       20.9      19.9       21.6    24.1    26.7    28.7"
Equatorial Guinea                                                 16.7        12.6    12.0       11.8      12.2       13.1    11.7    12.2    12.3
Gabon                                                             34.5        31.8    30.4       31.3      31.1       33.4    31.6    30.1    30.0
CEMAC                                                             28.7        25.4    24.5       25.7      26.0       26.9    26.8    26.9    27.2
""
Sources: Authorities' data; and IMF staff estimates and projections.
1
    Refers to the projections published in the IMF Country Report No 19/215
""
""
""
""
                                                                                                           INTERNATIONAL MONETARY FUND                  27
