V1
                                                                                                                                                                           VIETNAM
""
""
""
"              Table 4b. Vietnam: Consolidated State Budgetary Operations, 2013–2019 1/"
"                                                (In percent of GDP, unless otherwise indicated)"
                                                                                                                                                   Staff                    Staff
                                                                                                                    Estimate         Budget                   Budget
                                                                                                                                                 Estimate                 Estimate
                                                            2013          2014             2015         2016 2/            2017         2018          2018       2019          2019
"                                                                                   (In percent of GDP, unless otherwise indicated)"
Total revenue and grants                                     23.1          22.2              23.8            24.0           24.5         22.6         24.5        22.3         23.4
  Tax revenue                                                19.1          18.2              18.0            18.0           18.6         18.6         18.5        18.3         18.2
     Oil revenues                                             3.4           2.5               1.6             0.9            1.0          0.6          1.0         0.7          0.7
        CIT                                                   2.5           1.8               1.2             0.6            0.7          0.4          0.7         0.5          0.5
        Natural resource tax                                  0.8           0.7               0.4             0.3            0.3          0.2          0.3         0.2          0.2
     Non-oil tax revenues                                    15.8          15.7              16.4            17.1           17.6         17.9         17.5        17.6         17.5
        PIT                                                    1.3           1.2              1.4             1.5             1.6         1.8          1.7         1.9          1.8
        CIT                                                    3.9           3.4              3.6             3.6             3.6         3.9          3.9         4.0          4.0
        VAT                                                    5.8           6.1              6.0             6.0             6.3         6.4          6.2         6.1          6.2
        Trade                                                  2.2           2.4              2.4             2.1             1.9         1.6          1.6         1.3          1.3
       Others                                                  2.5           2.5              3.1             3.9             4.1         4.2          4.1         4.2          4.2
  Grants                                                       0.3           0.3              0.3             0.2             0.2         0.1          0.1         0.1          0.0
  Other revenue                                                3.7           3.7              5.4             5.8             5.8         4.0          5.9         4.0          5.2
""
Expenditure                                                  30.5          28.5              30.2            27.8           29.2         27.3         28.8        26.8         27.8
  Expense                                                    21.6          20.4              21.4            20.4           21.3         20.3         20.8        19.9         20.1
    Interest                                                  1.5           1.7               2.0             1.9            2.0          2.0          2.0         2.1          2.1
    Other expense                                            20.1          18.7              19.4            18.5           19.3         18.2         18.9        17.3         17.5
      Of which: Wages                                          …             …                 …               …             9.0          9.1          9.1         8.9          8.9
  Net acquisition of non-financial assets                     9.0           8.1               8.8             7.4            8.0          7.0          8.0         6.9          7.6
""
Net lending (+)/borrowing (-)                                 -7.4          -6.3             -6.4            -3.9            -4.7         -4.6        -4.4         -4.5        -4.4
""
Net incurrence of liabilities                                  7.4           6.3              6.4             3.9             2.7         4.6          4.4         4.3          4.4
 Net incurrence of financial liabilities                       7.4           8.2              5.2             5.7             3.8         3.1          2.8         3.8          3.8
   Domestic                                                    5.2           5.7              3.6             4.6             2.8         2.2          1.9         2.8          2.8
      Securities                                               3.7           3.5              2.5              …               …           …            …           …            …
      Loans                                                    1.5           2.3              1.1              …               …           …            …           …            …
   Foreign                                                     2.2           2.5              1.6             1.2             1.0         0.9          0.9         1.0          1.0
      Disbursement                                             2.9           3.5              2.1             1.9             1.6         1.2          1.2         1.4          1.4
      Amortization                                             0.8           1.0              0.5             0.7             0.6         0.7          0.7         0.7          0.7
 Net acquisition of financial assets                           0.1          -1.9              1.2            -1.9            -1.1         1.6          1.6         0.5          0.6
      Of which: Privitazation receipts                          …             …                 …             0.7             1.2         1.2          1.2         0.8          0.8
""
Memorandum items:
 VSS net lending/borrowing                                     …             …                 …               …             1.5           …           1.9          …           1.8
 EBF revenue (net government transfers)                        …             …                 …               …             7.0           …           6.8          …           6.8
 EBF expenditure (net government transfers)                    …             …                 …               …             5.0           …           4.9          …           5.1
 Net lending/borrowing including EBFs                          …             …                 …               …            -2.9           …          -2.6          …          -2.6
  Public and publicly guaranteed debt                        51.7          54.7              57.1            59.7           58.2         55.6         55.6        54.4         54.4
  Primary balance                                            -5.9          -4.6              -4.5            -1.9           -2.7         -2.6         -2.4        -2.4         -2.3
  Non-oil primary balance                                    -9.3          -7.0              -6.1            -2.8           -3.7         -3.3         -3.4        -3.2         -3.0
  Cyclically Adjusted Primary Balance                         -5.9          -4.6             -4.6            -2.8            -3.0           …          -2.5          …          -2.3
"  Nominal GDP (in trillions of dong)                        3,584         3,938            4,193           4,503           5,006        5,535        5,535       6,084        6,084"
""
Sources: Vietnamese authorities; and IMF staff estimates and projections.
1/ Government Finance Statistics 2001 presentation. The baseline projections include assumptions of lower trade-related tax revenue due to
"international trade agreements, gradual improvements in tax collection, and current plans for SOE equitization/divestment. Figures consolidate central"
"and provincial government accounts, but exclude net lending of Vietnam Development Bank and revenue and exenditure of Vietnam Social Security"
and other extra-budgetary funds.
2/ Expenditure includes 66 trn of 2015 revenue overperformance by local governments equally split between capital and current expenditure.
3/ Wages are staff estimates.
""
""
""
""
                                                                                                                         INTERNATIONAL MONETARY FUND                                   31
