V1
32
""
""
""
""
                                                                                                                                                                                                                                                                                                                                 BOSNIA AND HERZEGOVINA
"                                                                        Table 4c. Bosnia and Herzegovina: Entity Governments Statement of Operations, 2019–27"
                                                                                                                                                                             (Percent of GDP)
NTERNATIONAL MONETARY FUND
""
""
""
""
                                                                                                                Federation                              Republika Srpska                                 Federation                              Republika Srpska
                                                                                                                                                                                                                                                                                           Bosnia and Herzegovina
                                                                                                           Central Government                          Central Government                           General Government                          General Government
                                                                                              2019       2020   2021    2022    2023   2027   2019   2020   2021   2022     2023   2027   2019    2020   2021    2022    2023   2027   2019   2020   2021   2022     2023   2027   2019   2020   2021   2022    2023      2027
                             Revenue                                                              8.3    16.9   16.8    16.9    17.9   17.4   26.3   25.8   27.2   26.3     27.3   27.4   38.6    37.9   38.4    38.3    39.2   39.7   40.9   40.6   42.7   40.6     41.6   42.2   41.9   41.3   42.4   41.5    42.3      42.4
                                Taxes                                                             7.3     6.6    7.0     6.6     7.7    7.1   16.2   15.6   16.8   16.1     17.1   17.2   19.8    18.3   19.5    18.8    19.7   20.2   22.5   21.6   23.3   22.0     23.0   23.5   23.0   21.8   23.1   22.0    22.9      23.0
                                   Direct taxes                                                   0.4     0.4    0.3     0.3     0.3    0.3    3.4    3.4    3.3    3.5      3.5    3.5    3.7     3.7    3.7     3.7     3.7    3.7    4.1    4.1    4.0    4.2      4.2    4.2    3.8    3.8    3.8    3.8     3.8       3.8
                                   Indirect taxes                                                 6.8     6.3    6.7     6.3     7.4    6.8   12.6   11.9   13.2   12.4     13.3   13.5   16.2    14.6   15.8    15.1    16.0   16.5   18.1   17.2   19.0   17.5     18.5   19.0   19.1   17.9   19.2   18.1    18.9      19.1
                                Social security contributions                                     0.0     9.1    8.9     8.9     8.9    8.9    7.9    8.4    8.6    8.6      8.6    8.6   15.9    16.5   16.0    16.0    16.0   16.0   14.3   15.1   15.3   14.9     14.9   14.9   15.1   15.7   15.6   15.4    15.4      15.4
                                Grants                                                            0.3     0.3    0.1     0.2     0.2    0.2    0.7    0.4    0.2    0.2      0.2    0.2    0.4     0.3    0.2     0.3     0.3    0.3    0.7    0.5    0.3    0.2      0.2    0.2    0.5    0.4    0.3    0.3     0.3       0.3
                                Other revenue                                                     0.7     0.8    0.8     1.1     1.1    1.2    1.5    1.4    1.6    1.4      1.4    1.4    2.4     2.8    2.7     3.2     3.2    3.3    3.4    3.4    3.8    3.5      3.5    3.5    3.2    3.3    3.4    3.7     3.7       3.7
""
                             Expenditure                                                          7.2    19.0   16.6    18.6    18.3   18.1   26.7   30.6   28.9   29.3     29.0   29.4   37.3    42.4   37.7    38.8    38.5   38.9   40.2   45.9   43.0   42.7     42.5   43.4   40.5   46.0   41.7   42.1    41.7      41.9
                                Expense                                                           6.5    18.1   16.0    17.3    17.0   17.0   24.9   28.9   27.5   27.8     27.5   27.7   34.3    37.8   33.9    34.9    34.7   35.4   35.6   39.2   38.4   38.3     38.0   38.7   36.9   40.5   37.5   38.0    37.6      38.0
                                   Compensation of employees                                      1.0     1.2    1.1     1.1     1.1    1.1    6.7    7.4    7.2    7.8      7.7    7.6    8.6     9.3    8.6     8.8     8.9    9.2    8.9    9.8    9.5   10.2     10.2   10.5   10.6   11.4   10.8   11.1    11.0      11.0
                                   Use of goods and services                                      0.3     0.4    0.4     0.6     0.6    0.6    1.4    1.5    1.5    1.5      1.5    1.5    8.4     8.8    8.4     8.6     8.6    8.7    3.3    3.4    3.2    3.1      3.1    3.0    7.2    7.5    7.1    7.3     7.2       7.2
                                   Social benefits                                                2.0    12.5   11.6    11.8    11.6   11.6   12.1   12.8   12.6   12.9     12.7   12.6   13.2    14.8   13.6    13.4    13.1   13.3   18.9   20.3   20.4   20.4     20.1   20.1   14.8   16.3   15.5   15.4    15.1      15.3
                                   Interest                                                       0.5     0.5    0.4     0.5     0.6    0.7    1.0    1.0    1.0    0.7      0.8    1.2    0.6     0.5    0.5     0.6     0.7    0.8    1.2    1.2    1.2    0.9      1.0    1.4    0.8    0.7    0.7    0.7     0.7       1.0
                                   Subsidies                                                      0.5     1.2    0.9     0.6     0.5    0.5    1.0    2.0    1.3    0.9      0.9    0.9    1.4     2.4    2.1     1.8     1.7    1.7    1.4    2.4    1.7    1.3      1.3    1.3    1.4    2.4    2.0    1.7     1.6       1.6
                                   Other expense                                                  0.4     0.6    0.2     1.2     1.2    1.1    1.1    1.3    1.7    1.6      1.6    1.6    2.1     2.0    0.7     1.8     1.8    1.6    1.9    2.1    2.4    2.4      2.4    2.4    2.1    2.1    1.4    2.0     2.0       1.9
                                Net acquisition of nonfinancial assets                            0.7     1.0    0.5     1.2     1.2    1.1    1.8    1.7    1.4    1.5      1.6    1.6    3.1     4.5    3.8     3.9     3.8    3.5    4.7    6.7    4.6    4.5      4.5    4.7    3.6    5.4    4.1    4.0     4.1       3.9
                                   Acquisition of nonfinancial assets                             0.7     1.0    0.7     1.2     1.2    1.1    1.8    1.8    1.5    1.6      1.6    1.7    3.2     4.6    4.1     4.0     3.9    3.6    4.8    6.9    4.8    4.7      4.7    4.9    3.8    5.6    4.4    4.2     4.2       4.0
                                       Foreign financed capital spending                          0.6     0.8    0.7     1.1     1.1    0.9    0.4    0.4    0.3    0.4      0.4    0.5    1.7     2.6    2.5     2.5     2.4    2.1    1.5    1.3    0.8    1.0      1.0    1.1    1.6    2.1    1.9    1.9     1.9       1.7
