V1
                                                                                                                                 GREECE
""
""
"                          Table 3. Greece: General Government Operations, 2019–27   "
                                              2019        2020       2021       2022       2023         2024     2025    2026      2027
""
                                                                                                   Projections
""
                                                                                  (Billions of euros)
Revenue                                         88.0       81.0       89.4      98.0        99.6        102.9    104.4   106.7     107.6
  Indirect taxes                                31.7       27.2       30.4      34.1        34.5         35.2     35.2    35.9      36.9
  Direct taxes                                  17.8       15.2       16.9      18.5        19.0         20.1     20.7    21.4      22.0
  Social contributions                          26.7       25.4       27.3      28.1        28.4         29.2     30.2    31.1      32.0
  Other current revenue                          3.4        3.5        3.8       3.8         4.1          4.2      3.9     4.1       4.4
  Sales                                          5.4        5.1        5.4       5.3         5.9          6.0      5.9     6.2       6.4
  Capital revenue                                3.1        4.5        5.8       8.2         7.7          8.1      8.4     8.0       5.9
Primary expenditure                             82.1       94.1       99.5     101.7        97.7        100.0    101.0   102.6     102.8
  Social benefits                               39.5       39.5       41.0      42.3        43.0         43.5     44.1    45.0      45.8
  Subsidies                                      1.8        5.8        8.5       4.6         2.7          2.6      2.2     2.4       2.4
  Other current expenditure                      2.9        3.2        3.6       5.3         4.5          5.0      5.0     5.0       5.5
  Compensation of employees                     21.9       22.3       22.5      24.1        24.2         24.6     25.1    25.4      26.2
  Intermediate consumption                       8.6        9.1       10.2      12.2        10.4         10.7     11.0    11.2      11.3
  Investment                                     4.6        5.3        6.6      11.1        10.9         11.6     11.8    11.6       9.6
  Capital transfers payable                      2.8        9.0        7.0       2.0         2.1          2.0      2.0     2.0       2.0
Primary balance (accrual)                        5.9      -13.1      -10.0       -3.8        1.8          2.9      3.4     4.1       4.7
  Cash basis                                     6.4      -16.0       -9.2       -6.4       -1.5          0.0      2.7     2.3       3.3
Interest 2/                                      5.5        5.0        4.5        5.4        5.8          5.9      6.0     6.3       6.5
Overall balance                                  0.4      -18.1      -14.5       -9.1       -4.0         -3.1     -2.7    -2.2      -1.8
Gross debt 3/                                 340.1      351.2      364.6      371.1       372.9        372.0    374.0   379.2     380.1
                                                                                  (Percent of GDP)
Total primary revenue                           48.0       49.0       48.9      48.4        47.4         47.3     46.4    45.9      44.9
  Indirect taxes                                17.3       16.4       16.6      16.8        16.4         16.2     15.7    15.5      15.4
  Direct taxes                                   9.7        9.2        9.2       9.1         9.0          9.2      9.2     9.2       9.2
  Social contributions                          14.5       15.4       14.9      13.9        13.5         13.5     13.4    13.4      13.4
  Other current revenue                          1.9        2.1        2.1       1.9         1.9          1.9      1.7     1.8       1.8
  Sales                                          2.9        3.1        2.9       2.6         2.8          2.8      2.6     2.7       2.7
  Capital revenue                                1.7        2.8        3.2       4.1         3.7          3.7      3.7     3.4       2.5
Total primary expenditure                       44.8       56.9       54.4      50.3        46.5         46.0     44.9    44.2      43.0
  Social benefits                               21.6       23.9       22.4      20.9        20.4         20.0     19.6    19.4      19.1
  Subsidies                                      1.0        3.5        4.6       2.3         1.3          1.2      1.0     1.0       1.0
  Other current expenditure                      1.6        1.9        2.0       2.6         2.1          2.3      2.2     2.2       2.3
  Compensation of employees                     12.0       13.5       12.3      11.9        11.5         11.3     11.1    10.9      10.9
  Intermediate consumption                       4.7        5.5        5.6       6.0         4.9          4.9      4.9     4.8       4.7
  Investment                                     2.5        3.2        3.6       5.5         5.2          5.3      5.2     5.0       4.0
  Capital transfers payable                      1.5        5.4        3.8       1.0         1.0          0.9      0.9     0.9       0.8
Primary balance (accrual)                        3.2       -7.9       -5.5       -1.9        0.9          1.3      1.5     1.8       2.0
Interest 2/                                      3.0        3.0        2.5        2.7        2.8          2.7      2.7     2.7       2.7
Overall balance                                  0.2      -10.9       -8.0       -4.5       -1.9         -1.4     -1.2    -0.9      -0.7
Gross debt 3/                                 185.6      212.4      199.4      183.4       177.4        171.1    166.3   163.3     158.8
""
Memorandum item:
 Nominal GDP (billions of euros)              183.3      165.3      182.8      202.3       210.2        217.4    224.9   232.2     239.4
""
Sources: ELSTAT; Ministry of Finance; and IMF staff estimates.
1/ Based on the primary balance definition outlined in the EU enhanced surveillance framework with Greece.
"2/ On an accrual basis, inclusive of deferred interest but excluding swaps-related cash flows."
3/ General government debt includes the stock of deferred interest.
""
""
""
""
                                                                                           INTERNATIONAL MONETARY FUND               35
