V1
                                                                                                                                                         KINGDOM OF LESOTHO
""
""
""
"           Table 3. Lesotho: Fiscal Operations of the Central Government, 2018/19–2027/281,2"
                                             (Percent of GDP)
                                                            2018/19      2019/20         2020/21              2021/22      2022/23      2023/24      2024/25   26       2026/27      2027/28
                                                              Act.         Act.      RCF/RFI    Act.            Est.                                    Projections
""
Revenue                                                          50.0        48.4         50.0       55.3           46.2      47.0         47.0         47.8      46.6        46.5         46.3
 Tax revenue 3                                                   23.1         22.1        17.3        20.1          20.9       22.6         22.6        22.5      22.5         22.6        22.5
"    Taxes on income, profits, and capital gain                   12.7         11.9         9.5        11.0          10.7       11.9         11.8        11.7      11.7         11.8         11.7"
       Taxes on property                                          0.0          0.0         0.0         0.0           0.0        0.0          0.0         0.0       0.0          0.0          0.0
       Taxes on goods and services                               10.2         10.2         7.8         9.1          10.3       10.7         10.8        10.8      10.8         10.8         10.8
       Taxes on international trade                               0.1          0.0         0.0         0.0           0.0        0.0          0.0         0.0       0.0          0.0          0.0
       Other taxes                                                0.0          0.0         0.0         0.0           0.0        0.0          0.0         0.0       0.0          0.0          0.0
    Grants                                                        4.3          3.7         3.1         3.1           4.2        5.6          2.8         2.9       2.9          2.6          2.5
       Budget Support                                             0.7          0.7         0.7         0.4           0.5        0.4          0.3         0.3       0.3          0.3          0.3
       Project grants                                             3.5          3.0         2.4         2.7           3.7        5.3          2.5         2.6       2.6          2.3          2.2
    Non-tax revenue                                               5.5          4.3         4.1         5.4           4.7        5.3          5.2         5.3       5.2          5.3          5.3
       Property Income                                            2.1          1.6         1.0         1.9           1.3        1.8          1.8         1.8       1.8          1.8          1.8
       Sales of goods and services                                3.4          2.7         3.1         3.6           3.4        3.5          3.4         3.5       3.5          3.5          3.5
       Other non-tax revenue                                      0.0          0.0         0.0         0.0           0.0        0.0          0.0         0.0       0.0          0.0          0.0
    SACU                                                         17.2         18.3        25.4        26.6          16.4       13.5         16.3        17.0      16.0         16.0         16.0
""
Expense                                                          40.8        39.9         47.0       43.4           39.5      40.1         40.7         40.0      38.3        38.2         38.2
 Compensation of employees                                       18.8        17.4         18.9       17.9           17.4      19.7         20.3         19.7      18.9        18.8         18.8
   Wages and salaries                                            17.2        16.1         17.6       16.3           15.7      18.9         18.3         17.8      17.4        17.3         17.3
   Social contributions                                           1.6         1.4          1.3        1.6            1.7       0.8          2.0          1.9       1.5         1.5          1.5
    Use of goods and services                                      9.7         9.3        11.9         6.9           5.8        6.8          6.7          6.6      6.6          6.6          6.8
    Interest payments                                              1.4         1.4         1.5         1.6           1.7        1.3          1.7          1.9      2.1          2.3          2.3
     Domestic                                                      0.7         0.7          0.6        0.8           0.9        0.6          0.9          1.0      1.2          1.3          1.3
     External                                                      0.7         0.7          0.8        0.8           0.8        0.7          0.8          0.8      0.9          1.0          1.0
    Subsidies                                                      0.9         1.0          1.5        3.1           2.6        1.3          1.2          1.2      1.2          1.2          1.2
    Grants                                                         2.7         3.3          3.2        5.7           3.8        3.6          3.5          3.5      2.6          2.6          2.6
    Social benefits                                                5.4         5.0          7.5        5.5           5.2        4.5          4.4          4.3      4.2          4.1          4.1
"     Of which, Poverty-reducing social spending                    0.0         0.0            ...      1.3           1.4        1.4          1.5          1.5      1.5          1.5          1.5"
    Other expenses                                                 2.0         2.5          2.5        2.8           3.1        3.0          2.9          2.9      2.7          2.5          2.4
     Of which: Tertiary education loan bursary scheme              1.8         2.2            ...      2.6           2.7        2.6          2.3          2.0      1.7          1.4          1.2
""
Non-financial Assets                                             14.0        15.9         10.2       11.6           13.6      14.7         13.2         13.3      12.3        10.6          9.9
 Domestically financed                                            8.1        10.7          3.8        5.5            6.5       4.4          4.3          4.2       4.2         4.2           4.3
    Externally financed                                            5.9         5.2          6.5        6.1           7.1       10.3          8.8          9.1      8.0          6.3          5.5
""
Net Lending(+)/Borrowing (-) (Overall Fiscal Balance)            -4.8         -7.5        -7.3         0.3          -6.9       -7.8         -6.8        -5.5      -4.0         -2.3         -1.7
""
Transactions in Financial Assets and Liabilities                 -6.7         -6.7        -7.3         0.2          -4.0       -7.8         -6.8        -5.5      -4.0         -2.3         -1.7
 Financial assets                                                -1.7         -5.5        -4.1         0.4           1.6       -2.5         -1.2        -0.2       0.7          1.3          1.2
   Domestic                                                      -1.7         -5.6        -4.1         0.4           1.6       -2.5         -1.2        -0.2       0.7          1.3          1.2
       Deposits                                                   -1.8        -5.6         -4.1        0.4           1.6       -2.5         -1.2         -0.2      0.7          1.3          1.2
