V1
      CAMEROON
""
""
""
"                                               Table 2b. Cameroon: Central Government Operations, 2019–26"
                                                                    (In percent of GDP)
                                                                               2019                        2020                                     2021                                2022                  2023          2024         2025          2026
                                                                                          Rev. Budget      Prog.         Est.         Rev. Budget    Prog.         Proj.       Budget            Proj.         Proj.        Proj.         Proj.        Proj.
""
Total revenue and grants                                                          15.4           12.9           13.7        13.4            13.6         14.6         13.9          14.6         14.9          15.9         16.3          16.6         17.1
  Total revenue                                                                   14.8           12.4           13.6        13.2            13.1         14.3         13.6          14.1         14.4          15.6         15.9          16.4         17.0
     Oil sector revenue                                                            2.5            1.2            1.9         1.8             1.6          2.2          1.9           2.1          2.4           2.5          2.3           2.0          1.9
     Non-oil sector revenue                                                       12.3           11.2           11.7        11.4            11.6         12.1         11.7          12.0         12.0          13.1         13.6          14.4         15.1
        Direct taxes                                                               3.1                           3.2         3.1                          2.6          2.5                        2.6           2.9          3.2           3.5          3.9
        Special tax on petroleum products                                          0.6                           0.6         0.6                          0.6          0.5                        0.6           0.8          0.6           0.7          0.7
        Other taxes on goods and services                                          6.2                           5.6         5.4                          6.0          5.7                        5.6           6.4          6.7           6.9          7.2
        Taxes on international trade                                               1.7                           1.5         1.5                          2.1          2.3                        2.4           2.2          2.2           2.3          2.4
        Non-tax revenue                                                            0.7             0.9           0.8         0.8             0.9          0.8          0.7           0.8          0.8           0.8          0.9           1.0          1.0
  Total grants                                                                     0.6             0.5           0.2         0.1             0.4          0.3          0.3           0.5          0.5           0.3          0.3           0.2          0.1
     Projects                                                                      0.2             0.1           0.1         0.1             0.1          0.1          0.1           0.1          0.1           0.1          0.1           0.1          0.1
     Other                                                                         0.4             0.3           0.1         0.1             0.3          0.1          0.1           0.4          0.4           0.2          0.2           0.0          0.0
Total expenditure                                                                 18.7           17.3           17.0        16.6            16.4         17.9         17.0          16.6         16.7          16.2         16.8          16.8         17.6
  Current expenditure                                                             11.6           10.9           11.0        10.8            10.3         11.4         10.9          10.5         10.6          10.2         10.3          10.3         10.4
     Wages and salaries                                                            4.4            4.6            4.4         4.3              4.3          4.4          4.3           4.2          4.2           4.0          4.0          4.0          4.0
     Goods and services                                                            3.0            3.0            3.2         3.1              2.8          3.2          2.9           2.9          2.9           2.9          3.0          3.1          3.1
     Subsidies and transfers                                                       3.2            2.4            2.5         2.5              2.1          2.6          2.5           2.4          2.6           2.5          2.5          2.5          2.6
     Interest                                                                      1.0            0.9            0.9         0.8              1.1          1.2          1.2           0.9          0.9           0.7          0.7          0.7          0.7
        External                                                                   0.8            0.7            0.6         0.6              0.8          0.9          0.9           0.6          0.6           0.5          0.5          0.5          0.5
        Domestic                                                                   0.2            0.2            0.3         0.3              0.3          0.3          0.3           0.3          0.3           0.2          0.2          0.2          0.2
  Capital expenditure                                                              6.9            5.6            5.1         4.9              5.4          5.6          5.4           5.5          5.5           5.8          6.2          6.4          7.2
     Domestically financed investment                                              2.7            2.4            2.7         2.7              2.3          2.4          2.3           2.5          2.5           2.7          3.0          3.2          4.0
     Foreign-financed investment                                                   4.0            3.1            2.2         2.2              2.9          3.0          2.9           2.9          2.9           3.0          3.1          3.1          3.1
     Rehabilitation and participation                                              0.2            0.1            0.1         0.1              0.1          0.1          0.1           0.1          0.1           0.1          0.1          0.1          0.1
  Net lending                                                                      0.2            0.0            0.2         0.2             -0.1         -0.1         -0.1          -0.1         -0.1          -0.1         -0.1          0.0          0.0
  COVID-19-related spending                                                        0.0            0.8            0.7         0.7              0.4          0.5          0.4           0.2          0.2           0.0          0.0          0.0          0.0
  COVID-19 vaccine procurement and delivery                                        0.0            0.0            0.0         0.0              0.0          0.3          0.1           0.2          0.2           0.0          0.0          0.0          0.0
  Local production stimulus fund                                                   0.0            0.0            0.0         0.0              0.2          0.1          0.1           0.2          0.2           0.2          0.2          0.0          0.0
  Decentralization addendum special account                                        0.0            0.0            0.0         0.0              0.1          0.1          0.1           0.1          0.1           0.1          0.1          0.0          0.0
""
Overall balance (payment order basis)
  Excluding grants                                                                 -3.8           -4.9            -3.4       -3.3            -3.2        -3.7         -3.4          -2.5          -2.4          -0.6         -0.8          -0.4         -0.6
  Including grants                                                                 -3.2           -4.5            -3.3       -3.2            -2.8        -3.4         -3.1          -1.9          -1.8          -0.3         -0.5          -0.2         -0.5
CEMAC reference fiscal balance                                                     -4.1            0.0            -3.3      -3.2             0.0         -3.8         -3.3          -2.3          -2.5         -1.2          -1.0         -0.3          -0.5
Adjustment to cash basis                                                            0.4           -0.3            -0.4      -0.4            -0.3         -0.4         -0.4          -0.4          -0.4         -0.5          -0.3         -0.3           0.0
  Unexecuted payment orders (-=reduction)                                           0.0            0.0             0.0       0.0             0.0          0.0          0.0           0.0           0.0          0.0           0.0          0.0           0.0
  Floats and arrears (- = reduction)                                                0.4           -0.3            -0.4      -0.4            -0.3         -0.4         -0.4          -0.4          -0.4         -0.5          -0.3         -0.3           0.0
    o/w Arrears (- = reduction)                                                     0.5           -0.1            -0.3      -0.3            -0.1         -0.3         -0.3          -0.2          -0.2         -0.2           0.0          0.0           0.0
    o/w Floats (- = reduction)                                                      0.0           -0.2             0.0       0.0            -0.2          0.0          0.0          -0.1          -0.1         -0.2          -0.2         -0.2           0.0
    o/w other arrears 1/                                                           -0.1            0.0             0.0       0.0             0.0         -0.1         -0.1          -0.1          -0.1         -0.2          -0.1         -0.1           0.0
""
Overall balance (cash basis)
  Excluding grants                                                                 -3.4           -5.2            -3.8       -3.7            -3.5        -4.1         -3.8          -2.8          -2.7          -1.2         -1.2          -0.6         -0.6
  Including grants                                                                 -2.8           -4.8            -3.6       -3.5            -3.1        -3.8         -3.5          -2.3          -2.2          -0.8         -0.8          -0.4         -0.5
Financing                                                                           2.8            2.1             3.6        3.5             1.6         2.0          2.0           0.8           1.0           0.0          0.5           0.4          0.5
"   External financing, net                                                          3.2            1.4             1.2        1.2             1.2         1.7          1.6           0.8           0.8           0.9          1.2           1.3          1.4"
      Amortization                                                                 -1.4           -1.5            -1.0       -0.9            -1.6        -3.0         -3.1          -1.9          -1.9          -1.9         -1.7          -1.6         -1.5
      Drawings                                                                      4.6            2.9             2.2        2.1             2.8         4.8          4.6           2.8           2.8           2.9          2.9           3.0          3.0
       Eurobond                                                                                                                                           1.9          1.8           0.0           0.0           0.0          0.0           0.0          0.0
"   Domestic financing, net                                                         -0.4            0.7             2.4          2.4          0.4          0.3          0.5           0.0           0.2          -0.9         -0.7          -0.9         -1.0"
      Banking system                                                                1.4            1.2             3.0          2.9          1.5          1.7          2.0           1.7           1.9           1.0          0.7           0.5          0.4
         Central Bank                                                                                                                                                  0.6           0.4           0.6          -0.2         -0.4          -0.6         -0.6
          SDR Allocation                                                                                                                                               0.2           0.3           0.3           0.0          0.0           0.0          0.0
         Commercial Banks                                                           0.0            0.0             0.0        0.0             0.0         0.1          1.4           1.3           1.3           1.2          1.2           1.1          1.0
