V1
                                                                                                                                                           NIGERIA
""
""
""
"                            Table 5. Nigeria: Government Operations, 2018–27"
                                              (Percent of GDP)
                                                              2018    2019       2020 2021           2022       2023    2024 2025            2026 2027
                                                                                                                       Projections
""
Consolidated Government
Total revenue                                                   8.5        7.8    6.5      7.3        8.4        8.9        8.3        8.0    7.7   7.5
 Oil revenue                                                    2.8        4.4    2.4      2.8        3.6        4.0        3.4        3.0    2.6   2.4
 Non-oil revenue                                                4.0        4.1    4.1      4.5        4.8        4.9        4.9        5.0    5.1   5.1
""
Total expenditure                                              12.8       12.5   12.1     13.3       14.6       14.5       14.1       13.8   13.7 13.7
 Federal government expenditure                                 6.1        6.7    7.0      7.3        7.4        7.7        7.6        7.4    7.5   7.6
   of which COVID-19 fund                                                         0.3
 State and local government                                     5.4        5.0    4.6      4.5        4.5        4.9        4.9       4.9     4.9   4.8
   of which COVID-19 fund                                                         0.1
" Extrabudgetary funds, ECA and implicit fuel subsidies          1.3        0.8    0.5      1.4        2.7        1.9        1.6        1.5    1.3   1.3"
 Fuel Subsidy (in percent of GDP)                               0.5        0.4    0.1      1.1        2.2        1.3        0.9        0.9    0.7   0.6
Overall balance                                                -4.3       -4.7    -5.6    -6.1       -6.2       -5.6       -5.7       -5.8   -6.0   -6.2
Non-oil primary balance                                        -7.2       -6.7    -5.9    -6.4       -7.5       -7.2       -6.5       -6.1   -5.6   -5.3
""
Financing                                                       4.3        4.7    5.6      6.0        6.2        5.6        5.7        5.8    6.0   6.2
 External                                                       1.4        0.5    1.3      1.8        1.1        0.6        1.0        1.0    1.2   0.9
   Borrowing                                                    1.6        0.6    1.8      2.0        1.2        1.0        1.5        1.4    1.4   1.2
    o.w.RFI                                                                       0.9 …          …          …          …          …
   Amortization                                                -0.2       -0.1    -0.5    -0.2       -0.1       -0.4       -0.5       -0.4   -0.2   -0.3
 Domestic                                                       2.6        4.5    3.2      3.4        5.2        5.1        4.8        4.9    4.9   5.2
   Bank financing                                               1.1        3.5    0.8      1.6        3.5        3.4        3.1        3.1    3.0   3.2
   Nonbank financing                                            1.2        0.6    1.4      1.7        1.5        1.6        1.7        1.8    1.9   2.0
   Other financing                                              0.3        0.4    1.1      0.2        0.2        0.1        0.0        0.0    0.0   0.0
Asset Disposal                                                  0.1        0.0    0.0      0.1        0.1        0.1        0.0        0.0    0.0   0.0
Statistical discrepancy                                         0.3       -0.3    1.0      0.9        0.0        0.0        0.0       0.0     0.0   0.0
Federal Government
""
Total revenue                                                   2.8        3.1    2.5      2.7        2.5        3.0        2.9        2.8    2.7   2.6
 Oil revenue                                                    1.6        1.5    0.9      0.9        0.6        1.2        1.1        0.9    0.8   0.8
 Non-oil revenue                                                1.2        1.5    1.5      1.8        1.8        1.8        1.8        1.8    1.9   1.8
""
 Total expenditure                                              7.0        7.5    7.5      7.9        7.8        7.8        7.9        7.7    7.9   7.9
   Recurrent expenditure                                        5.7        6.1    6.4      6.0        6.1        5.9        6.2        6.2    6.3   6.5
     Personnel                                                  1.9        1.8    2.1      1.9        2.0        2.0        2.0        2.0    2.0   2.0
     Overheads                                                  0.4        0.8    0.8      0.6        0.9        0.9        0.9        0.8    0.6   0.6
      of which COVID-19 fund                                                      0.1
     Interest                                                   1.7        1.7    2.1      2.3        2.4        2.4        2.6        2.7    3.0   3.3
     Transfers                                                  1.5        1.5    1.1      1.0        0.7        0.6        0.7        0.6    0.7   0.6
      of which COVID-19 fund                                                      0.1
     Arrears clearance                                          0.3        0.4    0.3      0.1        0.1        0.0        0.0        0.0    0.0   0.0
   Capital expenditure                                          1.3        1.4    1.0      1.9        1.7        1.9        1.7        1.6    1.6   1.4
     of which COVID-19 fund                                                       0.1
""
Overall balance                                                -4.2       -4.5    -5.0    -5.2       -5.3       -4.9       -5.0       -5.0   -5.2   -5.3
""
Financing                                                       4.2        4.5    5.0      5.2        5.3        4.9        5.0        5.0    5.2   5.3
 External                                                       1.7        0.5    1.3      1.8        1.1        0.6        1.0        1.0    1.2   0.9
 Domestic                                                       2.5        4.6    2.6      3.1        4.2        4.3        4.0        4.0    4.0   4.3
   Bank financing                                               0.9        3.5    0.9      1.2        2.5        2.6        2.3        2.2    2.1   2.3
   Nonbank financing                                            1.2        0.6    1.4      1.7        1.5        1.6        1.7        1.8    1.9   2.0
   Other financing                                              0.3        0.4    0.3      0.2        0.2        0.1        0.0        0.0    0.0   0.0
""
Statistical discrepancy                                         0.1       -0.6    1.1      0.3        0.0        0.0        0.0        0.0    0.0   0.0
""
Sources: Nigerian authorities; and IMF staff estimates and projections.
""
""
""
""
                                                                                                     INTERNATIONAL MONETARY FUND                               35
