V1
                                                                                    KINGDOM OF THE NETHERLANDS—NETHERLANDS
""
""
""
"          Table 2b. Netherlands: General Government Statement of Operations, 2015–23"
                                         (Billions of euros)
                                                            2015       2016       2017      2018       2019       2020      2021    2022    2023
                                                                                            Proj.      Proj.      Proj.     Proj.   Proj.   Proj.
""
Revenue                                                     292.7      307.8     320.9      334.9     348.4      359.8      372.0   384.2   397.0
 Taxes                                                      156.3      165.6     178.6      183.0     190.3      196.5      203.2   209.9   216.8
   Taxes on production and imports                           76.4       81.8      85.7       90.0      93.7       96.7      100.0   103.3   106.7
"   Current taxes on income, wealth, etc.                     78.3       82.0      91.3       90.8      94.5       97.6      100.9   104.2   107.6"
   Capital taxes                                              1.6        1.8       1.7        2.1       2.2        2.2        2.3     2.4     2.5
 Social contributions                                        96.4      104.3     104.1      113.1     117.7      121.5      125.6   129.8   134.1
 Grants                                                       0.7        0.6       0.7        0.7       0.7        0.7        0.8     0.8     0.8
 Other revenue                                               39.3       37.3      37.5       38.2      39.7       41.0       42.4    43.8    45.2
Expenditure                                                 306.7      305.2     316.9      330.8     343.0      353.3      364.4   375.6   387.6
 Expense                                                    306.5      305.4     313.2      324.8     337.9      348.9      360.7   372.6   385.0
   Compensation of employees                                 59.7       61.0      62.9       66.1      68.8       71.0       73.4    75.8    78.3
   Use of goods and services                                 42.0       40.9      42.4       44.9      46.7       48.3       49.9    51.6    53.3
   Consumption of fixed capital                              22.2       22.5      22.8       23.3      24.2       25.0       25.9    26.7    27.6
   Interest                                                   8.5        7.6       7.0        6.0       6.2        6.4        6.6     6.8     7.1
   Subsidies                                                  7.8        8.4       9.1        9.6      10.0       10.3       10.7    11.0    11.4
   Grants                                                    10.1        6.4       6.6        6.9       7.2        7.4        7.7     7.9     8.2
   Social benefits                                          148.1      151.4     154.1      158.8     165.2      170.6      176.4   182.2   188.2
   Other expense                                              8.1        7.3       8.3        9.2       9.6        9.9       10.2    10.6    10.9
 Net acquisition of nonfinancial assets                       0.3       -0.2       3.7        5.9       5.1        4.4        3.7     2.9     2.7
Net operating balance                                       -13.7        2.4        7.6      10.1       10.5      10.9       11.2    11.6    12.0
Net lending/borrowing                                       -14.0        2.6        4.0       4.2        5.4       6.4        7.6     8.7     9.3
Net acquisition of financial assets                         -18.0         …          …          …         …             …      …       …       …
 Currency and deposits                                       -0.6         …          …          …         …             …      …       …       …
 Securities other than shares                                -1.0         …          …          …         …             …      …       …       …
 Loans                                                       -3.9         …          …          …         …             …      …       …       …
 Shares and other equity                                     -4.5         …          …          …         …             …      …       …       …
 Insurance technical reserves                                 0.0         …          …          …         …             …      …       …       …
 Financial derivatives                                       -5.8         …          …          …         …             …      …       …       …
 Other accounts receivable                                   -2.2         …          …          …         …             …      …       …       …
Net incurrence of liabilities                                -4.4         …          …          …         …             …      …       …       …
 Special Drawing Rights (SDRs)                                0.0         …          …          …         …             …      …       …       …
 Currency and deposits                                        0.9         …          …          …         …             …      …       …       …
 Securities other than shares                                -9.2         …          …          …         …             …      …       …       …
 Loans                                                       -0.4         …          …          …         …             …      …       …       …
 Shares and other equity                                      0.0         …          …          …         …             …      …       …       …
 Insurance technical reserves                                 0.0         …          …          …         …             …      …       …       …
 Financial derivatives                                        0.0         …          …          …         …             …      …       …       …
 Other accounts payable                                       4.4         …          …          …         …             …      …       …       …
Memorandum items
Primary balance                                              -5.5       10.2      11.0       10.2      11.6       12.9       14.2    15.5    16.4
Gross Debt                                                  441.4      434.2     414.3      408.0     403.8      401.8      402.0   393.3   384.0
Nominal GDP (Euro bill.)                                    683.5      702.6     733.2      765.4     796.1      822.1      850.0   878.0   907.1
""
"Sources: The Netherlands’ Bureau for Economic Policy Analysis (CPB), Ministry of Finance, and IMF staff calculations."
""
""
""
""
                                                                                                    INTERNATIONAL MONETARY FUND               27
