V1
PHILIPPINES
"Table 3. Philippines: General Government Operations, 2017-22 1/"
"(In percent of GDP, unless otherwise indicated)"
2017                   2018                   2019                   2020                   2021                   2022
Proj.             Proj.
Revenue                                                                                                                                       18.7                     19.3                     20.0                     20.6                     19.7                     20.5
Taxes                                                                                                                           14.5                   14.9                   15.4                   15.1                   15.2                   15.8
"Taxes on income, profits, and capital gains                                   6.2               5.7               5.9               5.8               5.9               6.4"
Taxes on goods and services                                                      6.8               74               7.7               74               74               7.5
Taxes on international trade and transactions                               0.4               0.4               0.4               0.4               0.4               0.5
Taxes not elsewhere classified                                                       1.2               1.4               1.4               1.5               1.4               1.5
Social contributions                                                                2.2              2.2              2.4              2.7              2.8              3.0
Grants                                                                                            0.0                0.0               0.0               0.0               0.0               0.0
Other revenue                                                                            2.0               2.1               2.2               2.8               1.7               1.6
Total expenditure                                                                                                   19.1                   20.9                  21.7                  26.4                  27.3                  26.4
Expense                                                                                                                          14.4                   15.2                   15.9                   21.1                    21.8                   19.9
Compensation of employees 2/                                                   49               5.4               5.7               6.6               6.7               6.3
Purchases/use of goods and services 2/                                        2.8               2.9               2.9               49               49               3.0
Interest 2/                                                                                     1.6                1.7                1.6                1.8                2.4                2.4
Social benefits                                                               2.3             2.4             2.6             3.0             3.2             3.3
Expense not elsewhere classified                                                     2.8                2.8                3.1                48                4.6                5.0
Net acquisition of nonfinancial assets                                               4.6                5.7                5.7                5.3                5.5                6.4
Net lending/borrowing                                                                                            -0.4                   -1.6                   -1.7                   -5.7                   -7.6                   -5.9
Memorandum items:
Primary balance                                                                          1.3               0.1              -0.1              -3.9              -5.1              -3.5
General government gross debt 3/                                               38.1              37.1              37.0             51.9             57.7             60.2
Domestic                                                                                                                                 24.8                     23.4                     23.6                     34.6                     39.6                     41.3
Foreign                                                                                                                             13.4                    13.8                    13.3                    17.3                    18.2                    18.9
"GDP (in billions of peso)                                 16,557      18,265      19,518      17,939      19,390     21,320"
Sources: Philippine authorities; and IMF staff projections.
"1/ Based on GFSM2001. General government includes the national government, social security institutions (SSIs), and local government"
units (LGUs).
"2/ National government only. The expense item related to SSIs and LGUs are not separately available and included under ""Expense not"
elsewhere classified.”
3/ Includes national government debt held by the bond sinking fund and excludes contingent/guaranteed debt.
36 INTERNATIONAL MONETARY FUND
