V1
PHILIPPINES
"Table 3. Philippines: General Government Operations, 2019-24   "
"(In percent of GDP, unless otherwise indicated)"
2019                2020                2021                 2022               2023               2024
Proj.         Proj.         Proj.
Revenue                                                                                                                20.3                 20.4                 21.0                 20.8               21.0               21.3
Taxes                                                                                                      15.5               15.1                15.2               15.5              15.7              16.0
"Taxes on income, profits, and capital gains                    5.9           5.8           5.5           5.4          5.5          5.8"
Taxes on goods and services                                     7.8           74           7.8           8.2          8.3          8.2
Taxes on international trade and transactions                  0.4           0.4           0.3           0.4          0.3          0.3
Taxes not elsewhere classified                                    1.4           1.4           1.6           1.6          1.6          1.6
Social contributions                                               2.6          2.8          3.8          3.8          3.8          3.8
Grants                                                                   0.0           0.0           0.0           0.0          0.0          0.0
Other revenue                                                               2.2             2.6             2.1             1.5            1.4            1.5
Total expenditure                                                 21.0         24.6         25.8         24.6        24.4        24.0
Expense                                                                                        15.3              19.3              19.4              18.2             18.6             18.1
Compensation of employees 2/                                  5.7           6.6           6.6           6.2          6.5          6.1
Purchases/use of goods and services 2/                         2.9           49           4.5            3.8           3.5           3.3
Interest 2/                                                                   1.6             1.8             1.8             2.0            2.1            2.1
Social benefits                                               2.1          2.3          3.3          3.3         3.5         3.7
Expense not elsewhere classified                                 2.9           3.7           3.2           2.9          3.0          3.0
Net acquisition of nonfinancial assets                            5.8           5.3           6.3           6.5          5.8          5.9
Net lending/borrowing                                                -0.7          -4.2          -4.7          -3.9         -3.4         -2.7
Memorandum items:
Primary balance                                                          0.8           -2.4           -2.9           -1.9          -1.4          -0.6
General government gross debt 3/                               37.0          51.6          57.0          59.2         60.9         60.8
Domestic                                                            23.6          34.4          38.6          39.4         39.8         39.3
Foreign                                                                                       13.3              17.3              18.3              19.9            21.1             21.5
"GDP (in billions of peso)                                          19,518       17,952       19,411       21,690      23,597      25,798"
Sources: Philippine authorities; and IMF staff projections.
"1/ Based on GFSM2001. General government includes the national government, social security institutions (SSIs), and local"
government units (LGUs).
2/ National government only. The expense items related to social security institutions and local governments included
under expense not elsewhere classified.
3/ Includes national government debt held by the bond sinking fund and excludes contingent/guaranteed debt.
INTERNATIONAL MONETARY FUND 37
