V1
PANAMA
""
""
""
                  Table 2. Panama: Summary Operations of the Non-Financial Public Sector1/
                                           (In percent of GDP)
                                                                                                                 Projection
                                                              2015        2016    2017           2018     2019   2020 2021     2022   2023
""
     Revenues                                                  19.6       20.2    20.1           20.1     20.2   20.2   19.9   19.7   19.4
      Current revenue                                          19.5       20.1    20.1           20.1     20.2   20.2   19.9   19.6   19.3
       Tax revenue                                              9.3        9.7     9.2            9.2      9.3    9.4    9.4    9.4    9.4
       Nontax revenue                                           3.7        3.4     4.5            4.3      4.3    4.2    4.0    3.9    3.7
         o/w: Panama Canal fees and dividends                   1.8        1.8     2.7            2.6      2.6    2.5    2.3    2.2    2.1
       Social security agency                                   5.6        5.8     5.8            5.9      5.9    5.9    5.8    5.7    5.5
       Public enterprises' operating balance                    0.2        0.1     0.1            0.3      0.3    0.3    0.3    0.3    0.3
       Other 2/                                                 0.7        1.1     0.5            0.5      0.5    0.5    0.5    0.5    0.5
      Capital revenue                                           0.1        0.0     0.0            0.0      0.0    0.0    0.0    0.0    0.0
     Expenditure                                               21.9       22.0    21.7           22.1     22.2   21.9   21.6   21.2   20.9
      Current primary expenditure                              13.5       13.5    13.7           14.7     14.6   14.5   14.5   14.5   14.3
        Central government 3/                                   8.1        7.9     8.1            8.6      8.6    8.6    8.6    8.6    8.6
        Rest of the general government                          5.5        5.6     5.7            6.1      6.0    6.0    6.0    5.9    5.7
          Social security agency                                5.0        5.1     5.2            5.6      5.6    5.5    5.5    5.4    5.3
          Decentralized agencies                                0.4        0.4     0.4            0.5      0.5    0.5    0.5    0.5    0.5
      Interest                                                  1.7        1.7     1.7            1.7      1.7    1.7    1.6    1.6    1.6
      Capital                                                   6.6        6.7     6.3            5.7      6.0    5.7    5.5    5.2    4.9
"     Overall balance, excluding ACP 4/                         -2.2       -1.8    -1.6           -2.0     -2.0   -1.7   -1.7   -1.5   -1.5"
     Panama Canal Authority (ACP)
      Revenue                                                  4.8        4.3      4.6              4.7    4.6    4.6    4.5    4.5    4.5
      Current primary expenditure                              1.6        1.8      1.7              1.7    1.6    1.5    1.6    1.6    1.5
      Transfers to the government                              1.8        1.8      2.7              2.6    2.6    2.5    2.3    2.2    2.1
      Interest payments                                        0.1        0.2      0.2              0.2    0.2    0.2    0.1    0.1    0.1
      Capital expenditure                                      2.3        1.6      0.5              0.5    0.5    0.4    0.4    0.4    0.3
      Overall balance                                          -1.1       -1.2     -0.4            -0.2   -0.3   -0.1    0.0    0.2    0.5
"     Overall balance, including ACP                            -3.3       -2.9    -2.1           -2.2     -2.3   -1.8   -1.7   -1.3   -1.0"
"       Net financing, excluding ACP                            2.7        0.2      1.0             2.0     2.0    1.7    1.7    1.5    1.5"
        External                                               2.4        2.1      2.4             1.8     0.1   -1.4   -0.6   -0.3   -0.5
        Domestic                                               0.3        -2.0     -1.4            0.2     1.9    3.1    2.3    1.8    2.0
""
     Memorandum items:
      Primary balance (excluding ACP)                          -0.7       -0.2     0.0             -0.4   -0.4   -0.1   -0.2    0.0    0.0
      Structural primary balance (excluding ACP) 5/            -0.6       -0.1     0.1             -0.1   -0.3   -0.1   -0.2    0.0    0.0
      Primary balance (including ACP)                          -1.4       -1.0     -0.2            -0.3   -0.4    0.1    0.1    0.4    0.7
""
      Sources: Comptroller General; Ministry of Economy and Finance; and IMF staff calculations.
      1/ Official presentation excludes the operations of the ACP as it is not part of the NFPS.
      2/ Includes the balances of the nonconsolidated public sector and revenue of the decentralized agencies.
      3/ Different from Table 3 as it excludes the transfers to other agencies.
"      4/ Starting from 2015, includes overspending allowed under Article 34 of Law 38 of 2012."
      5/ Primary balance adjusted for the output gap.
""
""
""
""
32     INTERNATIONAL MONETARY FUND
