V1
                                                                                                                                 PORTUGAL
""
""
""
                                             Table 2a. Portugal: General Government Accounts 1/
                                                              (Billions of euros)
                                                                                                           Projections
                                                                 2016    2017    2018      2019    2020    2021          2022      2023    2024
""
Revenue                                                           79.9    83.1    87.7      90.8    94.0    98.1         100.3    103.6    106.9
 Taxes                                                            46.4    48.8    51.9      53.2    54.9    56.7          58.5     60.4     62.3
   Taxes on production and imports                                27.3    29.0    30.9      31.9    32.7    33.8          34.8     35.9     37.0
"   Current taxes on income, wealth, etc. and capital taxes        19.1    19.7    21.0      21.3    22.2    22.9          23.7     24.5     25.2"
"     Current taxes on income, wealth, etc.                        19.1    19.7    21.0      21.3    22.2    22.9          23.7     24.5     25.2"
     Capital taxes                                                 0.0     0.0     0.0       0.0     0.0     0.0           0.0      0.0      0.0
 Social contributions                                             21.6    22.7    23.8      24.9    25.9    26.8          27.8     28.7     29.7
 Grants and other revenue                                         11.9    11.7    12.0      12.8    13.2    14.6          14.1     14.5     14.9
   Property income                                                 1.2     1.3     1.4       1.4     1.4     1.5           1.5      1.6      1.6
   Sales of goods and services                                     6.5     6.7     7.0       7.2     7.4     7.7           7.9      8.2      8.4
   Other current revenue                                           3.0     2.9     2.8       3.3     3.4     3.5           3.6      3.7      3.8
   Capital transfers and investment grants                         1.1     0.8     0.9       0.9     0.9     1.9           1.0      1.0      1.1
""
Expenditure                                                       83.6    88.9    88.6      91.3    93.9    96.4          99.1    102.1    104.9
  Expense                                                         85.9    91.0    90.5      93.1    95.6    98.1         100.7    103.6    106.5
    Compensation of employees                                     20.9    21.3    21.8      23.0    23.5    24.3          25.1     25.8     26.4
    Use of goods and services                                     10.3    10.6    10.9      11.1    11.4    11.8          12.1     12.5     12.9
    Consumption of fixed capital                                   5.3     5.7     5.9       6.1     6.3     6.5           6.7      6.9      7.1
    Interest                                                       7.8     7.4     7.0       7.0     7.1     6.8           6.3      6.3      6.0
    Subsidies                                                      1.0     0.9     0.8       0.8     0.9     0.9           0.9      0.9      1.0
    Social benefits                                               35.2    35.6    36.7      37.9    39.0    40.2          41.4     42.6     43.9
    Grants and other expense                                       5.4     9.5     7.4       7.2     7.5     7.7           8.1      8.6      9.2
      Other current expense                                        4.8     4.5     5.0       5.0     5.2     5.3           5.5      5.7      5.9
      Capital transfers                                            0.7     5.0     2.4       2.2     2.3     2.4           2.6      2.9      3.3
  Net acquisition of nonfinancial assets                          -2.3    -2.1    -1.9      -1.7    -1.8    -1.8          -1.7     -1.6     -1.6
    Gross fixed capital formation                                  2.9     3.6     4.0       4.4     4.5     4.8           5.1      5.4      5.5
    (-) Consumption of fixed capital                              -5.3    -5.7    -5.9      -6.1    -6.3    -6.5          -6.7     -6.9     -7.1
    Acquisitions less disposals of other nonfinancial assets       0.0     0.1     0.1       0.0     0.0     0.0           0.0      0.0      0.0
""
Gross Operating Balance                                           -0.8    -2.1     3.1       3.9     4.7     6.4           6.3      6.8        7.5
Net lending (+)/borrowing (–)                                     -3.7    -5.8    -0.9      -0.5     0.2     1.7           1.3      1.5        2.0
""
Net acquisition of financial assets                                5.3    -2.9    -0.4        …       …        …            …        …          …
   Monetary gold and SDRs                                          0.0     0.0     0.0        …       …        …            …        …          …
   Currency and deposits                                           4.5    -2.6    -1.5        …       …        …            …        …          …
   Debt securities                                                 0.0    -0.6     0.5        …       …        …            …        …          …
   Loans                                                          -0.1     0.0     0.1        …       …        …            …        …          …
   Equity and investment fund shares                              -0.1     0.2     0.6        …       …        …            …        …          …
"   Insurance, pensions, and standardized guarantee schemes         0.0     0.0     0.0        …       …        …            …        …          …"
   Financial derivatives and employee stock options               -0.5    -0.2    -0.3        …       …        …            …        …          …
   Other accounts receivable                                       1.5     0.3     0.1        …       …        …            …        …          …
""
Net incurrence of liabilities                                      8.9     2.9     0.5        …       …        …            …        …          …
   SDRs                                                            0.0     0.0     0.0        …       …        …            …        …          …
   Currency and deposits                                           4.0     2.7     1.4        …       …        …            …        …          …
   Debt securities                                                11.3    10.3     7.4        …       …        …            …        …          …
   Loans                                                          -6.0   -10.5    -6.4        …       …        …            …        …          …
   Equity and investment fund shares                               0.0     0.5     0.0        …       …        …            …        …          …
"   Insurance, pensions, and standardized guarantee schemes         0.0     0.0     0.0        …       …        …            …        …          …"
   Financial derivatives and employee stock options                0.0    -0.2    -0.6        …       …        …            …        …          …
   Trade credit and advances                                       0.4     0.5    -0.7
   Other accounts payable                                         -0.7    -0.3    -0.6        …       …        …            …        …          …
""
Memorandum items:
  Primary balance                                                  4.1     1.7     6.0       6.5     7.2     8.5           7.6      7.8      8.0
  Debt at face value (EDP notification)                          241.0   242.8   244.9     247.4   249.3   244.6         242.3    246.1    244.6
  Nominal GDP                                                    186.5   194.6   201.6     208.2   215.0   221.7         228.6    235.7    243.1
""
 Sources: INE; Bank of Portugal; and IMF staff projections.
1/
     GFSM 2001 presentation.
""
""
""
""
                                                                                         INTERNATIONAL MONETARY FUND                      29
