V1
                                                                                                                                                           QATAR
""
""
"                          Table 3a. Qatar: Summary of Central Government Finance, 2014–24   "
                                      (Billions of Qatari Riyals unless otherwise noted)
""
                                                                                                      Est.      Proj.      Proj.      Proj.      Proj.      Proj.      Proj.
                                                              2014     2015      2016      2017      2018      2019       2020       2021       2022       2023       2024
""
Revenue                                                      343.0     256.4     170.9     163.3    222.0     231.3      235.7      239.1      243.1      248.1      256.2
 Oil                                                         100.7      61.3      29.4      34.0     44.4      39.6       41.4       42.9       45.4       46.7       46.1
 LNG-related                                                  73.9      42.6      11.6      14.8     45.6      47.7       50.7       50.0       49.1       49.0       54.0
 Investment income from public enterprises                   108.5     102.3      84.8      74.0     88.5      94.5       90.1       91.2       92.2       94.4       96.3
 Corporate tax revenue                                        46.8      37.1      31.5      26.5     29.6      35.8       35.1       36.4       37.4       38.8       40.1
 Other revenue                                                13.0      13.0      13.5      14.0     14.0      13.7       18.4       18.7       19.2       19.2       19.6
Expenditure                                                  250.7     248.8     221.7     203.3    206.2     209.9      210.2      214.6      215.5      222.5      228.4
 Expense                                                     187.8     167.6     119.0     113.3    108.8     120.8      127.4      133.8      140.5      147.5      153.4
   Compensation of employees                                  44.1      45.0      59.2      53.1     55.2      57.1       58.6       60.0       61.8       64.3       66.9
   Goods and services                                         17.7      18.6      13.9      14.1     14.5      15.2       16.3       17.2       18.3       19.4       20.5
   Interest payments                                           8.8       8.8       8.2       8.2      9.8      10.8       11.6       10.8       10.1        9.8        9.3
   Foreign grants                                              4.7       4.7       1.2       1.2      1.2       1.2        1.2        1.2        1.2        1.2        1.2
   Other expense                                             112.5      90.6      36.4      36.6     28.1      36.4       39.7       44.5       49.0       52.8       55.4
 Net acquisition of nonfinancial assets                       62.9      81.3     102.7      90.0     97.4      89.1       82.8       80.8       75.0       75.0       75.0
Gross operating balance                                      155.2      88.9      51.8      50.0    113.3     110.6      108.3      105.3      102.7      100.6      102.8
Net lending (+)/borrowing (-)                                 92.3       7.6     -50.8     -40.0     15.8      21.5       25.5       24.5       27.7       25.6       27.8
Adjusted nonhydrocarbon primary fiscal balance 2/           -206.2    -210.9    -176.1    -155.9   -155.7     -156.8    -150.4     -153.0     -152.1     -157.3     -161.2
Total government debt                                        187.0     209.3     258.0     302.3    338.7     371.5      340.9      315.0      301.9      283.7      265.4
 o/w total net debt 3/                                        86.2     136.0     198.6     207.8    250.2     272.9      235.4      204.5      186.3      163.1      139.9
 o/w external debt                                            67.0      73.4     116.2     114.2    150.6     183.4      152.8      126.9      113.8       95.6       77.3
 o/w domestic debt                                           120.0     135.9     141.8     188.1    188.1     188.1      188.1      188.1      188.1      188.1      188.1
 o/w net domestic debt 3/                                     19.2      62.6      82.4      93.6     99.6      89.6       82.6       77.6       72.6       67.6       62.6
External debt service/total revenue (percent)                   2.0       7.7      1.8       6.4       4.6       3.3      15.0       12.5         6.8        8.6         8.1
Memorandum items
Nominal GDP                                                  750.7     588.7     552.3     607.6    700.5     704.3       742.6      775.6      813.2      852.1      903.3
Estimated general government balance 4/                      107.7      26.6     -29.7     -17.8     36.8      43.0        48.8       49.6       54.6       54.7       59.1
"Estimated financial net worth of general government 5/       546.7     568.7     867.1     961.3    939.0     970.3     1,067.9    1,163.5    1,253.3    1,350.2    1,453.5"
Estimated total hydrocarbon revenue 6/                       329.8     243.2     157.2     149.1    207.9     217.4       217.2      220.3      223.8      228.7      236.4
""
Sources: Ministry of Economy and Finance; and IMF staff estimates and projections.
"1/ GFSM 2001 based on staff estimates; presented on a calendar year basis. In 2015, budget will be based on a 9-month period (April-December)."
2/ Nonhydrocarbon balance of central government (excluding the portion of investment income and corporate income tax from hydrocarbon activities).
3/ Excludes government deposits with resident banks.
"4/ Central government balance plus estimated QIA investment income, excluding capital gains."
5/ Net debt of central government plus the estimated stock of QIA assets.
6/ Include corporate income taxes and investment income from hydrocarbon activities.
""
""
""
""
                                                                                                             INTERNATIONAL MONETARY FUND                            29
