V1
ROMANIA
""
""
""
"                                          Table 4a. Romania: Fiscal Accounts, 2018–2027   "
"                                            (In percent of GDP, unless otherwise indicated)"
""
                                                                     2018      2019       2020       2021       2022       2023      2024       2025       2026    2027
                                                                                                                                      Projections
""
 GENERAL GOVERNMENT OPERATIONS
""
 Revenue                                                             29.2       28.9      28.9       30.6       31.4       30.6       30.9      31.7       31.3    31.0
  Revenue excl. grants                                               28.2       27.9      27.3       28.9       29.4       29.3       29.3      29.6       29.9    30.1
    Tax revenue                                                      25.3       25.3      24.9       26.6       27.0       27.0       27.1      27.4       27.7    27.8
      Direct taxes                                                   15.2       15.3      15.3       15.8       15.4       15.8       16.1      16.4       16.5    16.6
        Of which: Corporate income taxes                               1.9       1.9       1.7         1.9       1.9        2.0        2.0       2.0        2.0     2.0
           Personal income taxes                                       2.5       2.3       2.4         2.5       2.5        2.5        2.5       2.6        2.6     2.7
           Social security contributions                             10.3       10.5      10.6       10.8       10.5       10.6       10.7      10.9       11.0    11.1
      Indirect taxes                                                 10.0       10.0       9.6       10.8       11.5       11.2       11.0      11.0       11.1    11.2
        Of which: VAT                                                  6.3       6.2       5.7         6.7       6.8        6.8        6.9       7.0        7.1     7.2
           Excises                                                     3.0       3.0       2.9         2.9       2.9        2.9        3.0       3.0        3.0     3.0
    Nontax revenue                                                     2.9       2.6       2.4         2.3       2.5        2.3        2.2       2.2        2.3     2.2
  Grants 2/                                                            1.0       1.0       1.6         1.7       1.9        1.4        1.6       2.1        1.4     0.9
  Other fiscal operations                                             -0.1       0.0       0.0        -0.1       0.0        0.0        0.0       0.0        0.0     0.0
""
 Expenditure                                                         32.2       33.8      38.6       37.5       38.2       35.7       36.0      36.9       36.3    35.5
   Expense                                                           29.7       31.0      35.5       34.6       35.1       32.5       32.8      33.6       33.1    32.2
     Personnel                                                         9.1        9.7     10.4         9.5       8.7        8.5        8.6       8.7        8.5     8.5
     Goods and services                                                4.7        5.0       5.4        5.4       5.2        5.2        5.2       5.2        5.1     5.1
     Interest                                                          1.4        1.1       1.4        1.5       1.6        1.7        1.8       1.8        1.9     1.9
     Subsidies                                                         0.7        0.7       0.8        0.7       1.5        1.1        0.7       0.7        0.7     0.7
