V1
                                                                                                                                                             ROMANIA
""
""
""
"                                        Table 4b. Romania: Fiscal Accounts, 2018–2027   "
"                                            (In billions of lei, unless otherwise indicated)"
                                                                   2018       2019      2020       2021       2022       2023      2024       2025         2026      2027
                                                                                                                                    Projections
""
GENERAL GOVERNMENT OPERATIONS
""
Revenue                                                           277.5      305.9     305.6      361.6      424.5      454.8     497.7      548.2        575.3     603.8
 Tax revenue                                                      240.6      267.8     263.5      314.2      364.8      400.9     435.8      473.3        507.9     542.8
   Direct taxes                                                   145.1      162.3     161.7      186.8      209.0      234.0     259.4      282.9        303.6     324.4
     Of which: Corporate income taxes                              18.2       20.6      18.5       22.9       26.2       30.4      32.8       35.2         37.4      39.7
       Personal income taxes                                       23.3       24.1      25.0       29.2       33.5       35.4      40.5       44.7         48.3      52.0
       Social security contributions                               98.1      111.5     112.3      128.1      141.9      157.9     173.0      189.0        202.9     216.8
   Indirect taxes                                                  95.5      105.5     101.9      127.4      155.8      166.9     176.4      190.4        204.3     218.4
     Of which: VAT                                                 59.6       65.4      60.8       79.3       92.2      101.4     111.5      120.7        130.2     140.0
       Excises                                                     28.5       31.5      30.7       34.5       38.6       43.7      47.6       51.1         54.7      57.9
 Nontax revenue                                                    28.0       27.9      25.3       27.6       33.7       33.6      35.7       38.7         41.5      43.5
 Grants 2/                                                           9.4      10.1      16.5       20.4       26.0       20.3      26.2       36.3         25.9      17.5
 Other fiscal operations                                            -0.6       0.0       0.3        -0.6       0.0        0.0       0.0        0.0          0.0       0.0
""
Expenditure                                                       306.1      358.0     409.1      443.3      516.2      532.5     579.2      635.9        665.9     691.0
  Expense                                                         282.5      327.8     376.0      409.4      474.4      484.5     527.4      580.3        606.8     628.3
    Personnel                                                      86.1      102.3     110.0      111.9      117.0      126.0     138.6      149.5        156.8     165.5
    Goods and services                                             44.6       52.8      57.1       64.0       70.9       77.6      83.8       89.3         94.0      98.8
    Interest                                                       12.9       12.2      14.5       18.0       21.9       25.9      28.4       31.3         34.5      37.8
    Subsidies                                                        6.7        7.1       8.1        8.6      20.6       17.0      11.4       12.0         12.5      13.0
    Transfers                                                     131.8      152.9     185.5      206.2      243.4      237.2     264.4      297.3        308.1     312.0
      EU-related 2/                                                  7.9      12.9      18.1       23.6       30.6       27.1      37.1       53.1         48.0      35.4
      Social assistance                                           101.4      114.7     138.6      147.2      172.2      172.1     186.5      200.4        213.6     227.2
        Pensions                                                   62.9       70.1      81.4       89.7       99.0      104.7     113.8      124.0        133.8     142.5
        Other                                                      38.5       44.7      57.1       57.5       73.1       67.3      72.7       76.5         79.8      84.8
