V1
                                                                                                                                            RWANDA
""
""
""
" Table 2d. Rwanda: Budgetary Central Government Flows, FY16/17–22/231"
                                                      (Percent of GDP)
""
                                                             2016/17    2017/18     2018/19     2019/20    2020/21    2021/22    2022/23
""
                                                                 Act.        Act.      Proj.       Proj.      Proj.      Proj.      Proj.
""
""
Revenue and grants                                              22.7        23.1       23.9        22.5       22.5       22.1       22.1
  Total revenue                                                  18.0       18.5        19.0       18.3       18.4       18.3       18.5
     Tax revenue                                                 15.5       15.9        16.1       16.0       16.2       16.4       16.6
       Direct taxes                                               6.6        6.8         7.0        7.0        7.1        7.2        7.3
       Taxes on goods and services                                7.6        7.8         7.9        7.8        7.9        8.0        8.1
       Taxes on international trade                               1.3        1.2         1.3        1.2        1.2        1.2        1.2
     Nontax revenue                                               2.5        2.6         2.8        2.3        2.2        1.9        1.8
       Of which : PKO                                             1.8        1.9         1.9        1.4        1.3        1.0        1.0
  Grants                                                          4.6        4.5         4.9        4.2        4.1        3.8        3.7
     Budget grants                                                2.6        2.4         2.2        1.5        1.5        1.6        1.5
     Project grants                                               2.0        2.1         2.7        2.6        2.6        2.2        2.2
""
Total expenditure and net lending                               27.3        27.7       29.3        28.5       28.0       27.3       27.1
  Current expenditure                                            15.0       14.9        15.0       14.3       14.0       13.4       13.5
     Wages and salaries                                           3.7        4.1         4.2        4.3        4.2        4.2        4.2
     Purchases of goods and services                              2.9        2.7         2.7        2.4        2.7        2.6        2.7
     Interest payments                                            1.0        1.2         1.2        1.3        1.4        1.4        1.3
       Domestic debt                                              0.5        0.6         0.6        0.8        0.8        0.8        0.7
       External debt                                              0.5        0.5         0.5        0.5        0.6        0.6        0.7
     Transfers                                                    5.1        4.6         4.6        4.2        4.1        3.7        3.8
     PKO and demobilization2                                      2.2        2.3         2.3        2.1        1.6        1.5        1.5
       of which: PKO                                              1.8        1.8         1.8        1.7        1.1        1.0        1.1
  Capital expenditure                                            10.7       10.8        12.0       11.7       11.8       12.0       11.7
     Domestic                                                     5.9        5.9         7.3        7.1        7.0        7.5        7.1
     Foreign3                                                     4.8        4.9         4.6        4.7        4.8        4.5        4.5
       Of which: deposit drawdown                                 0.5        0.6         0.0        0.0        0.0        0.0        0.0
  Net lending and privatization receipts                          1.6        2.0         2.4        2.4        2.2        1.9        1.9
"Overall balance (incl. grants, commitment basis)                 -4.6       -4.7        -5.5       -6.0       -5.5       -5.2       -4.9"
Change in float/arrears4                                         -0.3       -0.3        -0.3        -0.3       -0.3       -0.3         --
"Overall balance (incl. grants, cash basis)                       -4.9       -5.0        -5.8       -6.3       -5.8       -5.5       -4.9"
Financing                                                         4.9        5.0        5.8         6.3        5.8        5.5        4.9
  Foreign financing (net)                                         4.5        4.5         5.0        4.6        5.5        5.2        5.4
    Drawings                                                      4.8        4.8         5.4        5.1        6.0        5.8        5.8
       Budgetary loans                                            2.6        2.7         3.4        3.0        3.8        3.5        3.5
       Project loans                                              2.3        2.2         1.9        2.0        2.2        2.3        2.4
    Amortization                                                 -0.3       -0.3        -0.3        -0.4       -0.5       -0.6       -0.4
  Net domestic financing3                                         0.7        0.5         0.8        1.7        0.3        0.3        -0.5
     Net credit from banking system                               0.2        0.6         0.2        1.7        0.3        0.3          --
     Nonbank sector                                               0.5       -0.1         0.5        0.0        0.0        0.0        -0.4
Errors and omissions5                                            -0.3       -0.1         0.0        0.0        0.0        0.0        0.0
Memorandum items:
"Primary balance (excl. grants and PKO, comm. basis)              -8.2       -8.1        -9.3        -8.6       -8.5       -7.6       -7.2"
Overall balance excl. proj. grants and capex (comm. basis)        4.0        4.0         3.8        3.1        3.8        4.6        4.6
"Overall balance (5-year avg., commitment basis)                  -4.5       -4.8       -5.2        -5.4       -5.4       -5.3       -5.2"
"GDP (Billions of RwF), FY basis                                 7,129      7,895      8,694       9,821     11,154     12,663     14,329"
""
 Sources: Rwandan authorities and IMF staff estimates and projections.
 1
   Fiscal year runs from July to June.
 2
"   Includes peacekeeping operations, spending on demobilisaton/reintegration, and genocide relief."
 3
"   2016/17 and 2017/18 foreign-financed capital spending included deposit drawdown, accumulated in previous years."
 4
   A negative sign indicates a reduction.
 5
   A negative number implies an overestimate of financing.
""
""
""
""
                                                                                               INTERNATIONAL MONETARY FUND                      31
