V1
                                                                                                                                                                                              RWANDA
""
""
""
"Table 2a. Rwanda: Budgetary Central Government Flows, GFSM 2014 Presentation, FY19/20–24/251"
                                                                                  (billions of Rwandan Francs)
                                                                                 2019/20                                 2020/21                            2021/22               2022/23     2023/24    2024/25
                                                                     1st                                     1st                                1st
                                                                                 RCF-2        Prel.                      RCF-2         Proj.                RCF-2         Proj.       Proj.      Proj.      Proj.
                                                                   Review                                   Review                             Review
""
"Revenue                                                              2,250         2,082        2,193         2,551        2,116      2,423      2,848        2,386      2,607       2,963      3,336      3,807"
"Taxes                                                                1,553         1,374        1,476         1,786         1,424     1,560      2,040        1,571      1,687       1,957      2,249      2,588"
"     Taxes on income, profits, and capital gains                       659           586          641           725          615        655        864          652        679        816         925      1,045"
     Taxes on payroll and workforce                                         0             0            0             0           0        0             0           0        0           0          0           0
     Taxes on property                                                      0             0            5             0           0        4             0           0        0           0          0           0
"     Taxes on goods and services                                       772           679          712           906          701        777      1,015          798        870        985       1,145      1,330"
     Taxes on international trade and transactions                     122           108          117           155          108        124        161          121        137        156         179         213
     Other taxes                                                            0             0            0             0           0        0             0           0        0           0          0           0
Grants                                                                 403           422          427           486          437        592        506          524        604        696         734         802
        Current                                                        143           162          168           197          148        300        234          247        327        411         432         455
        Capital                                                        260           260          260           289          289        292        272          277        277        285         301         348
Other revenue                                                          295           286          290           279          255        271        302          291        316        309         354         417
        of which CCRT                                                       --           10           10            --           --      16            --           --       --         --          --         --
"Expense (Current exp.)                                               1,854         1,981        1,901         2,033        2,012      1,936      2,251        2,159      2,231       2,460      2,678      2,782"
     Compensation of employees                                         301           301          266           353          376        304        410          443        236        256         283         305
     Use of goods and services                                         508           620          572           549          514        470        600          508        694        736         850         797
        of which: Covid-19 spending                                         --           60           65            --        60         60            --           --      11          --          --         --
        of which: Disaster-management spending                          --            33              33         --           --          --        --           --          --         --          --         --
     Interest                                                          156           152          139           165          168        197        185          211        206        224         203         213
         To nonresidents                                                   54            50           61           66         59         60           79         66         67          77         53          62
         To residents other than general government                    101           101              78           99        109        137        105          145        139        147         150         151
     Subsidies                                                         222           236          252           202          229        269        217          219        259        339         367         396
                                   2
       of which: Covid-19 spending                                          --           18           12            --        15          --           --           --       --         --          --         --
     Grants                                                            497           508          500           571          547        502        619          582        623        665         704         764
        To EBUs                                                            34            35           31           39         38         42           43         40         52          55         58          63
         Current                                                           22            22           17           26         28         31           27         30         42          43         45          49
           of which compensation of employees                              17            17           16           19         18         26           21         19         32          34         36          39
         Capital                                                           12            13           14           13            9       10           16         10         10          12         13          14
        To Local Government                                            463           473          469           532          510        460        577          542        571        610         646         701
         Current                                                       298           298          279           348          382        298        360          400        420        431         446         480
           of which compensation of employees                          202           202          171           232          218        229        252          231        284        304         322         349
         Capital                                                       165           175          128           184          128        162        217          142        151        179         201         221
     Social benefits                                                       29            28           27           33         30         33           37         34         36          41         46          52
             of which: Covid-19 spending                                --            --               5         --           --         11         --           --          5           5          --         --
     Other expense                                                     142           136          144           161          147        161        183          163        177        199         225         254
Gross Operating Balance (Current balance)
"     including grants                                                  397           101          292          518           104        487       596           228        377        503         658      1,025"
     excluding grants                                                      -6       -321         -136              32       -333       -105           90       -296       -227        -194        -75         223
""
"Net acquisition of nonfin. assets (Capital exp.)                       984         1,108        1,033         1,124         1,007     1,143      1,260        1,084      1,135       1,262      1,390      1,540"
     Foreign financed                                                  458           548          548           537          598        601        567          631        631        662         719         801
     Domestically financed                                             526           559          485           588          408        541        693          454        505        600         671         739
        of which: Covid-19 spending                                         --           40           27            --        40         40            --           --     127        100           --         --
""
Net lending (+) / borrowing (-) (Overall balance)
"     including grants                                                 -587        -1,006         -741          -606         -903       -656       -663         -857       -758       -759        -731       -515"
"     excluding grants                                                 -990         -1,428      -1,169        -1,092        -1,340     -1,248    -1,169        -1,381     -1,363     -1,455      -1,465     -1,318"
Net acquisition of financial assets                                     -71              79       423              -94      -111          0       -187         -187        -76        -95        -195         -10
     Domestic                                                           -71              79       423              -94      -111          0       -187         -187        -76         -95       -195         -10
     Currency and deposits                                            -175           -87          309          -106         -181       -220       -192         -202       -185        -163       -195       -110
     Equity and investment fund shares                                     10            10           10             7           8        7             5        --          5           5          --         --
     Loans                                                                 94        155          104                5        62        212            --        16        104          63          --        100
       of which: Covid-19 spending 3                                     --              56            --        --           39        183         --            --        25          --          --         --
"Net incurrence of liabilities                                          516         1,085        1,160          512           792        655       476           670        682        664         537        506"
     Currency and deposits                                                  0             0            0             0           0        0             0           0        0           0          0           0
     Debt securities                                                       50            50       271              57         57         57           66         66         73          83          0           0
"     Loans                                                             521         1,090          915           490          766        633        451          645        649        621         577         546"
     Other accounts payable                                             -55          -55              -27          -35       -32        -35           -40       -40        -40         -40        -40         -40
Statistical discrepancy                                                    0.0        0.0             3.9          0.0        0.0        0.0          0.0        0.0        0.0        0.0         0.0        0.0
Memorandum items:
"Domestic revenue (incl. Local government)                            1,553         1,374        1,476         1,786         1,424     1,560      2,040        1,571      1,687       1,957      2,249      2,588"
Wage bill                                                              520           520          453           605          612        558        683          694        552        594         641         693
Total Covid-19 related spending                                         --           174          109            --          153        294         --           --        168        105           --         --
"Overall fiscal balance (incl. grants, comm. basis)                    -691         -1,172        -855          -618         -972       -875       -668         -872       -867        -827       -731       -615"
"Debt creating overall bal. (excl. PKO)4                               -596         -1,077        -729          -624         -979       -883       -679         -885       -867        -827       -731       -615"
Sources: Rwandan authorities and IMF staff estimates and projections.
 1
     Fiscal yeat runs from July to June.
 2
     Additional support to Rwandair.
 3
     Economic Recovery Fund.
 4
     Overall deficit excluding spending on materialized contigent liabilities and other items already included in the DSA.
 5
     Debt creating overall balance as previously defined excluding spending related to natural disasters and Coronavirus outbreak.
""
""
""
""
                                                                                                                                         INTERNATIONAL MONETARY FUND                                     27
