V1
                                                                                                                 RUSSIAN FEDERATION
""
""
""
"                        Table 4. Russian Federation: Fiscal Operations, 2015–231"
"                                                  (Percent of GDP, unless otherwise indicated)"
""
                                                           2015      2016      2017      2018    2019    2020    2021    2022    2023
""
                                                                                                    Projection
""
General government
""
Revenue                                                     31.8      32.7      33.3      36.2   35.3     34.8   34.5     34.3    34.1
 o/w Oil revenue                                             7.9       6.1       7.3      10.6    9.7      8.9    8.4      8.0     7.6
 o/w Nonoil revenue                                         23.9      26.6      26.0      25.6   25.6     25.8   26.1     26.3    26.4
""
 Taxes                                                      22.8      22.0      24.2      27.2   26.2     25.5   25.0     24.7    24.4
  Corporate profit tax                                       3.1       3.2       3.6       4.0    3.6      3.5    3.5      3.5     3.5
  Personal income tax                                        3.4       3.5       3.5       3.5    3.5      3.5    3.5      3.5     3.5
  VAT                                                        5.1       5.3       5.6       5.5    5.5      5.5    5.6      5.6     5.7
  Excises                                                    1.3       1.6       1.7       1.6    1.5      1.5    1.6      1.6     1.6
  Custom tariffs                                             4.0       3.0       2.8       3.6    3.5      3.3    3.1      3.0     3.0
  Resource extraction tax                                    4.1       3.7       4.9       7.0    6.7      6.2    5.8      5.5     5.2
  Other tax revenue                                          1.9       1.6       2.0       2.0    2.0      2.0    2.0      2.0     2.0
 Social contributions                                        6.4       7.0       7.1       6.9    6.9      7.0    7.0      7.1     7.2
 Other revenue                                               2.6       3.7       2.0       2.1    2.2      2.3    2.4      2.5     2.5
""
Expenditure                                                 35.1      36.4      34.8      33.9   32.4     32.4   32.7     33.0    33.1
 Expense                                                    30.6      31.6      31.0      30.3   29.0     29.0   29.3     29.6    29.6
   Compensation of employees                                 4.3       4.3       4.1       4.0    3.9      3.9    3.8      3.8     3.8
   Use of goods and services                                 3.3       3.4       3.0       2.9    2.7      2.7    2.8      2.8     2.8
   Interest                                                  0.8       0.9       0.9       0.9    0.9      0.9    0.9      0.9     0.9
   Subsidies                                                 6.9       7.2       7.5       7.2    6.8      6.8    6.8      6.9     6.9
   Grants                                                    0.2       0.2       0.2       0.2    0.2      0.2    0.2      0.2     0.2
   Social benefits                                          13.2      13.8      13.7      13.5   13.1     12.9   12.9     13.0    13.0
   Other expense                                             1.9       1.8       1.6       1.7    1.5      1.7    1.8      2.0     2.0
""
 Net acquisition of nonfinancial assets                      4.6       4.7       3.8       3.6    3.4      3.4    3.4      3.4     3.4
Net lending (+)/borrowing (-) (overall balance)             -3.4      -3.6      -1.5       2.2    2.9      2.4     1.8     1.3     1.0
Non-oil primary structural balance                          -9.9      -9.0      -7.9      -7.8   -6.4     -6.2    -6.3    -6.5    -6.4
Gross financing requirements                                 7.4       8.3       5.3      -1.4   -1.8     -1.2    -0.7    -0.2    -0.1
""
Federal government 3/
""
Revenue                                                     16.4      15.6      16.4      19.2   18.7     18.1   17.7     17.5    17.2
 o/w Oil revenue                                             7.1       5.6       6.6       9.5    9.0      8.3    7.8      7.4     7.0
 o/w Nonoil revenue                                          9.3      10.0       9.8       9.7    9.7      9.8   10.0     10.1    10.2
""
Expenditure                                                 18.7      19.1      17.8      16.9   15.7     15.6   15.9     16.1    16.1
 Expense                                                    15.5      15.6      15.3      14.4   13.4     13.4   13.6     13.8    13.8
 Net acquisition of nonfinancial assets                      3.2       3.4       2.6       2.4    2.3      2.3    2.3      2.3     2.3
Net lending (+)/borrowing (-) (overall balance)             -2.3      -3.4      -1.4       2.4    3.0      2.5     1.9     1.4     1.1
Non-oil primary structural balance                          -8.9      -8.4      -7.2      -6.5   -5.4     -5.3    -5.5    -5.6    -5.5
Gross financing requirements                                 3.6       4.2       2.6      -2.0   -2.2     -1.7    -1.1    -0.6    -0.4
Memorandum items:
 General government nonoil primary balance                -11.0       -9.3      -8.2      -7.8    -6.4    -6.2    -6.3    -6.5    -6.4
 General government nonoil overall balance                -11.3       -9.7      -8.7      -8.4    -6.8    -6.5    -6.6    -6.7    -6.6
 Federal government nonoil primary balance                  -9.2      -8.6      -7.5      -6.5    -5.4    -5.3    -5.5    -5.6    -5.5
 Federal government nonoil overall balance                  -9.5      -9.0      -8.0      -7.2    -6.0    -5.8    -5.9    -6.0    -5.9
 World oil price (U.S. dollars per barrel)                 50.8      42.8      52.8      70.2    69.0    65.0    62.1    60.1    58.8
 Urals prices (U.S. dollars per barrel)                    51.2      41.9      53.0      71.8    71.0    67.2    64.5    62.6    61.3
 Oil funds 2/                                              10.6        6.2       4.1       8.0   11.5    14.4    16.9    18.6    20.1
 General government debt                                   16.3      16.1      15.5      16.1    15.6    15.5    15.6    15.8    16.0
" GDP (billions of rubles)                                83,387    86,149    92,037    98,432 104,315 109,734 115,708 122,059 128,670"
""
 Sources: Russian authorities; and IMF staff estimates.
 1/ Cash basis.
 2/ Balances reflect staff estimates based on projected oil savings.
 3/ Expenditures reflect the authorities budget; oil revenues are Staff's estimates.
""
""
""
""
                                                                                            INTERNATIONAL MONETARY FUND                  33
