V1
                                                                                                                           RUSSIAN FEDERATION
""
""
""
"                              Table 4. Russian Federation: Fiscal Operations, 2016–241"
"                                     (Percent of GDP, unless otherwise indicated)"
                                                                            2016        2017    2018      2019    2020   2021     2022       2023   2024
""
                                                                                                                         Projection
""
General government
""
Revenue                                                                      32.8       33.3     35.5     34.7    34.3   33.6     33.2       33.0   32.9
 o/w Oil revenue                                                              6.1        7.2      9.9      8.3     8.0    7.4      7.1        7.0    6.9
 o/w Nonoil revenue                                                          26.6       26.0     25.6     26.4    26.3   26.2     26.1       26.1   26.0
""
 Taxes                                                                       22.0       24.2     26.7     25.7    25.3   24.8     24.5       24.3   24.2
  Corporate profit tax                                                        3.2        3.6      3.9      3.5     3.5    3.4      3.4        3.4    3.5
  Personal income tax                                                         3.5        3.5      3.5      3.5     3.5    3.5      3.5        3.5    3.5
  VAT                                                                         5.3        5.6      5.8      6.3     6.3    6.3      6.3        6.3    6.2
  Excises                                                                     1.6        1.7      1.5      1.6     1.6    1.6      1.6        1.6    1.6
  Custom tariffs                                                              3.0        2.8      3.6      3.2     2.8    2.4      2.1        1.9    1.7
  Resource extraction tax                                                     3.7        4.9      6.3      5.6     5.7    5.6      5.6        5.6    5.7
  Other tax revenue                                                           1.6        2.0      2.0      1.9     1.9    1.9      1.9        1.9    1.9
 Social contributions                                                         7.0        7.1      6.9      7.0     7.0    7.0      7.0        6.9    6.9
 Other revenue                                                                3.8        2.0      2.0      2.1     2.0    1.8      1.8        1.8    1.8
""
Expenditure                                                                  36.4       34.7     32.6     33.3    33.0   33.0     33.2       33.3   33.5
 Expense                                                                     31.7       31.0     29.1     29.4    29.2   29.1     29.3       29.5   29.6
   Compensation of employees                                                  4.3        4.1      3.8      4.0     3.9    3.9      3.9        4.0    4.0
   Use of goods and services                                                  3.4        3.0      2.8      2.9     2.9    2.9      2.9        2.9    2.9
   Interest                                                                   0.9        0.9      0.8      0.9     1.0    1.1      1.1        1.2    1.3
   Subsidies                                                                  7.2        7.5      7.0      7.2     7.2    7.2      7.2        7.2    7.3
   Grants                                                                     0.2        0.2      0.2      0.2     0.2    0.2      0.2        0.2    0.2
   Social benefits                                                           13.8       13.7     12.9     12.8    12.7   12.5     12.3       12.1   11.9
   Other expense                                                              1.8        1.6      1.6      1.5     1.3    1.4      1.7        1.9    2.0
""
 Net acquisition of nonfinancial assets                                       4.7         3.8     3.5      3.9     3.9    3.9         3.9     3.9    3.9
Net lending (+)/borrowing (-) (overall balance)                              -3.7        -1.5     2.9       1.5    1.3     0.6         0.0   -0.3   -0.6
Non-oil primary structural balance                                           -8.9        -7.7    -6.6      -6.4   -6.1    -6.0        -6.2   -6.3   -6.3
Gross financing requirements                                                 10.6         9.1     1.6      -0.3    0.0     0.6         1.0    1.2    1.2
""
Federal government 3/
""
Revenue                                                                      15.6       16.4     18.7     18.2    17.7   17.0     16.6       16.5   16.4
 o/w Oil revenue                                                              5.6        6.6      8.9      7.7     7.4    6.9      6.6        6.4    6.3
 o/w Nonoil revenue                                                          10.0        9.8      9.9     10.5    10.3   10.1     10.1       10.1   10.1
""
Expenditure                                                                  19.1       17.8     16.1     16.7    16.4   16.3     16.5       16.7   16.8
 Expense                                                                     15.6       15.3     13.8     14.0    13.7   13.6     13.9       14.0   14.1
 Net acquisition of nonfinancial assets                                       3.5        2.6      2.3      2.7     2.7    2.7      2.7        2.7    2.7
Net lending (+)/borrowing (-) (overall balance)                              -3.4        -1.4     2.6       1.5    1.4     0.7         0.1   -0.2   -0.4
Non-oil primary structural balance                                           -8.3        -7.1    -5.8      -5.7   -5.4    -5.2        -5.4   -5.5   -5.5
Gross financing requirements                                                  4.2         2.6    -1.8      -0.7   -0.5     0.1         0.7    0.9    0.9
Memorandum items:
 General government nonoil primary balance                                    -9.3        -8.2    -6.5    -6.5    -6.2    -5.9    -6.1    -6.2    -6.3
 General government nonoil overall balance                                    -9.8        -8.7    -7.0    -6.9    -6.7    -6.8    -7.1    -7.3    -7.4
 Federal government nonoil primary balance                                    -8.6        -7.4    -5.7    -5.7    -5.4    -5.2    -5.4    -5.5    -5.5
 Federal government nonoil overall balance                                    -9.0        -8.0    -6.2    -6.2    -6.0    -6.1    -6.5    -6.6    -6.8
 Federal government primary balance at benchmark oil price                      …         -1.6    -0.8    -0.6    -0.4    -0.4    -0.5    -0.5    -0.5
 Urals oil price (U.S. dollars per barrel)                                   41.9        53.0    69.6    66.9    65.4    61.9    59.7    58.7    58.4
 Oil funds 2/                                                                  6.2         4.1     3.6     7.1     9.7   11.9    13.5    14.7    15.5
 General government debt                                                     16.1        15.5    14.6    15.8    16.3    17.1    18.1    19.2    20.5
" GDP (billions of rubles)                                                  86,014      92,101 103,876 109,663 116,072 123,139 130,646 138,492 146,624"
""
  Sources: Russian authorities; and IMF staff estimates.
""
 1/ Cash basis.
 2/ Balances reflect staff estimates based on projected oil savings.
 3/ Expenditures reflect the authorities budget; oil revenues are staff's estimates.
""
""
""
""
                                                                                                        INTERNATIONAL MONETARY FUND                 27
