V1
RWANDA
""
""
""
" Table 3b. Rwanda: Financial Operations of the Budgetary Central Government, GFSM 20141"
                                                                  (percent of GDP)
""
                                                                         2016/17               2017/18             2018/19              2019/20
                                                               9th PSI               9th PSI             9th PSI              9th PSI
                                                               Review        Act.    Review       Act.   Review       Proj.   Review       Proj.
""
 Revenue                                                          22.0       22.1       21.8      22.1      21.3      22.3       21.0      21.5
 Taxes                                                            14.1       14.5       14.6      14.8      14.3      14.6       14.5      14.7
"    Taxes on income, profits, and capital gains                    5.7        5.7        6.0       5.7       5.9       6.1        6.0       6.1"
    Taxes on property                                               --        0.0         --       0.0        --       0.0         --       0.0
    Taxes on goods and services                                    7.2        7.4        7.2       7.6       7.1       7.2        7.3       7.4
    Taxes on international trade and transactions                  1.1        1.1        1.4       1.0       1.3       1.2        1.3       1.3
    Other taxes                                                     --        0.3         --       0.5        --       0.0         --       0.0
 Social contributions                                               --        0.0         --       0.0        --       0.0         --       0.0
 Grants                                                            4.6        4.6        4.3       4.5       4.4       4.8        4.0       4.1
    Current                                                        2.6        2.6        2.2       2.4       1.8       2.2        1.8       1.9
    Capital                                                        2.0        2.0        2.1       2.1       2.6       2.6        2.2       2.2
 Other revenue                                                     3.3        2.9        2.8       2.8       2.6       3.0        2.5       2.6
 Expense                                                          17.9       17.9       17.5      17.3      17.6      17.4       17.0      17.1
    Compensation of employees                                      3.3        3.3        2.9       3.1       2.7       3.2        2.6       3.3
    Use of goods and services                                      6.0        6.0        4.6       5.5       5.1       5.2        4.8       4.9
    Interest                                                       1.0        1.0        1.2       1.1       1.1       1.2        0.9       1.2
        To nonresidents                                            0.5        0.5        0.5       0.5       0.5       0.5        0.5       0.5
        To residents other than general government                 0.5        0.5        0.6       0.4       0.6       0.6        0.4       0.7
    Subsidies                                                      1.2        1.2        2.2       1.2       2.3       1.7        2.2       1.6
    Grants                                                         4.8        4.8        5.2       4.6       5.1       4.5        5.1       4.4
      To EBUs                                                      0.6        0.6        0.6       0.4       0.6       0.4        0.6       0.5
      To Local Government                                          4.2        4.2        4.6       3.7       4.6       4.0        4.5       3.9
    Social benefits                                                0.3        0.3        0.3       0.3       0.3       0.3        0.3       0.3
    Other expense                                                  1.2        1.2        1.1       1.3       1.1       1.3        1.1       1.3
 Net Operating Balance
   including grants                                                4.1         4.1       4.4       4.8       3.7       4.9        4.1       4.4
   excluding grants                                               -0.6        -0.5        --       0.3      -0.7       0.2        0.1       0.3
 Net acquisition of nonfinancial assets                            9.0        9.0        7.9       9.1       8.3      10.1        8.5       9.0
   Foreign financed                                                 --        4.8        3.8       4.8       4.3       4.5        4.5       4.6
   Domestically financed                                            --        4.2        4.2       4.3       3.9       5.6        4.0       4.4
""
 Net lending (+) / borrowing (-)
    including grants                                              -4.9       -4.9       -3.6      -4.3      -4.6      -5.1       -4.4      -4.6
    excluding grants
 check
                                                                  -9.6       -9.5       -7.9      -8.8      -9.0      -9.9       -8.4      -8.7
 Net acquisition of financial assets                               0.5         0.4       0.2       1.4      -0.7      -0.5       -1.0      -1.2
     Currency and deposits                                         0.1         0.1        --       0.6      -0.7      -0.5       -1.0      -1.2
     Equity and investment fund shares                              --        -0.1       0.1       0.1        --       0.0         --       0.0
     Loans                                                         0.4         0.4       0.1       0.7        --       0.0         --       0.0
 Net incurrence of liabilities                                     5.1         5.1       3.8       5.6       3.9       4.6        3.4       3.4
     Currency and deposits                                          --         0.0        --       0.0        --       0.0         --       0.0
     Debt securities                                               0.8         0.8       0.4       1.1       0.6       0.6        0.5       0.5
     Loans                                                         4.2         4.2       3.6       4.1       3.6       4.3        3.2       3.3
     Other accounts payable                                        0.1         0.1      -0.3       0.4      -0.3      -0.3       -0.3      -0.3
 Statistical discrepancy                                           0.4         0.2        --       0.1        --       0.0         --       0.0
 Memorandum items:
 Domestic revenue (incl. Local government)                        18.0        18.1     18.4       18.3     17.9       18.3      18.1        18.1
 Wage bill                                                         5.8         5.8      5.5        5.5      5.4        5.6       5.3         5.7
 Overall fiscal balance (commitment basis)                        -5.3        -5.1     -3.8       -5.1     -4.6       -5.1      -4.4        -4.6
 Net domestic financing (excl. policy lending)                      --          --       --         --     -0.7       -0.5      -1.0        -1.2
" GDP (Billions of RwF), FY basis                                 7,125       7,125    7,993      7,993    8,937      8,937    10,162      10,162"
""
     Sources: Rwandan authorities and IMF staff estimates and projections.
     1
      Fiscal year runs from July to June.
""
""
""
""
24       INTERNATIONAL MONETARY FUND
