V1
                                                                                                                                           RWANDA
""
""
""
"     Table 2b. Rwanda: Budgetary Central Government Statement of Operations, GFSM 2014"
"                                Presentation1, 2016/17–22/23"
                                                              (Percent of GDP)
""
                                                                 2016/17        2017/18     2018/19     2019/20     2020/21     2021/22     2022/23
                                                                         Act.       Act.       Proj.       Proj.       Proj.       Proj.       Proj.
""
Revenue                                                                  22.0       22.4        23.1        21.8        21.7        21.2        21.2
Taxes                                                                    14.5       14.9        15.1        14.9        15.0        15.2        15.4
"   Taxes on income, profits, and capital gains                            5.7        5.7         6.4         6.3         6.4         6.4         6.6"
   Taxes on property                                                      0.0        0.0         0.0         0.0         0.0         0.0         0.0
   Taxes on goods and services                                            7.4        7.7         7.4         7.3         7.4         7.5         7.7
   Taxes on international trade and transactions                          1.1        1.1         1.3         1.2         1.2         1.2         1.2
   Other taxes                                                            0.3        0.5         0.0         0.0         0.0         0.0         0.0
Social contributions                                                      0.0        0.0         0.0         0.0         0.0         0.0         0.0
Grants                                                                    4.6        4.5         4.9         4.2         4.1         3.8         3.7
   Current                                                                2.6        2.4         2.2         1.5         1.5         1.6         1.5
   Capital                                                                2.0        2.1         2.7         2.6         2.6         2.2         2.2
Other revenue                                                             2.9        2.9         3.2         2.7         2.5         2.2         2.1
Expense (Current exp.)                                                   17.9       17.5        18.2        18.1        18.7        17.9        16.7
   Compensation of employees                                              3.3        3.2         3.3         3.8         3.6         3.6         3.6
   Use of goods and services                                              6.0        5.6         5.4         5.0         5.6         4.9         3.7
   Interest                                                               1.0        1.2         1.2         1.3         1.4         1.4         1.4
       To nonresidents                                                    0.5        0.5         0.5         0.5         0.6         0.6         0.7
       To residents other than general government                         0.5        0.4         0.6         0.8         0.8         0.8         0.7
   Subsidies                                                              1.2        1.3         2.1         2.1         2.1         2.1         2.1
   Grants                                                                 4.8        4.6         4.6         4.2         4.2         4.2         4.2
     To EBUs                                                              0.6        0.5         0.4         0.5         0.5         0.5         0.5
     To Local Government                                                  4.2        3.8         4.1         3.7         3.7         3.7         3.7
   Social benefits                                                        0.3        0.3         0.3         0.3         0.3         0.3         0.3
   Other expense                                                          1.2        1.4         1.4         1.4         1.4         1.4         1.4
Net Operating Balance (Current balance)
  including grants                                                        4.1        4.9         4.9         3.7         3.0         3.3         4.5
  excluding grants                                                       -0.5        0.3         0.0        -0.5        -1.1        -0.5         0.9
""
Net acquisition of nonfinancial assets (Capital exp.)                     9.0        9.2        10.3         9.6         8.5         8.5         9.5
  Foreign financed                                                        4.8        4.9         4.6         4.7         4.8         4.5         4.5
  Domestically financed                                                   4.2        4.3         5.7         5.0         3.7         4.0         5.0
""
Net lending (+) / borrowing (-) (Overall balance)
   including grants                                                      -4.9       -4.4        -5.5        -6.0        -5.5        -5.2        -5.0
   excluding
check        grants                                                      -9.5       -8.9       -10.4       -10.2        -9.6        -9.0        -8.6
Net acquisition of financial assets                                       0.4        1.5        -0.2        -1.7        -0.3        -0.3         0.0
    Currency and deposits                                                 0.1        0.6        -0.2        -1.7        -0.3        -0.3         0.0
    Equity and investment fund shares                                    -0.1        0.1         0.0         0.0         0.0         0.0         0.0
    Loans                                                                 0.4        0.7         0.0         0.0         0.0         0.0         0.0
Net incurrence of liabilities                                             5.1        5.7         5.2         4.3         5.2         4.9         5.0
    Currency and deposits                                                 0.0        0.0         0.0         0.0         0.0         0.0         0.0
    Debt securities                                                       0.8        1.1         1.0         0.5         0.5         0.5         0.0
    Loans                                                                 4.2        4.1         4.5         4.1         5.0         4.7         5.0
    Other accounts payable                                                0.1        0.4        -0.3        -0.3        -0.3        -0.3         0.0
Statistical discrepancy                                                   0.2        0.1         0.0         0.0         0.0         0.0         0.0
Memorandum items:
Overall balance (5-yr averages)                                       -4.5          -4.9        -5.2        -5.3        -5.4        -5.4        -5.2
Domestic revenue (incl. Local government)                             18.1          18.5        19.0        18.3        18.4        18.3        18.5
Wage bill                                                               5.8           5.6         5.8         6.1         5.9         5.9         5.9
Overall fiscal balance (commitment basis)                             -5.1          -5.2        -5.5        -6.0        -5.5        -5.2        -5.0
Net domestic financing (excl. policy lending)                            --            --       -0.8        -1.7        -0.3        -0.3          0.4
"GDP (Billions of RwF), FY basis                                      7,129         7,895       8,694       9,821      11,154      12,663      14,329"
""
 Sources: Rwandan authorities and IMF staff estimates and projections.
 1
  Fiscal year runs from July to June.
""
""
""
""
                                                                                                INTERNATIONAL MONETARY FUND                      29
