V1
SAUDI ARABIA
"Table 2. Saudi Arabia: Budgetary Central Government Operations, 2019-27 (concluded)"
Proj.        Proj.        Proj.        Proj.        Proj.        Proj.
2019        2020        2021         2022        2023        2024        2025        2026        2027
(Billions of Saudi Arabian riyals)
Net lending (+)/borrowing (-)                                          -133       -294        -73        211        188        173        162        157        165
Financing                                                                           143        271         138       -211        -188       -173       -162       -157       -165
Net acquisition of financial assets                                             -25         -96         -54         211         188         173         162         157         165
Domestic                                                                                                    -27             -96             -54            211             188            173            162            157            164
"Deposits at SAMA (+, buildup)                                               -33          -93          -51          211          188         173          162          157          164"
Loans and equity                                                           6          -3          -3           0           0           0           0           0           0
Foreign                                                                             2            0            0            0            0            0            0            0            1
Net incurrence of liabilities (- = repayment)                               118        176          83           0           0           0           0           0           0
Domestic                                                                                                           70             173               76                 0               40               41               46               91                96
Banks                                                                                         10          119            23              0              0              0              0            41            46
Nonbanks                                                                      60          54          53            0          41          41           46          50          50
Foreign                                                                              .          50”          47”          49            43            77              0            26            21”          22
Amortization                                                                                  -2           -44           -41           -43         -117           -41           -72         -112         -117
Domestic                                                                       -2         -44         -21         -26         -46         -41         -46         -91         -91
Foreign                                                                                         0              0           -21           -17           -71               0           -26           -21           -26
Residual/ Gap ( +ve = overfinancing)                                 10        -23         64          0          Lt)          0          0          Lt)          0
(In percent of GDP)
Net lending (+)/borrowing (-)                                           -4.4      -11.2       -2.3         5.5        4.9        4.5        4.1         3.9        4.0
Financing                                                                            4.7        10.3         4.4        -5.5        -4.9        -4.5        -4.1        -3.9        -4.0
Net acquisition of financial assets                                             -0.8        -3.6        -1.7          aS         49         4.5         4.1          3.9         4.0
Domestic                                                                       -0.9        -3.6        -1.7          ae         4.9         4.5         4.1          3.9          3.9
"Deposits at SAMA (+, buildup)                                        -1.1        -3.5        -1.6         5.5         4.9         4.5         4.1         3.9         3.9"
Loans and equity                                                         0.2        -0.1        -0.1          0.0         0.0         0.0         0.0         0.0         0.0
Foreign                                                                           0.1          0.0          0.0          0.0          0.0          0.0          0.0          0.0          0.0
Net incurrence of liabilities (- = repayment)                               3.9         6.7         2.7         0.0         0.0         0.0         0.0         0.0         0.0
Domestic                                                                                                 2.3             6.6             2.4             0.0             1.1              1.1              1.2             2.3             2.3
Banks                                                                                                             0.3              4.5              0.7              0.0              0.0              0.0              0.0              1.0              1.1
Nonbanks                                                                     2.0          2.0          1.7          0.0          1.1          1.1          1.2          1.2          1.2
Foreign                                                                                                      1.7             1.8             1.6             1.1              2.0             0.0             0.7             0.5             0.5
Amortization                                                                   -0.1         -1.7        -1.3        -1.1         -3.1         -1.1         -1.8        -2.8        -2.8
Domestic                                                                     -0.1         -1.7        -0.7        -0.7        -1.2        -1.1         -1.2        -2.3        -2.2
Foreign                                                                                                  0.0             0.0           -0.7           -0.4           -1.9             0.0           -0.7            -0.5           -0.6
Residual/ Gap ( +ve = overfinancing)                                0.3       -0.9        rae |         0.0        0.0        0.0        0.0        0.0        0.0
Memorandum items:
Non-oil overall balance                                                  -727       -707       -636       -613       -607       -604       -603       -602       -604
Non-oil primary balance                                                     -728       -757       -628       -600       -595       -591        -590       -589       -591
Non-oil revenue/non-oil GDP                                                                    16.9           19.3           20.2            18.8           18.8           18.8           18.9           18.9            18.9
Tax revenue)/non-oil GDP                                                      8.9          9.9        14.2        14.2        14.2        14.2        14.3        14.3        14.4
Current balance                                                                              37         -139            44          317          301          292          288          290          306
Non-oil primary balance/non-oil GDP                                 -37.1      -39.7      -31.4      -27.9      -26.1      -24.5      -23.1      -21.8      -20.7
Government gross domestic debt/GDP                                                12.4           19.1           17.8           13.8           13.8           me |           13.4           13.0           12.7
Government foreign issued debt/GDP                                                  10.1           335           12.2           10.5           10.8           10.7           10.5           10.2             9.8
Government gross debt/GDP                                               22.5        32.4        30.0        24.3        24.5        244        Pace        23.3        22.5
Government deposits at SAMA/GDP                                       17.6        16.6        123        15.4        20.5        24.9        28.5        31.6        34.5
Government net financial assets/GDP                                             -49        -15.9        -17.7          -8.9          -4.0           0.5           4.6           8.4         12.0
"Government Deposits at SAMA (SAR billions)                              529        437         385         596         784         957       1.118       1,275       1,440"
"GDP market prices (SAR billions)                                            3,014      2,638      3,126      3,860      3,623      3,848      3,921       4,031       4,174"
"Non-oil GDP (SAR billions)                                                  1,964      1,908      1,998      2,154      2,282      2,414      2,552      2,698      2,854"
Average oil export price                                                    65.9       42.7       74.1       105.9       91.1        62.3        76.3        72.3        69.9
Sources: Ministry of Finance; and IMF staff projections.
INTERNATIONAL MONETARY FUND 47
