V1
           SENEGAL
""
""
""
"                     Table 5. Senegal: Central Government Operations, GFSM 2001 Classification,1 2019–26"
                                                       (percent of GDP)
                                                                                        2019                 2020                            2021                                2022                     2023        2024      2025           2026
                                                                                                      EBS/21/44         Proj.          EBS/21/44           Proj.        EBS/21/44               Proj.                   Projections
Revenue and Grants                                                                         20.4            20.0         20.0                20.2           20.4              21.0               21.0         21.4       21.7      22.9           23.8
 Taxes                                                                                     17.6            16.7         16.7                17.1           17.6              18.1               18.4         18.8        19.2       20.6         21.6
  Hydrocarbon Taxes                                                                           …               …            …                   …              …               0.0                0.0          0.2         0.4        0.9          0.7
  Non-Hydrocarbon Taxes                                                                    17.6            16.7         16.7                17.1           17.6              18.1               18.4         18.6        18.8       19.7         20.9
    Direct Taxes                                                                            5.6             5.4          5.4                 5.2            5.4               5.8                5.7          6.1         6.3        7.3          7.5
    Taxes on goods and services                                                             9.1             8.7          8.7                 9.2            9.2               9.6                9.7          9.9        10.0       10.2         10.8
    Taxes on international trade and transactions                                           2.7             2.4          2.4                 2.4            2.8               2.5                2.8          2.6         2.7        2.9          3.0
    Other taxes                                                                             0.3             0.2          0.2                 0.3            0.3               0.2                0.3          0.2         0.2        0.2          0.2
 Grants                                                                                     1.6             2.3          2.3                 1.9            1.5               2.1                1.8          1.8         1.6        1.5          1.5
  Budget                                                                                    0.1             1.4          1.4                 0.4            0.1               0.5                0.3          0.3         0.2        0.1          0.1
  Projects                                                                                  1.5             0.9          0.9                 1.5            1.5               1.5                1.5          1.5         1.4        1.4          1.3
 Other revenue                                                                              1.1             1.1          1.1                 1.2            1.2               0.8                0.8          0.8         0.8        0.8          0.8
Expenditure                                                                                24.3            26.4         26.4                25.7           26.7              25.2               25.7         25.1        24.7       25.9         26.9
 Expense                                                                                   15.8            17.1         17.1                15.6           16.3              15.4               15.0         14.8        14.2       14.1         14.1
  Compensation of employees                                                                 5.4             5.7          5.7                 6.2            6.0               6.2                6.0          5.7         5.7        5.7          5.7
       of which: youth employment program                                                     …               …            …                  0.1            0.1               0.2                0.2          0.2          …             …        …
      Use of goods and services                                                              2.1             2.0          2.0                 2.2            2.1               2.2                2.1          2.1         2.1           2.1      2.1
      Interest                                                                               1.9             2.0          2.0                 2.2            2.1               2.1                2.1          2.1         2.0           2.0      2.0
        Foreign                                                                              1.5             1.8          1.8                 1.5            1.5               1.2                1.5          1.7         1.5           1.5      1.5
        Domestic                                                                             0.4             0.3          0.3                 0.7            0.6               1.0                0.7          0.4         0.4           0.5      0.5
      Subsidies                                                                              2.2             3.3          3.3                 2.3            2.4               1.9                2.3          1.9         1.4           1.2      1.2
      Grants (current excl. FSE)                                                             2.7             2.7          2.7                 1.7            2.5               1.7                1.5          1.8         1.8           1.8      1.8
      Social benefits                                                                        0.1             0.2          0.2                 0.1            0.1               0.2                0.2          0.2         0.2           0.3      0.3
      Other expense                                                                          1.5             1.3          1.3                 1.0            0.9               1.1                0.9          1.0         1.0           1.0      1.0
    Net acquisition of nonfinancial assets 2                                                 8.5             9.3          9.3                10.1          10.4                9.7              10.8          10.4       10.5           11.8     12.7
     Domestically financed                                                                   4.1             5.3          5.3                 4.9           5.3                4.8               5.7           5.4        5.9            7.4      8.4
     Externally financed                                                                     4.4             3.9          3.9                 5.2           5.1                5.0               5.0           5.0         4.6           4.5      4.3
Net lending/borrowing (Overall balance)                                                     -3.9            -6.4         -6.4                -5.4           -6.3              -4.2               -4.8         -3.7        -3.0          -3.0      -3.0
      DSSI - Interest                                                                          …             0.0          0.0                 0.1            0.1                 …                 …             …          …             …           …
      Vaccination campaign                                                                     …               …           …                  0.3            0.2               0.2                0.3            …          …             …           …
Net lending/borrowing (excl. exceptional one-off operations)3                               -3.1            -6.3        -6.3                 -5.1          -6.0               -4.0              -4.5         -3.7        -3.0           -3.0     -3.0
Transactions in financial assets and liabilities (Financing)                                -3.9            -6.4        -6.4                 -5.4          -6.3               -4.2              -4.8         -3.7        -3.0           -3.0     -3.0
    Net acquisition of financial assets                                                     -2.1             1.2          1.2                 0.0            2.2               0.0               -0.5          0.0         0.0           0.0       0.0
     Domestic                                                                               -2.1             1.2          1.2                 0.0            2.2               0.0               -0.5          0.0         0.0           0.0       0.0
      Currency and deposits                                                                 -2.1             0.8          0.8                 0.0            0.8               0.0               -0.7          0.0         0.0           0.0       0.0
      Other accounts receivable                                                              0.0             0.3          0.3                 0.0            1.4               0.0                0.2          0.0         0.0           0.0       0.0
     Foreign                                                                                 0.0             0.0          0.0                 0.0            0.0               0.0                0.0          0.0         0.0           0.0       0.0
    Net incurrence of liabilities                                                            1.8             7.3          7.3                 3.5            8.1               3.3                2.7          3.7         3.0           3.0       3.0
     Domestic                                                                               -1.2             3.9          3.9                 0.5            3.1               0.9                0.1          0.4        -0.2           0.1      -0.1
      IMF and SDRs                                                                          -0.1             1.9          1.9                 0.0            2.3               0.0                0.0         -0.2        -0.5          -0.6      -0.6
      Debt securities (net)                                                                  0.0             2.3          2.3                 0.9            1.2               1.1                0.5          1.0         0.6           0.9       0.6
      BOAD                                                                                   0.0             0.1          0.1                -0.1           -0.1              -0.1               -0.3         -0.2        -0.1          -0.1      -0.1
      Loans                                                                                  0.0            -0.5         -0.5                -0.3           -0.3              -0.2               -0.2         -0.2        -0.1          -0.1      -0.1
       Other accounts payable 4                                                             -0.7             0.2          0.2                 0.0            0.0               0.0                0.0          0.0         0.0           0.0      0.0
      Foreign                                                                                3.0             3.4          3.4                 3.0            5.0               2.4                2.6          3.3         3.2           2.9      3.2
       Debt securities (net)                                                                -1.4             1.2          1.2                 1.2            3.2               0.3                0.5          0.7         1.7           0.8       1.8
        T-bills and bonds issued in WAEMU                                                   -1.4             1.2          1.2                 1.2            1.3               0.3                0.5          0.7         0.4           0.8       0.6
        Eurobond                                                                             0.0             0.0          0.0                 0.0            1.9               0.0                0.0          0.0         1.3           0.0       1.2
       Loans                                                                                 4.5             2.2          2.2                 1.8            1.8               2.1                2.1          2.6         1.5           2.1       1.4
        Program loans                                                                        1.9             1.4          1.5                 0.6            0.3               0.6                0.8          0.6         0.5           0.4       0.4
        Project loans                                                                        2.9             3.0          3.0                 3.7            3.6               3.4                3.5          3.5         3.2           3.1       3.0
        Nonconcessional loans                                                                0.9             0.0          0.0                 0.0            0.0               0.4                0.4          0.5         0.0           0.3       0.5
        Other                                                                               -1.2            -2.2         -2.2                -2.5           -2.1              -2.3               -2.6         -2.0        -2.2          -1.7      -2.5
       Other accounts payable                                                                0.0             0.0          0.0                 0.0            0.0               0.0                0.0          0.0         0.0           0.0       0.0
Financing Gap                                                                                  …             0.2         0.2                  1.9           0.5                0.9               1.5           0.0        0.0           0.0       0.0
    SBA/SCF                                                                                    …             0.0          0.0                 1.3            0.0                0.9               1.5            …          …             …           …
    Exceptional Financing5                                                                     …             0.2          0.2                 0.6            0.5                 …                 …             …          …             …           …
Memorandum items:
  Clearance of unmet obligations (pre-2020)                                                  0.7             1.5          1.5                 0.3            0.9               0.6                0.1            …          …             …           …
      Hydrocarbon revenues6                                                                   …               …            …                    …             …                0.0               0.0           0.3         0.5           1.2      0.8
      Non-oil tax to non-oil GDP ratio                                                        …               …           …                     …             …               18.1              18.4          19.1       20.0           20.8     22.0
"      Nominal GDP                                                                        13,655          14,185      14,185              14,998         15,273            16,159             16,485       18,415     20,668      22,200        23,857"
Sources: Ministry of Finance; and IMF staff calculations.
1
  Government Finance Statistics Manual (http://www.imf.org/external/pubs/ft/gfs/manual/).
2
"    Public Investment differs from net acquisition of nonfinancial assets reported in the fiscal tables by including public spending in wages and salaries of frontline staff in education and health, both of which are considered as investment"
in human capital (in line with the spirit of the PSE).
3
