V1
                                                                                                                                                                     SIERRA LEONE
""
""
""
                         Table 2b. Sierra Leone: Fiscal Operations of the Central Government
                                              (Percent of non-iron ore GDP)
                                                                        2020           2021                       2022                2023     2024       2025         2026      2027
                                                                                 ECF 3/4                ECF 3/4
                                                                         Act.     Rev 1/        Prel.    Rev 1/     Proj.                              Proj.
Total revenue and grants                                                20.0         19.3       20.8        18.7              21.0     19.5     20.7      20.4          20.0      20.2
 Revenue                                                                13.8         14.1       15.5        14.2              14.7     15.0     15.5      15.9          16.3      16.5
  Tax revenue                                                           11.6         11.8       12.5        11.9              12.1     12.5     13.0      13.4          13.8      14.1
    Personal Income Tax                                                  3.5          3.5        3.7         3.5               4.0      4.0      3.7       3.5           3.5       3.5
    Corporate Income Tax                                                 1.5          1.4        1.7         1.5               1.5      1.5      1.7       1.7           1.7       1.8
    Goods and Services Tax                                               2.6          2.6        2.8         2.7               2.7      2.8      3.2       3.6           3.8       3.9
    Excises                                                              1.4          1.4        1.1         1.5               1.1      1.1      1.1       1.1           1.2       1.3
    Import duties                                                        1.6          1.6        1.8         1.7               1.8      1.9      2.1       2.2           2.3       2.3
    Mining royalties and licenses                                        0.6          1.0        1.2         0.7               0.7      0.8      0.9       1.0           1.0       1.0
    Other taxes                                                          0.2          0.2        0.2         0.3               0.2      0.3      0.3       0.3           0.3       0.3
  Non-tax                                                                2.2          2.3        3.0         2.3               2.6      2.6      2.6       2.5           2.5       2.4
" Other, Capital Transfers from BSL (CCRT Debt Relief)                    0.9          0.7        0.7         0.4               0.4      0.0      0.0       0.0           0.0       0.0"
""
 Grants                                                                   5.3         4.5        4.6         4.1               5.8      4.5      5.2           4.4       3.7       3.7
  o/w Budget support                                                      3.8         2.4        2.4         1.5               2.7      2.0      2.3           2.3       2.3       2.2
  o/w Project grants                                                      1.5         2.0        2.2         2.6               2.7      2.6      2.8           2.1       1.4       1.4
""
Expenditures and net lending                                            25.7         23.1       28.1        21.5              25.1     22.3     23.1      22.3          21.7      22.1
 Current expenditures                                                   17.7         16.3       19.3        14.7              17.7     15.0     15.3      14.8          14.5      14.0
  Wages and salaries 2/                                                  8.2          7.8        8.8         6.9               8.2      7.2      7.1       7.0           7.0       6.9
  Goods and services                                                     3.6          2.5        3.8         2.3               2.7      2.5      2.4       2.6           2.6       2.6
  Subsidies and transfers                                                2.9          3.3        3.9         2.6               3.9      2.6      2.4       2.3           2.4       2.3
  Interest                                                                3.0         2.7        2.8         2.9               3.0      2.7      3.5           3.0       2.5       2.3
        Domestic                                                          2.7         2.4        2.5          2.6              2.7      2.3      3.1        2.5          2.1       1.8
        Foreign                                                           0.3         0.3        0.3          0.3              0.3      0.3      0.4        0.5          0.5       0.5
 Capital Expenditure                                                      7.6         6.4        7.9          6.7              7.3      7.0      7.4        7.1          7.0       7.5
  Foreign financed                                                        4.3         3.9        4.1          4.7              4.9      4.6      5.4        4.6          3.9       4.0
  Domestic financed                                                       3.3         2.5        3.8          2.0              2.4      2.3      2.0        2.5          3.0       3.5
 Net lending                                                              0.0         0.0        0.0          0.0              0.0      0.0      0.0        0.0          0.0       0.0
 Contingent expenditure                                                   0.1         0.1        0.2          0.0              0.0      0.1      0.0        0.0          0.0       0.0
 Arrears Paydown (cash)                                                   0.4         0.3        0.7          0.0              0.0      0.3      0.3        0.3          0.2       0.6
Domestic primary balance 3/                                              -4.2        -2.1       -5.0          0.3             -2.5      0.3      1.7        1.6          1.3       1.2
Overall balance including grants                                         -5.8        -3.8       -7.3         -2.8             -4.1     -2.8     -2.4       -1.9         -1.7      -2.0
Overall balance excluding grants                                        -11.1        -8.3      -11.9         -6.9             -9.9     -7.3     -7.6       -6.3         -5.4      -5.6
""
Financing                                                                 5.8         3.8        7.3          2.8              4.1      2.8      2.4        1.9          1.7       2.0
  External financing (net)                                                1.7         0.5        0.8          0.7              0.5      0.4      0.9        0.8          0.8       1.0
   Borrowing                                                              2.8         1.9        2.0          2.1              2.1      2.1      2.6        2.5          2.6       2.6
     Projects                                                             2.8         1.9        2.0          2.1              2.1      2.1      2.6        2.5          2.6       2.6
     Budget                                                               0.0         0.0        0.0          0.0              0.0      0.0      0.0        0.0          0.0       0.0
   Amortization                                                          -1.1        -1.3       -1.2         -1.5             -1.6     -1.6     -1.7       -1.8         -1.8      -1.6
  Domestic financing (net)                                                3.9         2.9        6.2          2.2              2.1      2.1      1.6        1.2          1.0       1.0
   Total Banking Sector (net)                                             6.9         3.8        5.0          2.5              2.6      1.7      1.1        0.8          0.6       0.7
"     Banks, net of onlending                                              3.8         1.9        3.2          2.2              2.2      2.0      2.2        2.1          2.1       2.1"
"     SDR onlending, Net                                                   3.1         1.9        1.9          0.3              0.4     -0.4     -1.1       -1.2         -1.5      -1.4"
       Disbursements                                                      3.5         2.1        2.2          0.6              1.2      0.6      0.0        0.0          0.0       0.0
"        of which, Regular ECF                                             0.0         1.1        1.1          0.6              1.2      0.6      0.0        0.0          0.0       0.0"
"        of which, exceptional financing-RCF                               3.5         1.1        1.1          0.0              0.0      0.0      0.0        0.0          0.0       0.0"
"        of which,SDR allocations onlending                                0.0         0.0        0.0          0.0              0.0      0.0      0.0        0.0          0.0       0.0"
     Repayments                                                          -0.4        -0.3       -0.3         -0.3             -0.8     -1.0     -1.1       -1.2         -1.5      -1.4
  Non-Bank Sector                                                        -0.1        -0.3        1.2         -0.3              0.2      0.5      0.6        0.3          0.4       0.3
"    Government Securities, General                                        0.3         0.3        1.1          0.0              0.3      0.6      0.6        0.3          0.4       0.3"
"    Government Securities, Arrears-Related                               -0.4        -0.6        0.1         -0.3             -0.1     -0.1     -0.1        0.0          0.0       0.0"
       o/w Pre-Arrears Strategy                                          -0.4        -0.9        0.0         -0.2              0.0     -0.1      0.0        0.0          0.0       0.0
       o/w Post-Arrears Strategy                                          0.0         0.3        0.0         -0.1             -0.1     -0.1     -0.1        0.0          0.0       0.0
  Other 4/                                                               -2.9        -0.6        0.0          0.0             -0.7      0.0      0.0        0.0          0.0       0.0
" Other, Use of 2021 SDR allocations                                       0.0         0.0        0.0          0.0              1.6      0.3      0.0        0.0          0.0       0.0"
 G20 debt initiative (deferment)                                          0.2         0.4        0.3          0.0              0.0      0.0      0.0        0.0          0.0       0.0
 G20 debt initiative (payment)                                            0.0         0.0        0.0         -0.1             -0.1     -0.1     -0.1       -0.1         -0.1       0.0
 Financing Gap                                                            0.0         0.0        0.0          0.0              0.0      0.0      0.0        0.0          0.0       0.0
""
Memorandum item:
