V1
                                                                                                                                                                                    SEYCHELLES
""
""
""
""
"                     Table 3b. Seychelles: Consolidated Government Operations, 2020 -27 1"
                                                (Percent of GDP)
""
                                                                   2020          2021              2022               2023              2024              2025              2026           2027
                                                                    Act.                                                                    Proj.
                                                                                 1st               1st     2nd         1st   2nd        1st     2nd       1st   2nd         1st   2nd        2nd
                                                                                        Act.
                                                                             review            review review       review review    review review     review review     review review     review
"                                                                                                       (Percent of GDP, unless otherwise indicated)"
Total revenue and grants                                            34.0       32.4     34.0     34.7     33.5     34.6      36.2     35.8    36.6      36.5     36.0     37.1     35.8     35.7
 Total revenue                                                      32.2       30.0     31.2     32.1     32.6     32.5      33.7     33.5    34.5      34.4     34.3     35.2     34.3     34.2
    Tax                                                             28.7       26.7     27.3     28.2     28.3     29.1      30.1     30.2    31.1      31.8     31.4     32.6     31.5     31.5
        Personal income tax                                          4.6        4.0      4.2      4.2      4.1      4.2       4.1      4.4     4.4       4.5      4.4      4.6      4.2      4.1
        Trade tax                                                    1.2        0.9      0.9      1.0      1.0      1.2       1.1      1.5     1.1       1.7      1.1      1.8      1.2      1.2
        Excise tax                                                   5.7        4.9      4.9      5.6      5.2      5.5       5.8      5.6     5.8       5.9      6.0      6.2      6.0      6.0
        Goods and services tax (GST) / VAT                           9.5        9.3      9.5     10.6     10.8     10.6      11.0     10.1    11.4      10.4     11.1     10.4     11.4     11.3
        Business tax                                                 5.4        5.7      5.9      5.2      5.4      6.0       6.4      6.5     6.8       6.8      7.0      6.9      6.9      7.0
        Corporate Social Responsibility Tax (CSR)                    0.5        0.2      0.2      0.0      0.0      0.0       0.0      0.0     0.0       0.0      0.0      0.0      0.0      0.0
        Marketing Tourism Tax (MTT)                                  0.3        0.2      0.2      0.2      0.2      0.2       0.3      0.6     0.3       0.7      0.3      0.8      0.3      0.3
        Other                                                        1.5        1.3      1.3      1.3      1.2      1.2       1.2      1.6     1.2       1.9      1.3      1.9      1.3      1.3
    Nontax                                                           3.5        3.3      3.8      3.8      4.4      3.4       3.6      3.3     3.4       2.6      2.9      2.6      2.8      2.7
        Fees and charges                                             1.2        1.5      1.5      1.2      1.1      1.3       1.1      1.2     1.1       1.2      1.1      1.0      1.0      0.9
        Dividends from parastatals                                   1.9        1.3      1.8      2.1      2.8      1.9       2.0      1.9     1.9       1.2      1.7      1.4      1.7      1.6
       Other                                                         0.5        0.5      0.6      0.2      0.2      0.2       0.2      0.2     0.2       0.2      0.1      0.2      0.1      0.1
 External grants                                                     1.7        2.4
                                                                                0.0      2.8      2.7
                                                                                                  0.0      0.9      2.0
                                                                                                                    0.0       2.5      2.3
                                                                                                                                       0.0     2.0       2.1      1.7      1.9      1.6      1.5
