V1
REPUBLIC OF SAN MARINO
""
""
""
" Table 2a. San Marino: Statement of Operations for Budgetary Central Government, 2016–24"
                                     (Millions of euros)
                                                                     Est.                                       Proj.
                                                           2016     2017     2018     2019     2020     2021      2022      2023      2024
 Revenue                                                   308.4    298.6    318.1    295.6    302.7    304.8     312.0     318.4     323.8
    Taxes                                                  217.4    212.6    232.7    229.3    235.0    235.7     241.5     246.5     250.4
        Income Taxes                                       109.1    110.1    112.8    116.3    118.7    116.1     118.5     120.9     123.4
        Non-income taxes                                   108.3    102.4    119.9    113.0    116.3    119.6     123.0     125.6     127.0
           Taxes on international trade                     73.0     66.3     69.0     71.4     73.8     76.2      78.8      80.4      80.9
           Other taxes                                      35.3     36.1     50.8     41.6     42.5     43.4      44.3      45.2      46.1
    Non-tax revenue                                         91.0     86.1     85.3     66.3     67.7     69.1      70.5      71.9      73.4
 Expenditure                                               310.9    347.7    356.0    330.0    345.9    351.9     357.9     364.2     370.6
  Current Expenditure                                      308.9    345.5    352.4    326.0    341.4    347.3     353.2     359.5     365.8
    Compensation of employees                               92.8     94.8     96.1     94.8     96.8     98.9     100.9     102.9     105.0
    Use of goods and services                               28.2     26.1     26.5     25.0     25.6     26.1      26.6      27.2      27.7
    Interest                                                 4.4      4.0      5.4      6.3      7.2      8.9      10.6      12.3      14.0
    Transfers                                              180.2    217.4    219.7    195.5    207.4    209.1     210.7     212.5     214.3
        To other general government units                  159.7    148.7    155.6    140.5    154.4    157.6     160.8     164.1     167.5
        To the banking sector                               10.0     40.0     44.1     33.5     31.5     29.5      27.5      25.5      23.5
        To other private sector entities                    10.4     28.8     20.0     21.5     21.5     22.0      22.4      22.9      23.3
    Other expenses (including subsidies)                     3.4      3.2      4.6      4.4      4.4      4.4       4.5       4.6       4.7
  Net acquisition of non-financial assets                    2.0      2.2      3.6      4.0      4.5      4.5       4.6       4.7       4.8
 Overall Balance                                            -2.5    -49.1    -37.9    -34.4    -43.2    -47.1     -45.9     -45.8     -46.8
 Memorandum items
 Pension Funds Balance (net of gov. transfers)             -32.7    -35.9       …        …        …        …         …         …         …
 Primary Balance                                             1.9    -45.1    -32.5    -28.1    -36.0    -38.2     -35.3     -33.5     -32.8
 Primary Balance net of bank support                        11.9     -5.1     11.6      5.4     -4.5     -8.7      -7.8      -8.0      -9.3
 Public debt (official)                                    318.2    351.1    381.9    408.4    448.8    496.1     542.6     589.4     637.8
 Public debt (incl. tax credits and CRSM legacy losses)    467.5   1037.1   1067.9   1092.4   1126.3   1152.2    1176.9    1201.9    1228.7
 Nominal GDP (in millions of euros)                       1326.5   1353.1   1386.7   1416.4   1446.7   1476.7    1506.7    1537.6    1569.2
 Sources: Sammarinese authorities; and IMF staff.
""
""
""
""
" Table 2b. San Marino: Statement of Operations for Budgetary Central Government, 2016–24"
                                     (Percent of GDP)
                                                                     Est.                                       Proj.
                                                           2016     2017     2018     2019      2020     2021      2022      2023      2024
Revenue                                                     23.3     22.1     22.9     20.9     20.9     20.6       20.7      20.7      20.6
   Taxes                                                    16.4     15.7     16.8     16.2     16.2     16.0       16.0      16.0      16.0
   Income Taxes                                              8.2      8.1      8.1      8.2      8.2      7.9        7.9       7.9       7.9
   Non-income taxes                                          8.2      7.6      8.6      8.0      8.0      8.1        8.2       8.2       8.1
        Taxes on international trade and transactions        5.5      4.9      5.0      5.0      5.1      5.2        5.2       5.2       5.2
        Other taxes                                          2.7      2.7      3.7      2.9      2.9      2.9        2.9       2.9       2.9
   Non-tax revenue                                           6.9      6.4      6.2      4.7      4.7      4.7        4.7       4.7       4.7
Expenditure                                                 23.4     25.7     25.7     23.3     23.9     23.8       23.8      23.7      23.6
 Current Expenditure                                        23.3     25.5     25.4     23.0     23.6     23.5       23.4      23.4      23.3
   Compensation of employees                                 7.0      7.0      6.9      6.7      6.7      6.7        6.7       6.7       6.7
   Use of goods and services                                 2.1      1.9      1.9      1.8      1.8      1.8        1.8       1.8       1.8
    Interest                                                 0.3      0.3      0.4      0.4      0.5      0.6        0.7       0.8       0.9
   Transfers                                                13.6     16.1     15.8     13.8     14.3     14.2       14.0      13.8      13.7
        To other general government units                   12.0     11.0     11.2      9.9     10.7     10.7       10.7      10.7      10.7
        To the banking sector                                0.8      3.0      3.2      2.4      2.2      2.0        1.8       1.7       1.5
        To other private sector entities                     0.8      2.1      1.4      1.5      1.5      1.5        1.5       1.5       1.5
   Other expenses (including subsidies)                      0.3      0.2      0.3      0.3      0.3      0.3        0.3       0.3       0.3
 Net acquisition of non-financial assets                     0.2      0.2      0.3      0.3      0.3      0.3        0.3       0.3       0.3
Overall Balance                                             -0.2     -3.6     -2.7     -2.4     -3.0     -3.2       -3.0      -3.0      -3.0
Memorandum items
Pension Funds Balance (net of gov. transfers)               -2.5     -2.7       …        …        …        …          …         …         …
Primary Balance                                              0.1     -3.3     -2.3     -2.0     -2.5     -2.6       -2.3      -2.2      -2.1
Primary Balance net of bank support                          0.9     -0.4      0.8      0.4     -0.3     -0.6       -0.5      -0.5      -0.6
Public debt (official)                                      24.0     25.9     27.5     28.8     31.0     33.6       36.0      38.3      40.6
Public debt (incl. tax credits and CRSM legacy losses)      35.2     76.6     77.0     77.1     77.9     78.0       78.1      78.2      78.3
Nominal GDP (in millions of euros)                        1326.5   1353.1   1386.7   1416.4   1446.7   1476.7    1506.7    1537.6     1569.2
Sources: Sammarinese authorities; and IMF staff.
""
""
""
""
24     INTERNATIONAL MONETARY FUND
