V1
SAUDI ARABIA
""
""
""
"         Table 2. Saudi Arabia: Budgetary Central Government Operations, 2016–24 (concluded)"
                                                                                                         Proj.      Proj.       Proj.     Proj.      Proj.        Proj.
                                                                     2016       2017        2018         2019       2020        2021      2022       2023         2024
""
""
""
""
 Net lending (+)/borrowing (-)                                       -416       -238        -173         -193       -155        -228      -219       -211         -197
""
 Financing 5                                                           367       224         175          193        155         228       219        211             197
     Net acquisition of financial assets                              -193       -98         -58          -75        -80        -134      -172        -70               0
      Domestic                                                        -193       -98         -75          -82        -80        -134      -172        -70               0
"        Deposits at SAMA (+, buildup)                                 -293       -89         -79          -97        -90        -134      -172        -70               0"
        Loans and equity                                               100        -9           4           14         10           0         0          0               0
      Foreign                                                            0         0          16            8          0           0         0          0               0
""
     Net incurrence of liabilities (- = repayment)                    174        126          117          118         76          94        46       141             197
      Domestic                                                         97         58           49           79         79          79        68       173             144
        Banks                                                          91         40           24           39         39          39        34        87              72
        Nonbanks                                                        6         18           24           39         39          39        34        87              72
      Foreign                                                         103         81           71           41         41          41        53        75              75
      Amortization                                                    -26        -13           -3           -2        -44         -26       -74      -107             -22
        Domestic                                                      -26        -13           -3           -2        -44          -5       -57       -36             -22
        Foreign                                                         0          0            0            0          0         -21       -17       -71               0
     Residual/ Gap ( +ve = overfinancing)                             -49        -14            2            0          0           0         0         0               0
                                                                                                          (In percent of GDP)
 Net lending (+)/borrowing (-)                                       -17.2       -9.2        -5.9         -6.5       -5.1        -7.3      -6.8       -6.4            -5.7
""
 Financing 5                                                          15.2        8.7         6.0          6.5        5.1         7.3       6.8       6.4             5.7
     Net acquisition of financial assets                              -8.0       -3.8        -2.0         -2.5       -2.6        -4.3      -5.4       -2.1             0.0
         Domestic                                                     -8.0       -3.8        -2.5         -2.8       -2.6        -4.3      -5.4       -2.1             0.0
"          Deposits at SAMA (+, buildup)                              -12.1       -3.5        -2.7         -3.3       -2.9        -4.3      -5.4       -2.1             0.0"
          Loans and equity                                             4.1       -0.3         0.1          0.5        0.3         0.0       0.0        0.0             0.0
         Foreign                                                       0.0        0.0         0.6          0.3        0.0         0.0       0.0        0.0             0.0
     Net incurrence of liabilities (- = repayment)                     7.2        4.9         4.0          4.0        2.5         3.0       1.4        4.2             5.7
         Domestic                                                      4.0        2.3         1.7          2.7        2.6         2.5       2.1        5.2             4.2
          Banks                                                        3.8        1.6         0.8          1.3        1.3         1.3       1.1        2.6             2.1
          Nonbanks                                                     0.2        0.7         0.8          1.3        1.3         1.3       1.1        2.6             2.1
         Foreign                                                       4.3        3.1         2.4          1.4        1.4         1.3       1.6        2.3             2.2
         Amortization                                                 -1.1       -0.5        -0.1         -0.1       -1.5        -0.8      -2.3       -3.2            -0.6
          Domestic                                                    -1.1       -0.5        -0.1         -0.1       -1.5        -0.2      -1.8       -1.1            -0.6
          Foreign                                                      0.0        0.0         0.0          0.0        0.0        -0.7      -0.5       -2.1             0.0
     Residual/ Gap ( +ve = overfinancing)                             -2.0       -0.6         0.1          0.0        0.0         0.0       0.0       0.0             0.0
 Memorandum items:
  Non-oil overall balance                                             -750       -674        -784         -810       -793        -866      -888      -902          -927
  Non-oil primary balance                                             -821       -722        -803         -809       -786        -853      -868      -873          -888
  Non-oil revenue (excl. investment income)/non-oil GDP                 6.1        7.0       13.5         17.2       17.2        14.6      13.8      13.6          13.5
  Current balance                                                     -207       -100          14           41        111          50        63        58            72
  Non-oil primary balance/non-oil GDP                                -45.7      -39.6       -41.6        -41.1      -38.1       -39.4     -38.2     -36.5         -35.3
  Government gross domestic debt/GDP                                    8.8      10.0        10.4         12.9       13.6        15.7      15.6      19.2          21.9
  Government external debt                                              4.3        7.1         8.7        10.1       11.1        11.5      12.3      12.0          13.7
  Government gross debt/GDP                                           13.1       17.2        19.1         23.0       24.7        27.2      27.9      31.1          35.6
  Government deposits at SAMA/GDP                                     30.2       24.8        19.2         15.8       12.3          7.8       2.2       0.0           0.0
  Government net financial assets/GDP                                 17.1         7.7         0.1         -7.2     -12.4       -19.4     -25.7     -31.1         -35.6
  Government Deposits at SAMA (SAR billions)                           731        641         562          466        376         243        70          0             0
"  GDP market prices (SAR billions)                                   2,419      2,582       2,934        2,947      3,048       3,117     3,206     3,322         3,458"
"  Non-oil GDP (SAR billions)                                         1,797      1,824       1,929        1,971      2,061       2,165     2,274     2,391         2,517"
  Average oil export price                                            41.5       53.2        67.9         65.5       63.9        60.7      58.5      57.6          57.4
""
     Sources: Ministry of Finance; and IMF staff projections.
     5
   The Government may choose a different financing strategy than assumed in the staff’s baseline projections during 2019-24 that would not drawdown its deposits at
 SAMA.
""
""
""
""
46         INTERNATIONAL MONETARY FUND
