V1
REPUBLIC OF SERBIA
""
""
""
"                      Table 6a. Serbia: General Government Fiscal Operations, 2015–23   "
                                                 (Billions of RSD)
                                                                           2015     2016      2017        2018     2019      2020      2021       2022      2023
""
                                                                                                   Est.    Proj.     Proj.     Proj.      Proj.     Proj.     Proj.
""
"     Revenue                                                                1,695    1,843        1,973   2,051     2,134     2,279     2,429      2,595     2,772"
"      Taxes                                                                 1,464    1,586        1,718   1,800     1,877     2,013     2,157      2,315     2,482"
        Personal income tax                                                   147      155          168     177       167       176       186        197       209
        Social security contributions 2/                                      506      527          567     609       628       675       728        785       840
        Taxes on profits                                                       63       80          112     104       111       118       127        136       148
        Value-added taxes                                                     416      454          479     504       538       580       624        667       718
        Excises                                                               236      266          280     288       306       328       351        377       404
        Taxes on international trade                                           33       36           40      43        47        50        50         54        59
        Other taxes                                                            63       67           72      75        80        86        92         98       104
      Non-tax revenue                                                         221      239          241     235       241       248       253        260       268
      Capital revenue                                                           3        8            6       0         0         0         0          0         0
      Grants                                                                    7        9            9      16        17        18        19         20        22
""
"     Expenditure                                                            1,843    1,897        1,922   2,024     2,160     2,306     2,457      2,628     2,808"
"       Current expenditure                                                  1,696    1,715        1,745   1,838     1,950     2,084     2,222      2,379     2,545"
        Wages and salaries 3/                                                 419      418          426     467       493       523       560        600       644
        Goods and services                                                    303      339          365     406       431       459       488        520       554
        Interest                                                              130      132          121     106       117       130       133        144       152
        Subsidies                                                             134      113          113     113       121       129       139        149       160
"        Transfers                                                             710      714          720     746       789       842       902        966     1,036"
          Pensions 4/                                                         490      503          506     527       560       597       641        687       738
          Other transfers 5/                                                  219      211          214     219       229       245       262        279       298
       Capital expenditure                                                    115      139          134     158       183       196       210        226       242
       Net lending                                                              3        3           14       8         8         9         9         10        11
       Amortization of activated guarantees                                    30       39           29      21        19        17        15         14        10
""
     Fiscal balance                                                          -149      -54          51       27       -26       -27        -28       -33        -36
""
     Financing                                                                149       54         -51      -27        26        27        28         33         36
       Privatization proceeds                                                   1        5           2       20         0         0         0          0          0
       Equity investment                                                        0        0           0        0         0         0         0          0          0
       Domestic                                                               120       20         -37       49        46        99        54         54         62
         Banks                                                                165      148         -65       52        25        18        11         37         38
           Government deposits ((-) means accumulation)                        32       35           5      -12        -5       -10        -8        -10        -11
           Securities held by banks (net)                                      93       99          -3       76        54        53        43         69         70
            Other domestic bank financing                                      39       14         -68      -12       -24       -25       -24        -22        -22
         Non-banks (incl. non-residents)                                      -45     -128          28       -3        21        80        43         17         23
"           Securities held by non-banks (non-residents, net)                   35      -37          43        8        23        80        43         17         23"
           Others (incl. amortization)                                        -80      -91         -15      -11        -2         0         0          0          0
       External                                                                28       29         -16      -97       -21       -72       -26        -21        -26
         Program                                                               17        0          61        0         0         0         0          0          0
         Project                                                               55       73          60       57        45        48        51         55         59
         Bonds and loans                                                       12       23           0       59        20       119       208          0          0
         Amortization                                                         -56      -67        -137     -213       -85      -239      -285        -76        -85
     Memorandum items:
       Wages and salaries excluding severance payments                        419      418         426      467       493       523       560        600       644
       Gross 1 wages and salaries                                             356      354         361      394       421       446       478        512       549
       Arrears accumulation (domestic)                                         -3       -1          -1       -1        -1         0         0          0         0
       Quasi-fiscal support to SOEs (gross new issuance of
       guarantees)                                                           105       86           54        8       30         15        10         7          0
       Government deposits (stock)                                           142      107          102      113      118        128       137       147        157
       Gross public debt                                                    3074     3114         2792     2770     2821       2873      2912      2955       2996
       Gross public debt (including restitution)                            3317     3357         3035     3013     3044       3077      3096      3119       3141
       Nominal GDP (billions of dinars)                                     4043     4262         4465     4740     5058       5421      5809      6226       6683
""
       Sources: Ministry of Finance; and IMF staff estimates and projections.
"     1/ Includes the republican budget, local governments, social security funds, and the Road Company, but excludes indirect budget beneficiaries (IBBs) that are"
     reporting only on an annual basis.
     2/ Includes employer contributions.
     3/ Including severence payments. Includes employer contributions.
     4/ Includes RSD10 billion military pension payment in 2015 following a Constitution Court ruling.
"     5/ Excluding foreign currency deposit payments to households, reclassified below the line."
""
""
""
""
36      INTERNATIONAL MONETARY FUND
