V1
    REPUBLIC OF SERBIA
""
""
""
"                           Table 6b. Serbia: General Government Fiscal Operations, 2016-2025   "
                                                      (Percent of GDP)
""
                                                                    2016      2017      2018              2019                     2020                     2021                      2022                 2023      2024      2025
""
                                                                                                    CR 19/369       Proj.   CR 19/369        Proj.   CR 19/369        Proj.    CR 19/369           Proj.     Proj.     Proj.     Proj.
""
Revenue                                                               40.8       41.5        41.5        41.4       42.1          40.2       38.2          39.8       41.1           39.5          41.4      40.8      40.9      40.9
 Taxes                                                                35.1       36.1        36.0        36.5       36.8          35.8       33.7          35.5       36.7           35.3          37.3      36.9      37.0      37.2
   Personal income tax                                                 3.4        3.5         3.5         3.7        3.8           3.7        3.1            3.6        3.8           3.6           4.0       3.8       3.9       3.9
   Social security contributions 2/                                   11.7       11.9        12.2        12.4       12.5          12.4       10.6          12.3       13.1           12.3          13.4      13.0      13.1      13.2
   Taxes on profits                                                    1.8        2.4         2.2         2.4        2.3           2.0        1.8            2.1       1.6            2.1           1.7       1.8       1.9       1.9
   Value-added taxes                                                  10.0       10.1         9.9        10.1       10.2          10.0       10.4            9.9      10.3            9.8          10.3      10.3      10.3      10.4
   Excises                                                             5.9        5.9         5.7         5.6        5.7           5.3        5.4            5.3        5.5           5.3           5.5       5.5       5.5       5.4
   Taxes on international trade                                        0.8        0.8         0.9         0.9        0.9           0.9        0.8            0.9        0.9           0.9           0.9       0.9       0.9       0.9
   Other taxes                                                         1.5        1.5         1.5         1.5        1.5           1.4        1.5            1.4        1.5           1.4           1.5       1.4       1.4       1.4
 Non-tax revenue                                                       5.3        5.1         5.2         4.6        4.8           4.1        4.2            4.0        4.1           4.0           3.9       3.7       3.6       3.4
 Capital revenue                                                       0.2        0.1         0.1         0.0        0.2           0.0        0.0            0.0        0.0           0.0           0.0       0.0       0.0       0.0
 Grants                                                                0.2        0.2         0.3         0.3        0.3           0.3        0.3            0.3        0.3           0.3           0.3       0.3       0.3       0.3
""
Expenditure                                                           41.9       40.4        40.9        42.0       42.3          40.7       46.8          40.3       43.2           40.0          42.0      41.4      41.4      41.3
 Current expenditure                                                  37.9       36.7        36.4        37.2       37.0          35.9       42.3          35.6       37.5           35.4          36.3      36.1      36.0      35.9
   Wages and salaries 3/                                               9.2        9.0         9.2         9.5        9.5           9.5       10.4            9.5        9.7           9.4           9.5       9.5       9.5       9.5
   Goods and services                                                  7.5        7.7         8.1         8.6        8.7           8.3       10.2            8.2        9.1           8.1           8.6       8.5       8.5       8.4
   Interest                                                            2.9        2.5         2.1         2.1        2.0           1.9        2.0            1.9        1.9           2.0           1.8       1.8       1.8       1.8
   Subsidies                                                           2.5        2.4         2.2         2.4        2.2           2.0        4.4            2.0        2.2           2.0           2.2       2.2       2.2       2.2
