V1
SIERRA LEONE
""
""
""
                           Table 3b. Sierra Leone: Fiscal Operations of the Central Government
                                               (Percent of non-iron ore GDP)
                                                                          2018         2019                    2020              2021             2022     2023       2024      2025     2026
""
""
                                                                           Act.         Act.    RCF2           Prel.       RCF2          Proj.                     Proj.
 Total revenue and grants                                                 15.8         18.0       19.3         19.3          19.4        19.3     18.7     18.7       19.2      18.8     18.4
  Revenue                                                                 13.7         14.6        13.3        13.3           13.4       14.1     14.2     14.3        14.7     15.1     15.3
    Tax revenue                                                           11.8         12.3        11.1        11.2           11.4       11.8     11.9     12.0        12.6     12.9     13.1
     Personal Income Tax                                                    3.6          4.1        4.0         3.4            4.2        3.5      3.5      3.6          3.7     3.7      3.8
     Corporate Income Tax                                                   1.4          0.9        0.8         1.4            0.8        1.4      1.5      1.5          1.6     1.6      1.7
     Goods and Services Tax                                                 2.7          2.8        2.5         2.5            2.5        2.6      2.7      2.7          2.8     2.9      3.0
     Excises                                                                1.1          1.6        1.4         1.4            1.4        1.4      1.5      1.5          1.5     1.5      1.5
     Import duties                                                          2.0          2.0        1.6         1.6            1.6        1.6      1.7      1.7          1.8     1.9      1.9
     Mining royalties and licenses                                          0.7          0.6        0.6         0.6            0.6        1.0      0.7      0.8          0.9     0.9      0.9
     Other taxes                                                            0.3          0.3        0.2         0.2            0.2        0.2      0.3      0.3          0.3     0.3      0.3
    Non-tax                                                                 1.9          2.3        2.2         2.1            2.0        2.3      2.3      2.3          2.2     2.2      2.2
"  Other, Capital Transfers from BSL (CCRT Debt Relief)                       …            …         0.9         0.9            0.7        0.7      0.4      0.0          0.0     0.0      0.0"
  Grants                                                                    2.1          3.4        5.1         5.1            5.3        4.5      4.1      4.4          4.5     3.8      3.1
    Budget support                                                          0.7          2.0        3.7         3.7            1.5        2.4      1.5      2.1          2.0     2.0      1.9
    Project grants                                                          1.4          1.4        1.4         1.4            3.8        2.0      2.6      2.3          2.4     1.8      1.1
""
 Expenditures and net lending                                             21.4         21.1        24.8        24.9           23.5       23.1     21.5     20.8       20.3      19.6     18.7
  Current expenditures                                                    14.7         15.3        17.0        17.1           15.1       16.3     14.7     13.7       13.1      13.1     12.8
    Wages and salaries 2/                                                  6.3          7.0         7.9         7.9            7.3        7.8      6.9      6.3        6.1       6.1      6.0
    Goods and services                                                     3.6          3.2         3.4         3.4            2.4        2.5      2.3      2.5        2.4       2.5      2.5
    Subsidies and transfers                                                1.9          2.5         2.8         2.8            2.7        3.3      2.6      2.3        2.3       2.4      2.4
   Interest                                                                2.8           2.7        2.9          2.9            2.7        2.7      2.9      2.6        2.4       2.1      1.8
         Domestic                                                          2.5           2.4        2.6          2.6            2.4        2.4      2.6      2.2        2.0       1.7      1.4
         Foreign                                                           0.3           0.3        0.3          0.3            0.3        0.3      0.3      0.4        0.4       0.4      0.4
  Capital Expenditure                                                      6.4           5.7        7.3          7.3            8.1        6.4      6.7      6.8        6.8       6.0      5.6
   Foreign financed                                                        4.3           3.1        4.1          4.1            5.6        3.9      4.7      4.6        4.7       3.9      3.2
   Domestic financed                                                       2.1           2.6        3.2          3.2            2.5        2.5      2.0      2.2        2.1       2.1      2.4
  Net lending                                                              0.0           0.0        0.0          0.0            0.0        0.0      0.0      0.0        0.0       0.0      0.0
  Contingent expenditure                                                   0.3           0.2        0.1          0.1            0.0        0.1      0.0      0.0        0.0       0.1      0.1
  Arrears Paydown (cash)                                                    …             …         0.4          0.4            0.3        0.3      0.0      0.3        0.4       0.3      0.3
 Domestic primary balance 3/                                              -0.5          -0.8       -4.0         -4.1           -1.5       -2.1      0.3      1.0        1.8       1.9      1.8
 Overall balance including grants                                         -5.6          -3.1       -5.5         -5.6           -4.2       -3.8     -2.8     -2.1       -1.1      -0.7     -0.4
 Overall balance excluding grants                                         -7.7          -6.5      -10.6        -10.7           -9.4       -8.3     -6.9     -6.5       -5.6      -4.5     -3.4
""
 Financing                                                                 5.6           3.1         5.5         5.6            4.2        3.8      2.8      2.1        1.1       0.7      0.4
   External financing (net)                                                2.2           0.8         1.7         1.7            0.5        0.5      0.7      0.8        0.6       0.6      0.5
     Borrowing                                                             3.2           1.7         2.7         2.7            1.8        1.9      2.1      2.3        2.2       2.1      2.0
      Projects                                                             3.2           1.7         2.7         2.7            1.8        1.9      2.1      2.3        2.2       2.1      2.0
      Budget                                                               0.0           0.0         0.0         0.0            0.0        0.0      0.0      0.0        0.0       0.0      0.0
     Amortization                                                         -1.0          -1.0        -1.0        -1.0           -1.3       -1.3     -1.5     -1.5       -1.6      -1.6     -1.5
   Domestic financing (net)                                                3.4           2.3         3.7         3.7            1.4        2.9      2.2      1.4        0.6       0.2     -0.1
     Total Banking Sector (net)                                            3.1           2.5         6.9         6.6            2.5        3.8      2.5      1.7        0.9       0.2     -0.1
"      Banks, net of onlending                                              2.5           2.2         3.9         3.7            2.8        1.9      2.2      2.0        1.8       1.3      1.2"
"      SDR onlending, Net                                                   0.6           0.3         3.0         3.0           -0.3        1.9      0.3     -0.3       -0.9      -1.1     -1.2"
"        of which, exceptional financing-RCF                                                          3.4         3.4            0.0        1.1      0.0      0.0        0.0       0.0      0.0"
     Non-Bank Sector                                                       1.4          -0.2        -0.1        -0.1           -0.6       -0.3     -0.3     -0.3       -0.3       0.0      0.0
"      Government Securities, General                                       0.0           0.5         0.3         0.3            0.0        0.3      0.0      0.0        0.0       0.0      0.0"
"      Government Securities, Arrears-Related                               1.3          -0.7        -0.4        -0.4           -0.6       -0.6     -0.3     -0.3       -0.3       0.0      0.0"
          o/w Pre-Arrears Strategy                                         1.3          -0.7        -0.4        -0.4           -0.9       -0.9     -0.2     -0.2       -0.2       0.0      0.0
          o/w Post-Arrears Strategy                                        0.0           0.0         0.0         0.0            0.3        0.3     -0.1     -0.1       -0.1       0.0      0.0
     Other 4/                                                             -1.1           0.0        -3.1        -2.8           -0.5       -0.6      0.0      0.0        0.0       0.0      0.0
   G20 debt initiative (deferment)                                          …             …          0.2         0.2            0.2        0.4      0.0      0.0        0.0       0.0      0.0
   G20 debt initiative (payment)                                            …             …          0.0         0.0            0.0        0.0     -0.1     -0.1       -0.1      -0.1     -0.1
