V1
                                                                                                                                               SRI LANKA
""
""
""
"              Table 2b. Sri Lanka: Summary of Central Government Operations, 2016–24"
                                         (In percent of GDP)
                                                     2016     2017     2018          2019                 2020             2021     2022       2023    2024
                                                                               CR/19/135    Proj. CR/19/135      Proj.                 Proj.
""
""
Total revenue and grants                              14.1     13.7     13.4        15.1     12.8       16.0      13.9      14.8     15.4      15.5     15.6
 Total revenue                                        14.1     13.6     13.3        15.0     12.7       15.9      13.8      14.7     15.3      15.5     15.5
   Tax revenue                                        12.2     12.4     11.9        13.4     11.4       14.3      12.4      13.3     13.9      14.1     14.1
     Income taxes                                      2.2      2.0      2.1         2.5      2.6        2.9       2.7       3.0      3.3       3.4      3.5
     VAT                                               2.4      3.3      3.2         3.7      3.1        4.1       3.4       3.6      3.9       4.1      4.3
     Excise taxes                                      3.8      3.5      3.4         3.6      2.6        3.7       3.1       3.4      3.5       3.5      3.3
     Other trade taxes                                 1.8      1.5      1.2         1.7      1.2        1.7       1.2       1.2      1.3       1.3      1.2
     Other                                             2.1      2.0      2.0         1.9      2.0        1.8       2.1       2.0      1.9       1.8      1.8
   Nontax revenue                                      1.9      1.2      1.4         1.6      1.3        1.6       1.4       1.4      1.4       1.4      1.4
 Grants                                                0.1      0.1      0.1         0.1      0.1        0.1       0.1       0.1      0.1       0.1      0.1
""
Total expenditure and net lending                     19.5     19.2     18.6        19.6     18.6       19.6      19.2      19.1     19.1      19.2     19.3
 Current expenditure                                  14.7     14.4     14.5        14.9     14.6       14.9      14.9      14.8     14.7      14.6     14.6
   Civil service wages and salaries                    2.8      2.6      2.6         2.6      2.6        2.6       2.6       2.6      2.6       2.6      2.6
   Other civilian goods and services                   0.7      0.6      0.5         0.5      0.4        0.5       0.5       0.5      0.5       0.5      0.5
   Security expenditure                                2.6      2.3      2.2         2.3      2.3        2.3       2.3       2.3      2.3       2.3      2.3
   Subsidies and transfers                             3.5      3.4      3.3         3.5      3.4        3.6       3.4       3.4      3.5       3.5      3.5
   Interest payments                                   5.1      5.5      5.9         6.0      5.9        5.9       6.0       5.9      5.8       5.7      5.7
 Capital expenditure and net lending                   4.8      4.8      4.2         4.7      3.9        4.6       4.4       4.4      4.5       4.7      4.7
""
Overall balance                                       -5.3     -5.5     -5.3        -4.5     -5.7        -3.5     -5.3      -4.4     -3.8      -3.7     -3.7
Financing                                              5.3      5.5      5.3         4.5      5.7        3.5       5.3       4.4      3.8       3.7      3.7
 Net external financing                                3.3      3.3      2.2         3.7      2.3        1.5       1.7       0.6      1.1       1.4      1.1
 Net domestic financing                                2.1      2.2      3.0         0.8      3.4        2.0       3.7       3.8      2.6       2.3      2.6
""
Memorandum items:
 Central government primary balance                   -0.2      0.0      0.6         1.5      0.2        2.4       0.7       1.5      2.0       2.0      2.0
 Cyclically adj. primary balance 1/                   -0.3      0.1      0.7         1.5      0.2        2.4       0.7       1.6      2.0       2.0      2.0
 Nonfinancial SOE balance 2/                           0.3     -0.2     -0.9          …        …           …        …         …        …         …         …
     Ceylon Electricity Board                         -0.1     -0.4     -0.2          …        …           …        …         …        …         …         …
     Ceylon Petroleum Corporation                      0.6      0.0     -0.7          …        …           …        …         …        …         …         …
     Sri Lankan Airlines                              -0.3     -0.1     -0.4          …        …           …        …         …        …         …         …
     Other                                             0.1      0.2      0.4          …        …           …        …         …        …         …         …
 Central government debt                              79.0     77.4     83.3        82.2     83.2       79.9      82.4      80.7     78.2      75.8     73.3
     Domestic currency                                42.7     39.9     38.9        38.6     40.3       35.5      39.5      42.2     42.5      41.7     41.1
     Foreign currency                                 36.3     37.5     44.4        43.5     42.9       44.5      42.9      38.5     35.7      34.1     32.2
 Publicly guaranteed debt                              4.4      4.4      5.2          …        …           …        …         …        …         …         …
 Financial obligations of nonfinancial SOEs 3/        11.8     11.8     13.0          …        …           …        …         …        …         …         …
 Fund credit outstanding                               0.7      0.9      1.6         1.6      1.5        1.6       1.6       1.4      1.2       1.0      0.7
" Nominal GDP (in billion of rupees)                11,996    13,418   14,450      15,644   15,496     17,002    16,813   18,405    20,196   22,179    24,416"
""
""
Sources: Data provided by the Sri Lankan authorities; and IMF staff estimates.
1/ In percent of potential GDP.
2/ For 42 nonfinancial SOEs reported in MOF Annual Reports.
"3/ The figure does not cover all nonfinancial SOEs. It covers financial obligations of Ceylon Electricity Board, Ceylon Petroleum Corporation, Sri Lanka"
"Ports Authority, Road Development Authority, Sri Lankan Airlines, and other SOEs."
""
""
""
""
                                                                                                    INTERNATIONAL MONETARY FUND                         27
