V1
ST. KITTS AND NEVIS
"Table 3b. St. Kitts and Nevis: General Government Fiscal Operations, 2016-26 1/"
(In percent of GDP)
Est.                                               Proj.
2016             2017             2018             2019             2020             2021             2022             2023               2024              2025              2026
Total revenue                                                                      28.1       26.3       36.5       34.8       30.8       32.7       30.1       30.2        30.2       30.2       30.2
Current revenue                                                                                       28.1          26.3         36.5         34.8         30.8         32.7         30.1          30.2           30.2          30.2          30.2
Tax revenue                                                                                                                                       18.4              174              18.5              17.6              174              17.3              17.2              17.3                17.3               17.3               17.3
Taxes on income                                                                                         4.6            47            5.3            3.9            4.6            43            4.2            4.2             4.2            4.2            4.2
Taxes on property                                                                              0.6          0.5           0.6          0.5           0.5           0.5           0.5           0.5            0.5           0.5           0.5
Taxes on domestic goods and consumption                                              77           7.1           7.2           8.1           7.2           7.2           7.2           7.2             7.2            7.2            7.2
Taxes on international trade and transactions                                             5.4           5.0           5.4           5.1            5.1            5.3           5.3            5.3             5.3            5.3            5.3
Nontax revenue                                                                                                                                9.8                8.9              18.0              17.2              13.4              15.4              12.9              12.9                12.9               12.9               12.9
o/w: Citizenship by investment (CBI) Budgetary Receipts                       6.4           5.2         14.3          14.1           9.8         13.3           9.0           9.0            9.0            9.0            9.0
Other                                                                                                    3.3            3.6            3.7            3.1            3.6            2.2            3.9            3.9             3.9             3.9             3.9
Total expenditure and net lending                                                     26.6        26.9        35.7        35.3        36.0        35.0        30.1        28.8         28.7        28.7        28.6
Current expenditure                                                                                               22.6           22.6           25.3           23.8           29.4           28.2           26.1           25.8             25.8            25.7            25.7
Wages and salaries                                                                                                  10.8           10.7           10.6           10.2           12.3           12.4           11.3            11.0             11.0            11.0            11.0
Goods and service                                                                                      5.1            5.2           7.5           7.0           7.9           78           7.7            7.7             7.7            7.7            7.7
of which: CBI due diligence costs                                                           0.4          0.4           1.3           0.9           0.3           0.3           0.1           0.1            0.1            0.1            0.1
Interest                                                                                                                                                    1.5                 1.4                 1.3                 1.1                 1.2                 1.1                 1.0                 0.9                   0.9                 0.8                 0.8
Domestic                                                                                                                                          1.2                 1.1                 1.0                0.8                0.9                0.8                0.7                0.7                  0.7                 0.6                 0.6
Foreign                                                                                                       0.4            0.3            0.3            0.3            0.3            0.3            0.3            0.2             0.2            0.2            0.2
Transfers                                                                                                        5.1            5.3            5.9            5.5            8.0            6.9            6.1            6.1              6.1             6.1             6.1
Net lending                                                                                        0.0          0.0          0.0          0.0          0.0          0.0          0.0          0.0           0.0           0.0           0.0
Capital expenditure 2/                                                                                                 4.0             44           10.4           11.4             6.6             6.8             4.0              3.0               3.0              3.0              3.0
Current balance                                                                                                          5.6            3.7          11.1           11.0             1.4            4.5            4.0            4.4              4.5             4.5             4.6
Overall balance (before grants)                                                                            1.6          -0.7            0.7          -0.5           -5.2           -2.3            0.1             14              1.5             1.6             1.6
Grants                                                                                                                                                                  2.2                 1.2                 0.4                 0.8                 0.5                 0.5                 0.4                 0.4                   0.4                  0.4                  0.4
Overall balance (after grants)                                                          3.8         0.5         1.1         0.3        -4.7        -1.8         0.5         1.9          1.9         2.0         2.0
Primary balance                                                                                           5.3           1.9           2.4           1.4          -3.5          -0.7           1.5           2.8            2.8            2.8            2.8
Overall balance (ex. Land buy back)                                                  3.8         4.0         4.5         0.3        -4.7        -1.8         0.5         1.9          1.9         2.0         2.0
"Primary balance (ex. CBI receipts and SIDF Grants & Inv. Proceeds, CBI due          -1.3          -3.5        -11.3        -11.8        -12.9        -13.7          -74          -6.1            -6.1           -6.1           -6.1"
Financing                                                                                                         -3.8          -4.0          -4.5          -0.3           4.7            1.8          -0.5          -1.9           -1.9           -2.0           -2.0
Net foreign financing                                                                                          -1.9           -0.9           -0.9           -0.8           -0.9           -0.6           -0.5           -0.5             -0.5            -0.5            -0.5
Net domestic financing                                                                                       -2.2            0.0           -4.8            0.1             8.0            2.4            0.0           -1.3             -1.4            -1.5            -1.6
Government Deposits                                                                        -2.3          0.1         -4.2          0.5          8.5          2.8          0.1          -14          -14          -1.5          -1.5
Other                                                                                                            0.0            0.0          -0.6          -0.4          -0.6          -0.4          -0.1            0.0             0.0            0.0            0.0
Statistical discrepancy                                                                                             0.3           -3.1             1.1             0.4           -2.3            0.0            0.0            0.0              0.0             0.0             0.0
Memorandum items:
Public sector debt (end of period)                                                                      57.1          56.0          55.2          51.7          61.1          60.8          54.4          51.4           49.5          47.7          45.9
Of which
Central government                                                                                                                    46.5             45.0             40.3              36.0             41.8             40.8              35.9              33.4                31.5               29.7               27.9
Domestic                                                                                                                                              28.9              31.7              27.6              24.7              29.0              28.5              25.4               24.0                 23.0               22.0               21.0
External                                                                                                                                              17.6              13.4              12.7              11.3              12.9              12.3              10.5                 9.4                   8.5                  77                  6.9
Public enterprises 3/                                                                                                                 10.7              11.0             14.9              15.7             19.3             20.0             18.5              18.0               18.0              18.0              18.0
Sources: St. Kitts and Nevis authorities; and Fund staff estimates.
1/ Combined accounts of the Federal Government of St. Kitts and Nevis and the Nevis Island Administration.
"2/ In 2018 and 2019, includes EC$ 100 million buy-backs of land related to the debt-land swap."
3/ Based on actual data of 10 public sector corporations and estimates for 4 others. No audited financial statements have yet been published for St. Kitts Electricity Company (SKELEC).
INTERNATIONAL MONETARY FUND 33
