V1
SURINAME
""
""
""
                                                                   Table 4. Suriname: Central Government Operations
                                                                                    (Percent of GDP)
                                                                                                                                                                                               Proj.
                                                                                                      2017               2018    2019     2020         2021      2021        2022      2022            2023   2024    2025    2026   2027
""
                                                                                                                                                   EFF request           EFF request
""
 Revenues                                                                                              20.1              20.9    20.4     18.4          24.1     27.1         26.6     27.3            27.7   26.4    25.6    25.0   24.8
  Taxes                                                                                                13.3              14.6    15.0     13.4          16.5     19.7         17.6     19.3            20.4   19.0    18.6    18.4   18.0
    Direct taxes                                                                                        7.7               8.0     8.1      7.6           9.6     13.2          9.8     11.7            12.0   11.0    10.6    10.3    9.9
      Of which: mineral taxes                                                                           2.8               3.5     2.9      3.8           5.8      8.0          5.8      7.6             7.4    6.8     6.3     5.8    5.5
    Indirect taxes                                                                                      5.6               6.7     6.9      5.8           6.8      6.6          7.8      7.5             8.4    8.0     8.0     8.1    8.2
  Grants                                                                                                0.0               0.0     0.0      0.0           0.0      0.2          0.0      0.7             0.0    0.0     0.0     0.0    0.0
  Non-tax revenues                                                                                      6.8               6.3     5.5      5.0           7.6      7.2          9.1      7.4             7.3    7.3     7.0     6.6    6.8
    Of which:
      Mineral resource revenues                                                                          3.9               3.7     3.3      2.8           5.4      5.0          6.8      5.7            5.9     5.9     5.6    5.2    5.3
      Interest receipts                                                                                  0.7               0.3     0.0      0.0           0.0      0.0          0.0      0.0            0.0     0.0     0.0    0.0    0.0
""
 Expenditures                                                                                          27.2              26.2    42.3     31.8          32.0     34.4         30.8     31.0            27.3   24.8    24.1    23.7   24.0
  Primary expenditures                                                                                 24.0              23.1    39.4     28.1          25.4     28.5         24.9     25.6            24.2   21.9    21.7    21.5   21.3
    Compensation of employees                                                                           7.1               8.1    10.3     10.5           9.0      8.3          7.6      7.5             7.0    6.6     6.3     6.0    5.8
    Other primary current expenditure                                                                  12.3              10.9    22.5     15.4          15.3     18.5         15.5     15.7            14.4   12.4    12.2    12.3   12.3
       Of which: cash transfer programs                                                                                                    1.6           1.9      1.6          1.9      1.9             1.9    1.9     1.9     1.9    1.9
     Net acquisition of nonfinancial assets                                                              4.6               4.1     6.6     2.2           1.1      1.7          1.8      2.4             2.8    2.9     3.2     3.2    3.3
   Interest                                                                                              3.2               3.1     2.9     3.7           6.7      6.0          5.8      5.4             3.1    2.9     2.4     2.3    2.7
""
 Overall balance (net lending/borrowing) 1/                                                            -7.1              -5.2    -21.9    -13.4         -7.9      -7.3        -4.1      -3.7            0.4    1.6     1.5     1.3    0.8
  Of which: primary balance                                                                            -4.6              -2.5    -19.0     -9.7         -1.3      -1.3         1.7       1.7            3.5    4.5     4.0     3.5    3.5
""
 Net financial transactions                                                                          -11.6               -6.1    -18.4    -16.9         -7.9      -7.3        -4.1      -3.7            0.4     1.6     1.5    1.3    0.8
 Net acquisition of financial assets 2/                                                                 0.3              -3.0      -2.8      2.3         0.0      -0.5         0.0       0.0            0.0     0.0     0.0    0.0    0.0
 Net incurrence of liabilities                                                                        11.8                3.0     15.6     19.1          7.9       6.8         4.1       3.7           -0.4    -1.6    -1.5   -1.3   -0.8
  Domestic (Net)                                                                                        5.2               1.9       6.2    15.6          4.7      -3.6        -6.3      -6.3           -4.6    -5.5    -0.4    2.0    3.0
    Amortizations                                                                                      -1.2              -1.6      -4.0     -2.8        -5.9      -2.5        -3.5      -2.9           -6.3    -5.2    -2.1   -1.3   -1.4
      Central bank                                                                                     -0.3               0.0       0.0      0.0         0.0       0.0         0.0       0.0           -4.2    -1.3     0.0    0.0    0.0
      Commercial banks                                                                                 -0.3              -1.2      -3.8      0.0        -4.3      -1.9        -2.8      -1.8           -1.5    -3.2    -0.6   -0.9   -1.4
      Suppliers credit                                                                                 -0.5              -0.4       0.0      0.0         0.0       0.0         0.0       0.0            0.0     0.0     0.0    0.0    0.0
      Other domestic 3/                                                                                -0.1               0.0      -0.2     -2.8        -1.6      -0.6        -0.6      -1.1           -0.6    -0.7    -1.5   -0.4    0.0
    Disbursements                                                                                       6.4               3.5     10.2     18.4         10.6      -1.1        -2.9      -3.5            1.6    -0.3     1.7    3.3    4.4
      Central bank                                                                                      1.9              -0.5       4.6    13.0          4.3      -1.2        -3.7      -3.9            1.2    -0.8     0.8    0.7    0.0
        Claims on government                                                                           -0.3               0.0       4.4    16.2          0.4       0.5         0.0       0.0            0.0     0.0     0.0    0.0    0.0
        Liabilities to government                                                                      -2.2               0.5      -0.2      3.3        -3.8       1.7         3.7       3.9           -1.2     0.8    -0.8   -0.7    0.0
      Commercial banks                                                                                  3.2               3.2       4.0      2.2         6.3      -0.4         0.9       0.4            0.4     0.4     0.9    2.6    4.4
      Suppliers credit                                                                                  0.8               0.8       1.4      0.4         0.0       0.0         0.0       0.0            0.0     0.0     0.0    0.0    0.0
      Other domestic 3/                                                                                 0.5               0.0       0.2      2.8         0.0       0.6         0.0       0.0            0.0     0.0     0.0    0.0    0.0
  Domestic arrears                                                                                      0.0               0.0       4.5      1.6        -0.8       5.8        -0.6       0.0           -1.7    -1.5    -1.3   -1.2    0.0
