V1
                                                                                                                                           SWITZERLAND
""
""
""
"                          Table 5. Switzerland: General Government Operations, 2010–20"
""
                                                   2010    2011    2012      2013       2014       2015        2016      2017      2018     2019   2020
""
"                                                                       (In billions of Swiss francs, unless otherwise specified)"
""
Revenue                                            198.4   204.2   205.3    210.3      212.5      220.5        221.4    229.9      234.5   239.3   236.3
 Taxes                                             123.0   125.5   126.1    129.1      130.9      135.9        138.0    144.6      144.0   146.9   145.1
"   Taxes on income, profits, and capital gains      73.6    75.7    76.2     78.3       79.3       83.7         85.0     89.9       87.3    89.1    88.0"
   Taxes on goods and services                      37.6    38.3    38.3     38.6       38.8       39.1         38.9     40.2       43.1    44.0    43.4
   Taxes on property                                10.0     9.8     9.9     10.4       10.9       11.2         12.0     12.4       11.5    11.8    11.6
   Taxes on international trade and transactions     1.1     1.0     1.0      1.1        1.1        1.1          1.1      1.1        1.2     1.2     1.2
 Social contributions                               38.7    41.3    42.3     43.2       43.7       44.5         45.0     45.5       48.3    48.8    47.0
 Grants                                              0.2     0.2     0.2      0.2        0.2        0.2          0.2      0.2        0.2     0.2     0.2
 Other revenue                                      36.5    37.2    36.6     37.8       37.6       39.8         38.2     39.5       42.0    43.4    43.9
   Of which: property income                         8.5     8.7     7.1      7.5        6.5        8.3          7.3      7.9        8.4     8.5     8.4
""
Expenditure                                        196.2   199.9   203.7    213.1      214.2      216.8        219.8    222.2      225.3   229.2   254.5
 Expense                                           194.8   198.5   201.9    211.7      212.8      215.0        218.1    219.6      235.2   237.4   229.0
   Compensation of employees                        44.8    45.9    47.0     47.9       48.7       49.6         50.2     50.9       53.2    53.7    51.8
   Purchases/use of goods and services              21.7    22.1    22.8     23.7       24.1       24.3         24.4     24.6       26.3    26.5    25.6
   Interest expense                                  5.2     4.7     4.4      4.0        3.7        3.6          3.2      2.7        2.7     2.8     2.9
   Social benefits                                  67.3    67.6    69.3     71.5       73.0       74.3         76.4     77.5       84.5    86.1    83.5
   Expense n.e.c.                                   55.9    58.1    58.4     64.7       63.2       63.2         64.0     63.8       68.4    68.3    65.2
 Net acquisition of nonfinancial assets              1.4     1.4     1.9      1.4        1.4        1.8          1.7      2.6       -9.9    -8.2    25.5
""
Net operating balance                                3.6     5.7     3.4      -1.4       -0.2        5.5         3.3     10.3       -0.7     1.9     7.3
Net lending/borrowing                                2.2     4.3     1.5      -2.8       -1.6        3.6         1.6      7.7        9.2    10.1   -18.2
""
   Net acquisition of financial assets             -18.0    12.3    21.6      -5.2       42.0      -23.7        14.1     77.5       18.3    22.5    26.7
   Net incurrence of liabilities                   -20.2     7.9    20.1      -2.4       43.7      -27.3        12.5     69.8        9.2    12.5    44.9
""
                                                                                         (In percent of GDP)
""
Revenue                                             31.5    31.8    31.6      31.8       31.6       32.6        32.3     33.1       32.6    32.9    33.6
 Taxes                                              19.5    19.6    19.4      19.5       19.5       20.1        20.1     20.8       20.0    20.2    20.7
"  Taxes on income, profits, and capital gains       11.7    11.8    11.7      11.9       11.8       12.4        12.4     13.0       12.1    12.3    12.5"
  Taxes on goods and services                        6.0     6.0     5.9       5.8        5.8        5.8         5.7      5.8        6.0     6.0     6.2
  Taxes on property                                  1.6     1.5     1.5       1.6        1.6        1.7         1.7      1.8        1.6     1.6     1.7
  Taxes on international trade and transactions      0.2     0.2     0.2       0.2        0.2        0.2         0.2      0.2        0.2     0.2     0.2
 Social contributions                                6.2     6.4     6.5       6.5        6.5        6.6         6.6      6.6        6.7     6.7     6.7
 Other revenue                                       5.8     5.8     5.6       5.7        5.6        5.9         5.6      5.7        5.8     6.0     6.3
""
Expenditure                                         31.2    31.2    31.4      32.3       31.8       32.1        32.1     32.0       31.3    31.5    36.2
 Expense                                            31.0    31.0    31.1      32.0       31.6       31.8        31.8     31.7       32.7    32.7    32.6
   Compensation of employees                         7.1     7.2     7.2       7.2        7.2        7.3         7.3      7.3        7.4     7.4     7.4
   Purchases/use of goods and services               3.5     3.5     3.5       3.6        3.6        3.6         3.6      3.5        3.7     3.7     3.6
   Interest expense                                  0.8     0.7     0.7       0.6        0.5        0.5         0.5      0.4        0.4     0.4     0.4
   Social benefits                                  10.7    10.5    10.7      10.8       10.9       11.0        11.2     11.2       11.7    11.8    11.9
   Expense n.e.c.                                    8.9     9.1     9.0       9.8        9.4        9.4         9.3      9.2        9.5     9.4     9.3
 Net acquisition of nonfinancial assets              0.2     0.2     0.3       0.2        0.2        0.3         0.2      0.4       -1.4    -1.1     3.6
""
Net operating balance                                0.6     0.9     0.5      -0.2        0.0        0.8         0.5       1.5      -0.1     0.3     1.0
Net lending/borrowing                                0.4     0.7     0.2      -0.4       -0.2        0.5         0.2       1.1       1.3     1.4    -2.6
""
   Net acquisition of financial assets              -2.9     1.9     3.3      -0.8        6.2       -3.5         2.1     11.2        2.5     3.1     3.8
   Net incurrence of liabilities                    -3.2     1.2     3.1      -0.4        6.5       -4.0         1.8     10.1        1.3     1.7     6.4
""
Source: Federal Ministry of Finance.
""
""
""
""
                                                                                                 INTERNATIONAL MONETARY FUND                          39
