V1
                                                                                                DEMOCRATIC REPUBLIC OF SÃO TOMÉ AND PRÍNCIPE
""
""
""
"Table 2b. São Tomé and Príncipe: Financial Operations of the Central Government, 2018–27"
                                    (In Percent of GDP)
                                                                      2018    2019    2020        2021                   2022              2023     2024    2025    2026    2027
                                                                                               Third             Third   Auth.
                                                                                                          Est.                     Proj.    Proj.   Proj.   Proj.   Proj.   Proj.
                                                                                                Rev.              Rev. Budget
""
Total revenue and grants
                                 1
                                                                     24.1     22.0    26.0     25.7      22.5    24.8    30.3     28.4     24.5     25.8    26.2    26.1    26.2
  Total revenue                                                      15.8     15.6    15.6     15.8      14.7    17.2    15.7     15.5     16.2     17.6    18.3    18.5    18.7
    Tax revenue                                                      12.8     12.3    13.1     13.3      12.3    14.4    13.1     12.9     13.7     14.9    15.5    15.5    15.6
      Consumption taxes                                               1.8      1.6     2.1      2.3       2.2     2.1     2.1      2.6      3.4      4.6     5.1     5.1     5.1
      Import taxes                                                    5.6      5.0     5.6      5.7       4.9     5.6     5.6      5.3      5.3      5.3     5.3     5.3     5.3
        Of which: oil price differential (GAMAP)                        …        …     1.1        …       0.6       …       …      0.1      0.0      0.0     0.0     0.0     0.0
      Other taxes                                                     5.3      5.7     5.4      7.6       5.1     6.7     5.4      5.0      5.0      5.1     5.1     5.1     5.2
                         2
       Nontax revenue                                                  3.1      3.3     2.4     2.5       2.4     2.8      2.6      2.5      2.6      2.7    2.9     3.0     3.2
         Of which: oil revenue                                         2.5      0.7     0.3     0.0       0.1     0.3      0.0      0.0      0.1      0.1    0.1     0.1     0.1
     Grants                                                            8.3      6.4    10.5     9.9       7.8     7.6     14.6     12.9      8.2      8.2    7.9     7.6     7.5
       Project grants                                                  6.5      3.5     3.2     5.6       5.2     4.3     11.1      8.3      5.0      5.0    5.0     5.0     5.0
       Nonproject grants                                               1.5      2.0     6.9     4.1       2.4     2.7      2.9      4.0      2.6      2.6    2.4     2.1     2.1
       HIPC Initiative-related grants                                  0.4      0.9     0.4     0.2       0.2     0.6      0.6      0.6      0.6      0.5    0.5     0.5     0.4
Total expenditure                                                    26.0     22.1    23.1     27.2      24.7    25.2    31.1     29.8     25.9     25.7    25.5    25.5    25.0
  Of which: Domestic primary expenditure                             17.8     16.6    18.4     19.1      17.3    18.7    17.0     19.1     17.5     17.4    17.4    17.5    17.6
  Current expenditure                                                16.7     17.1    16.9     17.8      16.9    17.5    17.7     17.4     17.5     17.4    17.3    17.2    17.2
    Personnel costs                                                   9.3      9.0     9.3     10.0       9.3     9.8    10.0      9.9      9.6      9.6     9.6     9.6     9.6
    Interest due                                                      0.4      0.7     0.3      0.4       0.2     0.4     0.7      0.5      0.5      0.5     0.4     0.3     0.3
    Goods and services                                                3.0      2.5     2.3      2.4       2.4     2.4     2.1      2.2      2.4      2.4     2.4     2.4     2.4
    Transfers                                                         3.2      2.8     3.2      3.2       3.2     3.2     3.2      3.3      3.2      3.2     3.2     3.2     3.2
    Other current expenditure                                         0.8      2.1     1.7      1.8       1.8     1.7     1.7      1.5      1.7      1.7     1.7     1.7     1.7
  Capital expenditure                                                 9.2      4.8     3.2      7.7       6.7     6.4    12.1     11.0      8.2      8.1     8.0     8.1     7.6
    Financed by the Treasury                                          1.4      0.1     0.2      0.3       0.1     0.4     0.3      0.8      0.3      0.3     0.3     0.4     0.5
    Financed by external sources                                      7.8      4.7     3.0      7.4       6.6     6.1    11.7     10.2      7.9      7.8     7.7     7.7     7.1
  HIPC Initiative-related capital expenditure                         0.1      0.1     0.1      0.2       0.1     0.2     0.3      0.3      0.2      0.2     0.2     0.2     0.2
  COVID-19 spending                                                     …        …     2.9      1.5       1.0     1.0     1.0      1.0        …        …       …       …       …
      Financed by the Treasury                                          …        …     1.6      1.3       0.4     1.0     1.0      0.0        …        …       …       …       …
      Financed by external sources                                      …        …     1.3      0.3       0.6     0.0     0.0      1.0        …        …       …       …       …
""
Domestic primary balance 2                                            -4.2     -1.8    -3.2    -3.5      -3.3    -2.0     -3.2     -2.8     -1.5      0.0    0.7     0.8     0.9
""
Overall fiscal balance (commitment basis)                             -1.9     -0.1     2.9    -1.5      -2.2    -0.5     -0.8     -1.4     -1.4      0.1    0.7     0.6     1.2
Net change in external arrears                                         0.0      0.0     0.0     0.0       0.0     0.0      0.0      0.0      0.0     0.0     0.0     0.0     0.0
Net change in domestic arrears                                         0.9     -1.1    -1.5    -0.7      -0.1    -0.2      0.0     -0.4     -0.2    -0.2    -0.2    -0.2    -0.1
Float and statistical discrepancies                                    2.2      0.7     0.0     0.0       0.0     0.0      0.0      0.0      0.0     0.0     0.0     0.0     0.0
Overall fiscal balance (cash basis)                                    1.2    -0.5      1.4    -2.2      -2.3    -0.7     -0.8    -1.8     -1.6     -0.1     0.5     0.4     1.1
Financing                                                             -1.2     0.5     -1.4     2.2       2.3     0.7      0.8     1.8      1.6      0.1    -0.5    -0.4    -1.1
  Net external                                                         0.8     0.3      0.4     0.5       0.0     0.8     -0.3     0.8      1.7      1.3     1.1     1.0     1.0
    Disbursements                                                      1.3     1.0      1.1     1.8       1.4     1.8      0.6     1.9      2.9      2.8     2.7     2.7     2.1
      Program financing (loans) 3                                      0.2      0.5     0.0     0.0       0.0     0.0      0.0      0.0      0.0     0.0     0.0     0.0     0.0
