V1
CHAD
"Table 3. Chad: Fiscal Operations of the Central Government, 2020-26"
"(Percent of non-oil GDP, unless otherwise indicated)"
2020                 2021                         2022                       2023                         2024                  2025          2026
Prel.           ECF           Prel.          ECF         Proj.          ECF          Proj.         ECF           Proj.            Proj.           Proj.
Request                    Request                   Request                  Request
Total revenue and grants                                                          24.3         19.2          20.6        22.0        28.4        21.3        31.5       20.7         26.4           25.7          26.1
Revenue                                                                                                                                          19.8                16.3                  19.4               18.9              27.5               18.1                28.4              17.5                 24.1                    23.5                  24.0
oil’                                                                                                                                               10.7                 7.0                    9.8                 9.1                17.6                7.8                18.1                6.7                   13.4                   12.3                  12.4
Non-oil                                                                                                                                       9.1                   9.3                    9.6                 9.8                10.0               10.3               10.3              10.8                 10.7                   11.2                 11.6
Tax                                                                                                                                            8.6                  8.9                    9.2                 9.4                 9.6                 9.9                10.0              10.4                 10.3                   10.8                 11.2
Non-tax                                                                                   0.5            0.3             0.4           0.3           0.3           0.4           0.4          0.4            0.4              0.4             0.4
Grants                                                                                                                                             4.5                   3.0                    1.2                 3.0                 0.9                 3.2                 3.1                 3.2                   2.3                      2.2                    2.0
Budget support                                                                           2.4            0.4             0.6           0.5           0.2           0.5           1.1           0.4            0.4              0.4             0.4
Project grants                                                                                    2.1             2.5              0.7            2.6            0.6            2.7            2.0           2.7              1.9               1.8              1.7
Expenditure                                                                                   22.3          22.6          23.0         21.2        22.1         21.1         22.9        20.6          21.2            20.9           19.1
Current                                                                                                                                          15.2                15.4                 16.7               14.1               17.1                13.7               16.1               13.2                 14.5                   14.3                  12.9
Wages and salaries                                                              8.2          8.0           8.8          78         9.0          7.6          8.4         7.3           78            7.3           6.9
Goods and services                                                             2.2           2.5           2.4          2.0          1.8          2.1          1.9         2.0           1.9            1.8           1.8
Transfers and subsidies*                                                       3.7          3.9           4.1          3.4         43          3.3          4.1          3.1           3.6            3.5           3.3
Of which: Transfers to National Electricity Company”                   1.0            1.0            1.5           0.9           1.6           0.9           1.6          3.1             1.5              1.4             1.3
