V1
TRINIDAD AND TOBAGO
""
""
""
                                  Table 3. Trinidad and Tobago: Central Government Operations 1/
                                                          (In percent of GDP)
""
                                                                                                                                                                            Projections
""
                                                                                        2017         2018    2019         2020     Est. 2021       2022         2023        2024          2025        2026    2027
""
""
                                                                                                                            (In percent of GDP)
""
""
 Total revenue and grants                                                               21.2         24.5      27.0        22.8        24.9         25.8        27.5        28.2          28.3        28.2    28.3
 Energy                                                                                   6.2          8.3     11.0          7.6         8.4        10.5        11.0         11.1          10.9        10.6    10.7
     Corporate                                                                            3.6          4.9       5.8         3.7         4.6         5.4          5.4         5.5           5.3         5.2     5.3
     Royalties                                                                            0.6          1.4       2.5         1.9         1.7         2.8          3.2         3.2           3.1         3.0     3.0
     Other                                                                                2.0          2.0       2.6         2.0         2.1         2.3          2.4         2.4           2.4         2.4     2.4
 Non-energy                                                                             15.0          16.2     16.0        15.2         16.5        15.3        16.5         17.1          17.4        17.6    17.6
     Tax revenue                                                                        11.6          13.2     12.5        12.3         13.8        12.8        13.5         13.8          14.0        14.1    14.2
      Income tax                                                                          5.4          5.8       6.1         5.1         5.3         5.4          5.9         6.2           6.4         6.5     6.5
      Goods and services tax                                                              4.2          5.4       4.5         5.4         6.5         5.6          5.6         5.7           5.7         5.7     5.7
      International trade tax                                                             1.7          1.7       1.7         1.5         1.6         1.6          1.7         1.7           1.7         1.7     1.7
      Property tax                                                                        0.0          0.0       0.0         0.0         0.0         0.0          0.0         0.0           0.0         0.0     0.0
      Other                                                                               0.3          0.2       0.2         0.3         0.2         0.2          0.2         0.2           0.2         0.2     0.2
     Non-tax revenue                                                                      3.3          2.9       3.4         2.9         2.7         2.4          3.0         3.3           3.4         3.4     3.4
     Other                                                                                0.0          0.0       0.0         0.0         0.0         0.0          0.0         0.0           0.0         0.0     0.0
""
 Expenditure                                                                            32.0         30.5      30.6        34.3        35.0         33.3        31.6        30.4          29.5        28.8    28.3
 Current                                                                                29.8          28.3     29.1        31.7         32.9        31.2        29.5         28.3          27.4        26.7    26.2
     Wages and salaries                                                                   6.4          5.7       5.7         6.2         6.3         6.0          5.8         5.6           5.5         5.3     5.3
     Goods and services                                                                   3.8          3.8       4.0         3.9         3.9         3.6          3.6         3.5           3.4         3.3     3.3
     Interest payments                                                                    2.9          3.0       3.1         3.4         3.9         3.4          4.1         4.0           4.0         3.9     3.8
     Transfers and subsidies                                                            16.8          15.8     16.4        18.1         18.8        18.2        16.0         15.2          14.6        14.2    13.8
        Fuel subsidies                                                                    0.2          0.0       0.1         0.3         0.0         0.0          0.0         0.0           0.0         0.0     0.0
        Transfers to households                                                           5.6          5.5       5.7         6.5         6.8         6.1          5.8         5.4           5.2         5.0     4.9
        Transfers to SOEs and utilities                                                   3.0          3.0       3.5         3.0         3.6         3.5          2.9         2.8           2.6         2.5     2.4
        Transfers to local government and Tobago                                          2.2          2.1       2.1         2.4         2.3         2.3          2.0         1.9           1.9         1.9     1.8
        Transfers to statutory authorities                                                0.6          0.5       0.4         0.2         0.3         0.3          0.3         0.3           0.3         0.3     0.3
        Other                                                                             5.1          4.8       4.5         5.7         5.8         6.0          5.0         4.8           4.7         4.6     4.5
 Capital expenditure and net lending                                                      2.2          2.2       1.5         2.7         2.1         2.1          2.1         2.1           2.1         2.1     2.1
     Capital expenditure                                                                  2.2          2.2       2.3         2.7         2.1         2.1          2.1         2.1           2.1         2.1     2.1
     Net lending                                                                          0.0          0.0      -0.8         0.0         0.0         0.0          0.0         0.0           0.0         0.0     0.0
""
 Non-energy balance                                                                    -17.0         -14.3    -14.7       -19.2       -18.5        -18.0       -15.1       -13.3          -12.1       -11.3   -10.7
 Non-energy balance (percent of non-energy GDP)                                        -21.9         -19.0    -19.2       -23.4       -25.3        -26.8       -21.5       -18.3          -16.3       -14.9   -14.0
""
 Overall balance                                                                       -10.8          -5.9     -3.7       -11.6       -10.1         -7.5        -4.1         -2.2          -1.3        -0.6     0.0
 Primary balance                                                                        -7.9          -3.0     -0.5        -8.2         -6.2        -4.1         0.0          1.9           2.7         3.3     3.8
""
 Memorandum items:
 Non-energy primary balance (percent of non-energy GDP) 2/                             -18.2         -15.1     -15.1      -19.3        -19.9       -21.8       -15.7        -12.7         -10.9        -9.7    -9.0
 Central government debt (percent of GDP) 3/                                            41.5          41.8     45.4        59.3         65.9        68.7        68.8         67.4          66.2        64.9    63.1
 Gross public debt (percent of GDP) 4/                                                  59.2          58.4     61.9        79.6         87.2        88.4        87.0         84.0          81.8        79.5    76.6
 Crude oil price (US$/barrel)                                                           50.3          64.5     63.1        46.3         62.7        74.2        71.6         68.0          65.7        64.2    65.6
 Henry Hub natural gas price (US$ per MMBtu)                                              2.8          3.1       2.7         2.1         3.5         4.1          3.7         3.3           3.2         3.1     2.8
" Nominal GDP (in billions of TT$, FY)                                                  155.2         160.3    161.3       148.7       145.1        154.5       163.9        173.2         179.6       184.9   190.4"
     Sources: Trinidad and Tobago authorities; and IMF staff projections.
     1/ Fiscal years run from October 1 in the previous year to September 30 of the stated year.
"     2/ For FY2022, the non-energy primary balance would be -19.8 percent of non-energy GDP once it includes the authorities’ intention to accelerate VAT refunds of 1.9 percent of non-energy GDP."
"     3/ Excluding debt issued for sterilization, public bodies' debt, and borrowing from the CBTT."
     4/ Includes central government debt and guaranteed debt of non-self serviced SOEs and public bodies.
""
""
""
""
32        INTERNATIONAL MONETARY FUND
