V1
EASTERN CARIBBEAN CURRENCY UNION
"Table 3. ECCU: Selected Central Government Fiscal Indicators by Country, 2019-27   "
(In percent of GDP)
Est.                                              Proj.
2019     2020     2021      2022     2023     2024       2025       2026       2027
""
Total Revenues and Grants                        26.1        29.1         31.0        29.1        28.6        27.7          27.4          27.3          27.3
Anguilla                                                                                 22.8                35.0                31.8               26.0               25.3                24.1                   25.1                   249                  24.6
Antigua and Barbuda                          18.6        20.4        20.9        21.7        22.4        21.9         22.0         22.0         22.0
Dominica                                                38.1          55.8          50.1          46.5         45.3         43.7           42.5           42.1            42.0
Grenada                                                                                26.6               28.1                31.8                31.6                30.1                29.1                   28.4                  28.2                  28.1
Montserrat                                                                          73.3                87.3                76.8               67.8               65.7               64.0                  61.0                  60.7                  60.4
St. Kitts and Nevis                             35.6        31.6        42.3        35.0        33.7        32.0         31.1         31.1         31.1
St. Lucia                                        21.6        22.1        23.7        23.1        22.5        22.3         22.4         22.3         22.3
St. Vincent and the Grenadines                 27.7         30.4         31.4         29.7         30.9         29.6           29.8           29.6           29.6
""
Current Expenditure                                 23.3        27.5        26.9        26.0        24.5        24.0          23.7          23.5          23.3
Anguilla                                                                                 20.9                32.3                31.5                26.8               23.2               21.1                   20.4                   19.7                   19.0
Antigua and Barbuda                          20.7        23.9        22.7        21.3        20.5        19.2          18.8          18.6          18.6
Dominica                                                                              37.1                36.5                35.1                33.8                32.8                32.9                   32.1                   31.3                   30.6
Grenada                                                                                19.0               23.1                22.8               23.2                21.0               20.9                  21.4                  20.9                  20.8
Montserrat                                                                          774               76.9               65.9                64.9               61.8               60.5                   57.9                   56.7                   55.8
St. Kitts and Nevis                             24.9        27.5        28.3        28.7        27.5        27.2         27.1         27.0         27.0
St. Lucia                                        21.6        27.7        25.1        23.8        22.2        22.1          22.1          22.1          22.2
St. Vincent and the Grenadines                 24.4         27.3         29.4         27.6         26.2         25.7           25.0           24.5           24.1
""
Capital Expenditure                                4.8         7.2         7.4         7.2         6.0         4.8          4.2           4.0           3.9
Anguilla                                                                                    1.0                  1.2                  0.3                  0.0                  0.0                  0.0                     0.0                     0.0                     0.0
Antigua and Barbuda                            1.9         2.9         2.5         4.0         3.8         3.1           3.1           3.1           3.1
Dominica                                                                           9.3               26.5               25.0               15.5               15.0               15.0                  14.0                 13.0                 12.0
Grenada                                                   2.6           3.8           8.6          10.7           6.9           5.7             4.6             47             47
Montserrat                                                                             9.0                15.3                  9.5                  5.6                  45                  4.0                     3.6                     45                     5.1
St. Kitts and Nevis                                11.4          6.8          6.8          4.3          2.9          2.3            2.3            2.3            2.3
St. Lucia                                          3.6         6.4         5.1         5.1         2.6         2.6           2.6           2.6           2.6
St. Vincent and the Grenadines                   5.9           8.4           9.3         12.9         14.9           9.1             5.8            4.3            4.2
""
Primary Balance 2/                                        0.3          -3.1          -0.9          -1.8           0.6           1.2             1.9             2.3             2.4
Anguilla                                                                                    2.7                  3.7                  2.1                   1.0                  3.5                  4.2                     5.6                     6.0                     6.2
Antigua and Barbuda                           -1.2        -3.8        -1.8        -1.1          0.7         1.9           2.6           2.8           2.8
Dominica                                                                               -5.9                -5.2                -9.4                -2.2                -1.5                -3.0                   -2.6                   -1.3                     0.1
Grenada                                                   6.8           3.2           2.1          -0.3           4.0           4.1             44             4.5             44
Montserrat                                            -12.9          -4.8           1.5          -2.6          -0.5          -0.2            -0.1             0.0             0.0
St. Kitts and Nevis                              0.5        -1.5         8.3         3.2         4.3         3.5          2.7          2./          2./
St. Lucia                                         -0.5        -8.0        -2.9        -2.4         1.2         1.1           1.2           1.1           1.1
St. Vincent and the Grenadines                  -0.4         -3.1          -4.7         -8.3          -7.5          -2.4            1.7            3.2            3.5
""
Overall Balance 2/                                      -2.1          -5.6         -3.3         -4.1          -1.8         -1.1           -0.5           -0.1            0.1
Anguilla                                                                                   0.7                  1.3                -0.1                 -0.9                  2.0                  2.9                     45                     5.0                     5.4
Antigua and Barbuda                           -4.0        -6.4        -4.3        -3.6        -1.9        -0.3           0.1           0.3           0.3
Dominica                                                                   -8.3              -7.2            -11.4              -4.3              -3.9              -5.6                -5.1                 -3.7                -2.1
Grenada                                                                                   5.0                  1.2                  0.3                -2.2                  2.2                  2.5                     2.3                     2.6                     2.7
Montserrat                                                             -13.1              -4.9                1.4              -2./              -0.6              -0.5                -0.4                -0.4                -0.4
St. Kitts and Nevis                             -0.6        -2./         7.2         2.0         3.3         2.4           1.7           1.8           1.8
St. Lucia                                                   -3.5         -11.9          -6.5          -6.4          -2.9          -3.0            -3.0            -3.1            -3.1
St. Vincent and the Grenadines                  -2.7          -5.3          -7.3        -10.8        -10.2          -5.2           -1.0            0.8             1.3
""
Sources: Country authorities; and IMF staff estimates and projections.
""
"1/ Fiscal years for Dominica, Montserrat, and St. Lucia."
""
2/ Projections include expected fiscal costs of natural disasters.
""
36 INTERNATIONAL MONETARY FUND
