V1
URUGUAY
""
                                               Table 4. Uruguay: Main Fiscal Aggregates
                                                                                                                                             Projections
                                                                              2013      2014    2015     2016    2017     2018     2019     2020     2021     2022     2023
""
"                                                                                                  (In billions of pesos, unless otherwise indicated)"
""
 I. Primary balance of the non-financial public sector (A+B+C)                      5    -7.3      1.1    -7.1    -2.4     22.8     23.1     21.4       7.0      4.6    -0.8
"     A. Primary balance of central government, BPS and NFPE 1/ 2/                   4    -4.7      3.2    -9.0    -1.7     19.3     21.7     20.3       6.3      3.8    -1.7"
         Revenues                                                                347      387     422     465      508      576      623      681      736      809      889
             Taxes                                                               222      244     263     299      335      365      397      440      487      538      596
             Non tax                                                               21      22       23      24       26       32       35       39       43       47       52
             Social security                                                       86     101     109     118      131      162      174      191      197      212      229
                 of which: cincuentones transactions                                0       0        0       0        0       22       22       22       10        5        0
               NFPE operating balance 2/                                           18      20       27      24       16       16       16       11        9       12       12
          Primary expenditures                                                   343      392     419     474      509      556      601      660      730      805      890
               Current                                                           303      349     385     436      474      515      556      610      675      745      823
               Capital                                                             40      43       34      39       35       41       45       50       55       61       67
      B. Primary balance of local governments                                   -0.8     -2.0      1.8     1.2      1.2      2.8      0.8      0.7      0.5      0.5      0.6
      C. Primary balance of BSE 3/                                                1.8    -0.6    -4.0      0.6    -2.0       0.7      0.6      0.4      0.2      0.3      0.3
 II. Primary balance of the BCU 4/                                              -0.8     -1.0    -1.4     -1.5    -1.3     -1.4     -2.0     -2.2     -2.5     -2.7     -3.0
 III. Primary balance of the public sector (I+II)                                 4.6    -8.2    -0.3     -8.6    -3.7     21.4     21.1     19.2       4.6      1.9    -3.8
 IV. Interest                                                                      32      38       52      52       56       68       69       70       76       86       95
      of which: BCU 4/                                                              4       7       18      10       12       19       16       13       13       17       19
 V. Overall balance of the public sector (III+IV)                              -27.4    -46.1   -52.1    -61.1   -59.5    -46.1    -48.3    -51.1    -71.1    -83.9    -98.7
      overall balance excluding cincuentones transactions                      -27.4    -46.1   -52.1    -61.1   -59.5    -68.1    -70.4    -73.4    -80.8    -89.0    -98.2
""
"                                                                                                  (In percent of GDP, unless otherwise indicated)"
""
 I. Primary balance of the non-financial public sector (A+B+C)                   0.5     -0.5     0.1     -0.4    -0.1      1.2      1.2      1.0      0.3      0.2      0.0
"     A. Primary balance of central government, BPS and NFPE 1/ 2/                0.4     -0.3     0.2     -0.6    -0.1      1.0      1.1      0.9      0.3      0.1     -0.1"
         Revenues                                                               29.5     29.1    29.0     29.3    29.9     31.2     31.0     30.7     30.0     29.9     29.7
             Taxes                                                              18.9     18.4    18.1     18.8    19.7     19.8     19.8     19.8     19.8     19.9     19.9
             Non tax                                                             1.8      1.6     1.6      1.5     1.5      1.7      1.7      1.7      1.7      1.7      1.7
             Social security                                                     7.3      7.6     7.5      7.5     7.7      8.8      8.7      8.6      8.0      7.8      7.6
                 of which: cincuentones transactions                             0.0      0.0     0.0      0.0     0.0      1.2      1.1      1.0      0.4      0.2      0.0
              NFPE operating balance 2/                                          1.5      1.5     1.8      1.5     0.9      0.9      0.8      0.5      0.4      0.4      0.4
          Primary expenditures                                                  29.1     29.5    28.8     29.9    30.0     30.1     29.9     29.7     29.7     29.7     29.7
              Current                                                           25.7     26.2    26.5     27.4    27.9     27.9     27.7     27.5     27.5     27.5     27.5
              Capital                                                            3.4      3.2     2.3      2.4     2.1      2.2      2.2      2.2      2.2      2.2      2.2
      B. Primary balance of local governments                                   -0.1     -0.2     0.1      0.1     0.1      0.2      0.0      0.0      0.0      0.0      0.0
      C. Primary balance of BSE 3/                                               0.2      0.0    -0.3      0.0    -0.1      0.0      0.0      0.0      0.0      0.0      0.0
 II. Primary balance of BCU 4/                                                  -0.1     -0.1    -0.1     -0.1    -0.1     -0.1     -0.1     -0.1     -0.1     -0.1     -0.1
 III. Primary balance of the public sector (I+II)                                0.4     -0.6     0.0     -0.5    -0.2      1.2      1.1      0.9      0.2      0.1     -0.1
 IV. Interest                                                                    2.7      2.8     3.6      3.3     3.3      3.7      3.5      3.2      3.1      3.2      3.2
      Of which: BCU 4/                                                           0.4      0.6     1.3      0.7     0.7      1.0      0.8      0.6      0.5      0.6      0.6
 V. Overall balance of the public sector (III+IV)                               -2.3     -3.5    -3.6     -3.8    -3.5     -2.5     -2.4     -2.3     -2.9     -3.1     -3.3
      Overall balance excluding cincuentones transactions                       -2.3     -3.5    -3.6     -3.8    -3.5     -3.7     -3.5     -3.3     -3.3     -3.3     -3.3
""
 Memorandum Items:
     Real revenues growth (in percent)                                          11.3      1.9     0.1      2.7     4.8      6.4      1.4      1.8      0.8      2.6      2.3
     Real primary spending growth (in percent)                                   6.1      5.7     1.1      1.3     3.9      0.8      0.6      2.4      3.1      3.2      3.4
"     GDP (in billions of pesos)                                                1,178    1,331   1,456    1,589   1,697    1,846    2,008    2,220    2,453    2,707    2,994"
""
" Sources: Ministerio de Economia y Finanzas, Banco Central del Uruguay, and Fund staff calculations."
 1/ Banco de Prevision Social (BPS).
 2/ Non-financial public enterprises (NFPE).
 3/ Banco de Seguros del Estado (BSE).
 4/ Banco Central del Uruguay (BCU).
""
""
""
""
32     INTERNATIONAL MONETARY FUND
