V1
                                                                                                                                   UNITED ARAB EMIRATES
""
""
""
"             Table 3. United Arab Emirates: General Government Finances, 2015–23"
                                                                                        Est.     Proj.     Proj.       Proj.    Proj.     Proj.    Proj.
                                                                  2015       2016      2017      2018      2019        2020     2021      2022     2023
"                                                                                 (Billions of UAE dirhams, unless otherwise specified)"
Total revenue                                                     381.4     378.5     404.4     448.5     528.8       515.1    521.9     533.7    545.3
   Taxes                                                          164.5     116.8     166.6     210.5     280.6       256.3    255.0     255.7    258.3
   Social Contributions                                             4.3       4.4       4.6       5.3       5.4         5.6      5.7       5.7      5.5
   Grants                                                           0.0       0.0       0.0       0.0       0.0         0.0      0.0       0.0      0.0
   Other Revenue 1/                                               212.6     257.3     233.2     232.6     242.8       253.3    261.2     272.4    281.4
Expenditures (a+b)                                                425.6     404.9     427.3     474.6     498.3       510.7    510.7     519.5    526.4
 Expense (a)                                                      390.5     365.8     390.8     431.3     447.0       459.0    465.2     474.3    481.1
   Compensation of employees                                       63.0      64.1      78.8      85.7      89.6        92.3     95.7      97.7     98.9
   Use of goods and services                                       59.8      47.3      94.0      95.0      98.5       102.6    106.5     110.1    114.0
   Consumption of fixed capital                                     4.6       5.5       6.3      10.2      11.1         9.9      6.3       6.2      6.2
   Interest                                                         2.8       2.0       1.9       4.0       4.7         5.2      5.4       5.5      5.6
   Subsidies                                                       22.2      18.5      21.9      22.7      23.1        23.6     24.1      24.6     25.0
   Grants                                                           8.8      17.1      11.1      10.2      10.6        10.7     11.0      11.2     11.4
   Social Benefits                                                 42.6      53.2      37.7      42.1      43.1        44.2     45.3      46.3     47.3
   Other expenses 2/                                              186.7     158.0     139.2     161.2     166.3       170.5    171.1     172.9    172.8
 Net acquisition of nonfinancial assets (b)                        35.1      39.1      36.5       43.3      51.3       51.7     45.5      45.1     45.3
Net operating balance (Revenue minus expense)                      -9.2      12.7      13.6       17.2      81.8       56.1     56.7      59.4     64.1
Net lending(+)/borrowing(-) (Revenue minus expenditures)          -44.2     -26.5      -22.9     -26.1      30.5         4.4    11.2      14.2     18.8
Net acquisition of financial assets 1/ 3/                          26.0        8.9     42.0       -2.5      50.6       29.5     23.7      32.1     37.2
  Domestic                                                        -66.8        9.5     36.1       16.1      25.1       17.4     14.5      19.3     21.5
  Foreign                                                          92.9       -0.6      5.9      -18.6      25.5       12.0      9.2      12.9     15.7
Net incurrence of liabilities                                      61.7      38.5      64.9       23.6      20.1       25.1     12.4      17.9     18.4
  Domestic                                                         62.4      17.3      11.1        5.5      10.9       11.3      9.3       9.8     10.4
  Foreign                                                          -3.8      21.2      53.8       18.1       9.2       13.7      3.1       8.1      8.0
""
Memorandum Items:
 Oil revenue                                                      188.3     165.3     198.7     305.8      292.7       296.9    290.5     287.5    286.5
   Profit transfers from the national oil company to SWF 4/        44.9      42.4      53.2      75.5       78.3        76.4     74.2      73.3     73.3
 Nonoil revenue                                                   193.0     213.2     205.8     142.7      236.2       218.2    231.4     246.2    258.7
   Investment income (from SWF) 4/                                 55.5      41.9      60.7      20.5       75.3        85.5     90.7      92.9     98.3
 Abu Dhabi capital transfers                                       49.1      16.1      26.8      31.8       32.4        33.1     33.8      34.4     35.1
 Adjusted nonoil primary balance 5/                              -285.3    -231.6    -280.3    -348.4     -332.7      -372.8   -364.6    -360.7   -360.4
   In percent of nonoil GDP                                       -27.7     -21.9     -25.7     -30.0      -27.0       -28.4    -26.3     -24.7    -23.5
 Fiscal breakeven oil price (US $ per barrel)                      64.7      51.1      60.7      78.0       64.7        68.4     64.2      61.8     59.7
                                                                                                   (Percent of GDP)
Total revenue                                                      29.0      28.9      28.8       28.2      31.6       29.5     28.8      28.3     27.8
   Taxes                                                           12.5       8.9      11.9       13.3      16.8       14.7     14.1      13.6     13.2
   Social Contributions                                             0.3       0.3       0.3        0.3       0.3        0.3      0.3       0.3      0.3
   Grants                                                           0.0       0.0       0.0        0.0       0.0        0.0      0.0       0.0      0.0
   Other Revenue 1/                                                16.2      19.6      16.6       14.6      14.5       14.5     14.4      14.5     14.4
Expenditures                                                       32.4      30.9      30.4       29.9      29.8       29.3     28.2      27.6     26.9
 Expense                                                           29.7      27.9      27.8       27.1      26.7       26.3     25.7      25.2     24.5
   Compensation of employees                                        4.8       4.9       5.6        5.4       5.4        5.3      5.3       5.2      5.0
   Use of goods and services                                        4.5       3.6       6.7        6.0       5.9        5.9      5.9       5.8      5.8
   Consumption of fixed capital                                     0.3       0.4       0.4        0.6       0.7        0.6      0.3       0.3      0.3
   Interest                                                         0.2       0.2       0.1        0.3       0.3        0.3      0.3       0.3      0.3
   Subsidies                                                        1.7       1.4       1.6        1.4       1.4        1.4      1.3       1.3      1.3
   Grants                                                           0.7       1.3       0.8        0.6       0.6        0.6      0.6       0.6      0.6
   Social Benefits                                                  3.2       4.1       2.7        2.7       2.6        2.5      2.5       2.5      2.4
   Other expenses 2/                                               14.2      12.1       9.9       10.1       9.9        9.8      9.4       9.2      8.8
 Net acquisition of nonfinancial assets                             2.7       3.0        2.6       2.7       3.1         3.0      2.5       2.4      2.3
Net operating balance (Revenue minus Expense)                      -0.7       1.0        1.0       1.1       4.9         3.2      3.1       3.2      3.3
Net lending(+)/borrowing(-)                                        -3.4       -2.0      -1.6      -1.6       1.8         0.3      0.6       0.8      1.0
Net acquisition of financial assets 1/ 3/                           2.0       0.7        3.0      -0.2       3.0         1.7      1.3       1.7      1.9
  Domestic                                                         -5.1       0.7        2.6       1.0       1.5         1.0      0.8       1.0      1.1
  Foreign                                                           7.1       0.0        0.4      -1.2       1.5         0.7      0.5       0.7      0.8
Net incurrence of liabilities                                       4.7       2.9        4.6       1.5       1.2         1.4      0.7       1.0      0.9
  Domestic                                                          4.7       1.3        0.8       0.3       0.7         0.7      0.5       0.5      0.5
  Foreign                                                          -0.3       1.6        3.8       1.1       0.5         0.8      0.2       0.4      0.4
""
Memorandum Items:
 Oil revenue                                                       14.3      12.6      14.1       19.2      17.5       17.0     16.0      15.3     14.6
  Profit transfers from the national oil company to SWF 4/          3.4       3.2       3.8        4.8       4.7        4.4      4.1       3.9      3.7
 Nonoil revenue                                                    14.7      16.3      14.6        9.0      14.1       12.5     12.8      13.1     13.2
  Investment income (from SWF) 4/                                   4.2       3.2       4.3        1.3       4.5        4.9      5.0       4.9      5.0
 Abu Dhabi capital transfers                                        3.7       1.2       1.9        2.0       1.9        1.9      1.9       1.8      1.8
""
 Sources: Country authorities and IMF staff estimates and projections.
 1/ Includes staff estimates of profit transfers from the national oil company to SWF and SWF returns (investment income).
 2/ Includes Abu Dhabi capital transfers (loans and equity to finance development projects).
 3/ Excludes Abu Dhabi capital transfers (loans and equity to finance development projects).
 4/ Staff estimates.
 5/ Excludes staff estimates of SWF investment income.
""
""
""
""
                                                                                                     INTERNATIONAL MONETARY FUND                           27
