V1
URUGUAY
""
""
""
                                               Table 3. Uruguay: Main Fiscal Aggregates
                                                                                                                                       Projections
                                                                         2016     2017     2018    2019     2020       2021    2022     2023     2024     2025    2026
""
"                                                                                             (In billions of pesos, unless otherwise indicated)"
          I. Primary balance NFPS (A+B+C)                                  -4       -2       11        -11     -47      -47      -27        3       12      15      18
              excluding cincuentones transactions                          -4       -2      -12        -34     -60      -56      -27        3       12      15      18
"             A. Primary balance of CG, BPS and NFPE 1/ 2/                  -6       -2       13        -12     -49      -51      -31       -2        7      10      12"
                 Revenues                                                 466      508      573       610      631      705      770     822       877     935     995
                     Taxes CG                                             299      335      365       390      416      480      527     558       593     630     668
                           VAT and excise taxes                           174      193      204       221      238      275      300     317       337     359     381
                           On income and profits                          107      129      143       154      164      190      207     219       233     248     263
                         Other                                             19       13       18         14      15       15       20       22       23      23      24
                     Non tax CG                                            24       26       32         29      30       30       33       35       37      39      42
                     Social security (BPS)                                119      132      163       175      163      175      185     198       210     224     238
                         of which: cincuentones transactions                0        0       23         23      13        9        0        0        0       0       0
                        Primary balance NFPE                               24       16       13         17      22       19       25       31       37      42      47
                   Primary expenditures                                   472      510      560       622      680      756      801     824       869     925     983
                        Current                                           433      474      520       573      635      712      753     774       816     868     923
                            Wages                                          82       89       98       110      118      129      134     136       145     154     164
                            Goods and services                             59       63       70         78      89      113      115     110       110     117     125
                            Social security benefits                      270      302      329       359      402      442      473     496       527     561     596
                            Other                                          23       20       23         26      26       29       31       32       34      36      38
                        Capital                                            39       35       41         49      45       44       48       50       54      57      61
               B. Primary balance of local governments                      1        1         1        -1       2        3        3        3        3       3       4
               C. Primary balance of BSE 3/                                 1       -2       -3          3       0        1        1        1        2       2       2
          II. Primary balance of the BCU 4/                                -1       -1       -2         -1       0       -1       -1       -1       -1      -1      -1
          III. Primary balance of the PS (I+II)                            -6       -4       10        -12     -48      -48      -28        2       11      14      17
          IV. Interest of the PS                                           53       58       66         61      69       82       85       92      100     110     123
               A. NFPS 4/                                                  43       46       51         52      58       59       69       75       83      91     103
               B. BCU 4/                                                   10       12       15          9      11       23       16       16       17      18      20
          V. Overall balance of the PS (III+IV)                           -58      -59      -53        -70    -116     -130     -112      -89      -89     -95    -106
               A. NFPS 4/                                                 -47      -48      -40        -63    -105     -106      -96      -73      -71     -76     -86
                   excluding cincuentones transactions                    -47      -48      -64        -86    -118     -115      -96      -73      -71     -76     -86
              B. BCU 4/                                                   -12      -13      -16        -10     -11      -24      -16      -17      -18     -19     -20
          VI. Overall balance PS excluding cincuentones transactions      -58      -59      -77        -93    -129     -138     -112      -89      -89     -95    -106
"                                                                                              (In percent of GDP, unless otherwise indicated)"
          I. Primary balance NFPS (A+B+C)                                 -0.2    -0.1      0.6     -0.5        -2.1    -1.8    -1.0     0.1        0.4     0.4     0.5
              excluding cincuentones transactions                         -0.2    -0.1     -0.6     -1.6        -2.7    -2.2    -1.0     0.1        0.4     0.4     0.5
"             A. Primary balance of CG, BPS and NFPE 1/ 2/                 -0.3    -0.1      0.7     -0.6        -2.2    -2.0    -1.1    -0.1        0.2     0.3     0.3"
                 Revenues                                                 27.0    27.6     28.9     28.3        28.0    27.4    27.5    27.7       27.8    27.9    27.9
                   excluding cincuentones transactions                    27.0    27.6     27.7     27.2        27.4    27.1    27.5    27.7       27.8    27.9    27.9
