V1
ALBANIA
""
""
"                        Table 2a. Albania: General Government Operations, 2017–26"
                                                                            (Percent of GDP)
                                                       2017       2018       2019     2020      2021           2022             2023          2024       2025       2026
                                                                                                                      Budget
                                                                                                                                 Proj.
""
Total revenue and grants                                27.8        27.5      27.2     26.3       27.4       27.6       28.7      27.5          27.6       27.6       27.5
   Tax revenue                                          25.7        25.6      25.2     24.6       25.6       25.8       26.8      25.8          25.8       25.8       25.8
       VAT                                               9.0         8.8       7.8      8.1        8.5        8.6        8.9       8.6           8.7        8.7        8.7
       Profit tax                                        2.0         2.1       2.2      1.8        1.9        1.9        1.9       1.9           1.9        1.9        1.9
       Excise tax                                        2.9         2.7       2.8      2.8        2.9        2.9        3.0       2.8           2.7        2.6        2.5
       Customs duties                                    0.4         0.4       0.4      0.4        0.4        0.4        0.4       0.4           0.4        0.4        0.4
       Personal income tax                               2.1         2.2       2.7      2.1        2.3        2.4        2.4       2.4           2.4        2.4        2.4
       National taxes                                    2.5         2.4       2.2      2.2        2.3        2.3        2.7       2.3           2.3        2.3        2.3
       Local government revenue 1/                       1.2         1.3       1.4      1.4        1.4        1.4        1.5       1.4           1.4        1.4        1.4
       Social insurance contributions                    5.6         5.7       5.8      6.0        5.9        5.9        6.0       5.8           5.9        6.0        6.0
   Non-tax revenue                                       1.3         1.4       1.5      1.2        1.2        1.2        1.2       1.1           1.2        1.2        1.2
   Grants                                                0.7         0.5       0.5      0.5        0.6        0.6        0.7       0.6           0.6        0.6        0.6
""
Total expenditure                                       29.7        28.8      29.2     33.2       34.2       33.0       34.1      31.3          29.9       29.9       29.9
 Current expenditure                                    24.7        24.0      24.7     26.0       26.5       26.7       27.5      26.1          25.1       25.2       25.2
  Personnel cost 2/                                      4.7         4.5       4.5      4.8        4.8        4.8        4.8       4.8           4.6        4.6        4.6
  Interest                                               2.1         2.2       2.1      2.1        2.2        2.2        2.7       2.3           2.3        2.3        2.4
  Operations & maintenance                               2.8         2.8       2.8      3.0        3.3        3.4        3.4       3.1           2.9        3.0        3.0
  Subsidies                                              0.2         0.1       0.2      0.1        0.1        0.1        0.1       0.1           0.1        0.1        0.1
  Social insurance outlays                              10.5        10.3      10.4     11.1       11.2       11.2       11.4      11.3          10.8       10.7       10.8
  Local government expenditure 2/                        3.0         3.0       3.3      3.2        3.3        3.1        3.2       3.1           3.1        3.1        3.1
  Social protection transfers                            1.5         1.1       1.3      1.8        1.6        1.5        1.5       1.5           1.4        1.4        1.4
  Other current transfers                                                                                     0.4        0.4
 Capital expenditure 3/                                   4.4        4.8        4.4     6.3        7.3        6.1        6.4       4.9           4.6        4.6           4.6
  Domestically financed                                   3.0        3.2        3.0     3.7        4.0        3.5        3.5       3.3           3.0        3.0           3.0
  Foreign financed                                        1.4        1.6        1.4     1.5        1.8        1.6        1.9       1.6           1.5        1.5           1.5
  Earthquake spending                                     0.0        0.0        0.0     1.0        1.6        1.0        1.1       0.0           0.0        0.0           0.0
 Lending minus repayment                                  0.6        0.0        0.1     0.0        0.0        0.0        0.0       0.0           0.0        0.0           0.0
 Reserve and contingency funds                            0.0        0.0        3.1     0.7        0.3        0.2        0.2       0.3           0.2        0.2           0.2
Overall balance 3/                                       -2.0       -1.3       -2.0    -6.8       -6.8       -5.4       -5.4      -3.7          -2.3       -2.3       -2.4
""
""
Financing                                                 2.0        1.3        2.0     6.8        6.8        5.4       -5.4       3.7           2.3        2.3           2.4
  Domestic                                                0.1       -1.6        2.5     3.0        0.4        5.5        5.4       2.8           1.8        3.9           2.3
   Privatization receipts                                 0.0        0.0        0.0     0.0        0.0        0.0        0.0       0.0           0.0        0.0           0.0
   Net borrowing                                          0.5        0.8        1.5     3.0        2.8        2.7        2.7       2.5           2.4        3.4           2.2
   Change in general gov. deposits                       -0.3       -2.1        1.0     0.9       -2.4        2.8        2.7       0.3          -0.6        0.5           0.1
   Other                                                 -0.1       -0.3        0.0    -0.9        0.0        0.0        0.0       0.0           0.0        0.0           0.0
  Foreign                                                 1.9        2.9       -0.5     3.8        6.3       -0.1        0.0       0.9           0.5       -1.6           0.1
     Gross borrowing                                      3.5        6.0        1.3     7.5        8.6        2.0        2.3       4.4           4.3        4.1           4.0
     Amortization                                         1.7        3.2        1.9     3.8        2.3        2.1        2.3       3.5           3.8        5.7           3.9
""
Memorandum Items:
 Primary balance                                          0.1        0.9        0.1    -4.7       -4.5       -3.2       -2.7      -1.5           0.0        0.0        0.0
 Structural primary balance                               0.3        0.9        0.6    -2.8       -2.3       -2.1         …       -1.5           0.0        0.0        0.0
 Government TSA 5/                                        1.4        3.0        1.9     1.1        4.6        1.5         …        1.1           1.7        1.1        1.0
 General government debt 4/5/                            71.9       69.5       67.3    77.2       80.6       79.0         …       78.6          77.6       75.5       74.1
   Direct general government external debt               31.6       30.4       28.8    33.7       37.9       35.9         …       35.2          34.1       31.0       29.7
   Government guaranteed external debt                    1.3        1.8        1.6     2.2        1.9        2.1         …        2.1           1.9        1.8        1.6
 Nominal GDP (billions of leks)                         1551       1637       1692    1618       1769       1868       1867      1965          2072       2184       2301
""
 Sources: Albanian authorities; and IMF staff estimates and calculations.
" 1/ Includes the property tax, the simplified profit tax for small businesses, and other local taxes."
" 2/ There is a structural break in 2017, reflecting the transfer of the Regional Development Fund to the Ministry of Urban Development."
" 3/ The fiscal balance includes guarantees for new loans to the energy sector through 2019 and from 2021, and potential calls of COVID-19 related guarantees from 2021."
 4/ The stock of general government debt includes public guarantees (domestic and external) and arrears from central and local government and VAT refund arrears.
" 5/ The 2021 SDR allocation of $190 million is recorded with the government, increasing both the TSA balance and government external debt."
""
""
""
""
34       INTERNATIONAL MONETARY FUND
