V1
                                                                                                                                           PRINCIPALITY OF ANDORRA
""
""
""
                                           Table 5. Andorra: Central Government Operations
                                                                                              Estimate   Projections
                                                        2017         2018          2019        2020         2021       2022      2023         2024     2025      2026
                                             (millions national currency)
Revenue                                                   519.9        533.9        549.6        511.6       497.5      534.1     564.0        593.1    616.0     637.8
   Tax Revenue                                            364.2        372.6        375.1        306.5       334.7      361.8     382.9        403.3    418.8     434.3
      Income                                               71.3         84.4         88.1         87.7        80.5       85.2      89.6         93.9     97.6     100.7
      Goods and services                                  135.1        128.5        132.9        107.7       117.7      128.1     135.8        143.3    148.8     154.5
      International trade                                 154.0        156.2        150.9        108.1       133.2      145.0     153.7        162.2    168.4     174.8
      Other                                                 3.8             3.6        3.3         3.1          3.3        3.5       3.7         3.9       4.1       4.2
   Grants                                                   0.0             0.0        0.0         0.0          0.0        0.0       0.0         0.0       0.0       0.0
   Other Revenue                                          155.7        161.3        174.5        205.1       162.8      172.3     181.1        189.8    197.2     203.5
""
Expenditure                                               511.5        535.6        544.9        618.2       585.7      571.7     568.4        576.4    589.2     603.0
 Current expenditure                                      462.9        487.8        487.0        549.3       515.2      514.1     510.4        523.6    534.6     546.5
   Wages and salaries                                     159.7        165.6        170.3        176.1       178.3      182.5     186.0        189.6    193.2     197.0
   Goods and services                                      88.3         95.3         92.3         95.4       108.2      102.8     100.7        101.0    101.5     102.0
   Subsidies and transfers                                201.0        213.7        212.0        264.6       214.1      214.9     210.5        220.1    227.2     234.5
   Interest                                                13.8         13.1         12.5         13.2        14.7       13.9      13.2         12.8     12.6      13.0
 Net acquisition of non-financial assets                   48.6         47.8         57.8         68.9        70.5       57.6      58.0         52.8     54.6      56.5
   Net acquisition of fixed assets                         42.4         40.5         47.9         37.4        37.2       40.9      43.4         45.1     46.7      48.3
   Capital transfers                                        6.2             7.4        9.9        31.4        33.3       16.7      14.6          7.6       7.9       8.1
""
Primary balance                                            22.3         11.5         17.2        -93.3       -73.5       -23.7       8.8        29.6     39.5      47.9
Net lending/borrowing                                       8.5             -1.7       4.8      -106.5       -88.2       -37.6      -4.4        16.8     26.9      34.9
""
Financing
 Net acquisition of financial assets                           …              …           …      175.2       131.3       -92.7   -190.2         11.0     21.1      29.1
   Domestic                                                    …              …           …      175.2       131.3       -92.7   -190.2         11.0     21.1      29.1
   External                                                    …              …           …        0.0          0.0        0.0       0.0         0.0       0.0       0.0
 Net incurrence of liabilities                                 …              …           …      281.7       219.5       -55.1   -185.8         -5.8      -5.8      -5.8
   Domestic                                                    …              …           …      169.7      -180.5     -655.1    -185.8         -5.8      -5.8      -5.8
    New Issuances                                              …              …           …      515.5        15.5       15.5      15.5         15.5     15.5      15.5
    Amortizations                                              …              …           …      345.8       196.0      670.6     201.3         21.3     21.3      21.3
  External                                                     …              …           …      112.0       400.0      600.0        0.0         0.0       0.0       0.0
    New Issuances                                              …              …           …      112.0       500.0      600.0        0.0         0.0       0.0       0.0
    Amortizations                                              …              …           …        0.0       100.0         0.0       0.0         0.0       0.0       0.0
                                                  (percent of GDP)
Revenue                                                    19.6         19.6         19.5         20.6        18.8       19.2      19.3         19.4     19.5      19.6
  Tax Revenue                                              13.7         13.7         13.3         12.3        12.7       13.0      13.1         13.2     13.3      13.3
      Income                                                2.7             3.1        3.1         3.5         3.0         3.1       3.1         3.1       3.1       3.1
      Goods and services                                    5.1             4.7        4.7         4.3         4.5         4.6       4.6         4.7       4.7       4.7
      International trade                                   5.8             5.7        5.4         4.4         5.0         5.2       5.3         5.3       5.3       5.4
      Other                                                 0.1             0.1        0.1         0.1         0.1         0.1       0.1         0.1       0.1       0.1
   Grants                                                   0.0             0.0        0.0         0.0          0.0        0.0       0.0         0.0       0.0       0.0
   Other Revenue                                            5.9             5.9        6.2         8.3          6.2        6.2       6.2         6.2       6.3       6.3
""
Expenditure                                                19.3         19.7         19.3         24.9        22.1       20.5      19.4         18.9     18.7      18.5
 Current expenditure                                       17.4         17.9         17.3         22.1        19.5       18.5      17.5         17.1     16.9      16.8
   Wages and salaries                                       6.0             6.1        6.0         7.1          6.7        6.6       6.4         6.2       6.1       6.0
   Goods and services                                       3.3             3.5        3.3         3.8          4.1        3.7       3.4         3.3       3.2       3.1
   Subsidies and transfers                                  7.6             7.8        7.5        10.7          8.1        7.7       7.2         7.2       7.2       7.2
