V1
                                                  Table 8. Argentina: Federal Government Gross Financing Needs and Sources (US$mn)
                                                                                                       2018                                                                                    2019
                                                                                                                                                  2018                                                                                      2019                  2020       2021
                                                                           September         October        November      December                                      Q1            Q2              Q3            Q4
                                                                                                                                       Current           Prog                                                                     Current          Prog
"                              Primary Balance                                       850           787            811          3,259         5,707          6,456             -             -               -             -             -             7,489         (5,019)    (5,888)"
                              Plan Gas Payments                                     -              -             -             -              -                 -            600           -               -             -             600                -          600        300
"                              Interest                                            1,176          1,742          1,325         2,450         6,694          7,546         3,119         5,654           2,657         5,471          16,901          13,572         16,410     13,060"
"                                FX                                                  442          1,027           965          1,621         4,055          4,219         1,730         3,417           1,449         3,338            9,936          8,400         10,637     10,076"
"                                     Non-Financial Public Sector                    102           100            149           169            519               463          194           368             111           364          1,036               415        605        572"
"                                     Financial Public Sector                            4              26            8         629            666               658              74        655                 73        655          1,457          1,345          1,458      1,417"
"                                     IFI                                            117                52        187            95            452               452          332           567             324           314          1,537               954       1,396      1,278"
"                                     Private                                        219           850            620           729          2,418          2,646         1,130         1,828               941       2,006            5,905          5,686          7,178      6,809"
"                                AR$                                                 735           715            360           829          2,639          3,326         1,389         2,237           1,207         2,133            6,966          5,170          5,773      2,984"
"                                     Non-Financial Public Sector                    339           101                3         431            874          1,101             909       1,031               731           972          3,643          1,331          2,819      1,496"
                                     Financial Public Sector                        116                27            99        144            386               626          142           175             171           169           657                720        434        132
"                                     Private                                        280           586            258           255          1,378          1,599             338       1,031               305           992          2,666          3,119          2,520      1,356"
"                              Amortizations                                       5,804          3,729          9,983        12,518       32,034          37,947        18,693        18,281           6,022         6,315          49,311          63,057         35,473     41,772"
"                                FX                                                2,343          2,245          6,925         4,412       15,926          14,009         8,865         8,276           2,620         3,392          23,153          34,080         16,127     27,388"
"                                     Non-Financial Public Sector                    194           122           3,085           70          3,471          3,021         2,827             204             260               45       3,336          1,921           411        271"
"                                     Financial Public Sector                        194           129            336            88            747               420          315               20              46        -             380                421        290       9,637"
"                                     IFI                                            263           173            150           191            777               772          530       2,114               516           457          3,618          5,214          2,934      6,616"
"                                     Private LETES                                1,680          1,702          2,529          958          6,869          5,734         3,778         1,062           1,057         2,831            8,728         19,424          5,142      5,142"
"                                     Private Other                                      12        119            826          3,105         4,062          4,062         1,415         4,876               741               59       7,091          7,100          7,350      5,722"
"                                AR$                                               3,461          1,484          3,057         8,106       16,108          23,939         9,828        10,005           3,401         2,923          26,158          28,978         19,347     14,384"
"                                     Non-Financial Public Sector                    300                9             14       2,498         2,821          6,411         1,443         1,660                   3              3       3,108         11,780          2,016       525"
"                                     Financial Public Sector                      1,178           624           1,944         4,551         8,296         12,193         4,449         3,250               308           816          8,823          8,921          2,095      1,947"
"                                     Private LETES                                1,319           835           1,083         1,039         4,276          4,254         2,824         3,728           3,037         2,051          11,640           3,790          7,963      9,936"
"                                     Private Other                                  664                16            16         18            714          1,081         1,112         1,367                   54            54       2,587          4,487          7,273      1,976"
"                              IMF Debt Service                                      -              -             -             -              -                 -            272           553             765           440          2,029               -         2,318      4,481"
"                                of which: Amortization                              -              -             -             -              -                 -            -             -               -             -             -                  -          -         1,875"
"                                     Total Needs                                  7,831          6,258         12,119        18,227       44,435          51,949        22,684        24,488           9,443        12,226          68,841          95,661        49,782     53,725"
"                              Deposit drawdown                                      304          3,425           700                        4,429          2,237         2,000             -               -             -            2,000                          -          -"
"                              IFIs                                                  -              -            1,000         1,000         2,000          1,005             -         1,400               700           900          3,000          4,800          2,934      2,866"
"                              Public Sector 1/                                    2,308          1,085          5,531         7,806       16,729          23,610        10,136         6,532           1,459         2,199          20,326          32,613          8,236     14,449"
"                              Private Rollovers                                   1,838          1,336          2,227         2,560         7,961         13,343         4,565         6,068           3,178         3,496          17,306          28,632         26,996     22,775"
"                                FX LETES                                            840           851           1,264          479          3,435          5,740         1,889             584             687       1,981            5,142         18,453          5,142      5,142"
"                                Peso LETES                                          659           417            542           520          2,138          3,513         1,412         2,051           1,974         1,435            6,872          1,059          7,963      9,936"
"                                FX Other                                                6              59        413          1,553         2,031          3,483             707       2,682               481               41       3,912          6,745          6,983      5,722"
"                                Peso Other                                          332                8             8             9          357               607          556           752                 35            38       1,381          2,375          6,909      1,976"
"                              New Debt                                            3,842           900            457           -            5,199         11,754             -             -               -             -             -            29,616          5,500     12,000"
"                                ST Peso                                           3,842           900            457           -            5,199                            -             -               -             -             -                             -          -"
"                                ST FX                                               -                                                         -                              -             -               -             -             -             2,000           -          -"
INTERNATIONAL MONETARY FUND
""
""
""
""
"                                Peso (1+ year mat)                                  -                                                         -           11,000             -             -               -             -             -            15,616          1,000       -"
"                                FX (1+ year mat)                                    -                                                         -                 753          -             -               -             -             -            12,000          4,500     12,000"
"                                     Total Sources                                8,291          6,746          9,915        11,366       36,318          51,949        16,700        14,000           5,336         6,595          42,632          95,661        43,667     52,090"
"                              Total Gap                                            (460)          (488)         2,204         6,861        8,117                    0    5,983        10,487           4,107         5,631          26,208                    0    6,115      1,635"
"                                FX                                                1,449          2,011          1,643         2,675         7,778                        5,535         6,989           2,548         3,839          18,911                          8,817      6,034"
"                                Peso                                              (1,909)       (2,499)          561          4,186           339                            448       3,498           1,559         1,792            7,297                        (2,702)    (4,399)"
""
                              Private Rollover Rates                                50%           50%            50%           50%                              85%          50%           55%             65%           70%                          100%           98%       100%
