V1
REPUBLIC OF ARMENIA
""
""
"                             Table 3b. Armenia: Central Government Operations, 2016–24"
"                                                 (In percent of GDP, unless otherwise specified)"
""
                                                                2016         2017          2018          2019        2020       2021     2022     2023     2024
                                                                 Act.          Act.         Act.                                   Proj.
""
 Total revenue and grants                                        21.4          21.2         22.3          23.5        23.9        23.8    24.0     24.2     24.3
  Total revenue                                                  20.9          21.0         22.2          22.9        23.4        23.6    23.8     24.0     24.2
    Tax revenues                                                 20.1          20.2         20.7          21.8        22.3        22.5    22.7     22.9     23.1
      VAT                                                         6.8           7.0          7.3           7.7         7.9         8.0     8.1      8.1      8.2
"      Profits, simplified and presumptive                         2.6           2.0          2.8           3.0         3.1         3.0     3.0      3.0      3.1"
      Personal income tax                                         6.5           6.1          5.9           5.7         5.7         5.7     5.7      5.7      5.7
      Customs duties                                              1.1           1.3          1.3           1.5         1.2         1.2     1.2      1.2      1.2
      Other                                                       3.2           3.7          3.2           4.0         4.4         4.6     4.7      4.8      4.8
    Social contributions                                          0.3           0.3          0.3           0.3         0.3         0.3     0.3      0.3      0.3
    Other revenue                                                 0.5           0.5          1.2           0.8         0.8         0.8     0.8      0.8      0.8
  Grants                                                          0.6           0.2          0.2           0.6         0.5         0.2     0.2      0.1      0.1
""
 Total expenditure                                               27.0          26.0         24.1          25.0        26.2        25.7    25.9     26.1     26.2
  Expense                                                        23.9          22.0         21.6          22.1        22.1        20.5    20.7     20.9     20.9
    Wages                                                         6.0           5.4          5.1           5.2         5.3         5.2     5.1      5.1      5.1
    Payments to individual pension accts.                         0.5           0.2          0.5           0.9         0.7         0.8     0.8      0.8      0.8
    Subsidies 1/                                                  0.3           0.0          0.4           0.4         0.2         0.2     0.2      0.2      0.2
    Interest                                                      1.9           2.2          2.3           2.4         2.4         2.3     2.2      2.1      2.0
    Social allowances and pensions                                7.5           7.2          7.0           6.9         7.1         7.0     7.0      7.2      7.3
      Pensions/social security benefits                           4.9           4.8          4.9           4.7         4.9         4.9     4.9      5.0      5.0
      Social assistance benefits                                  2.5           2.3          2.1           2.2         2.1         2.1     2.1      2.2      2.3
    Goods and services                                            2.4           1.9          2.1           2.0         2.1         1.8     1.8      2.0      2.1
    Grants                                                        2.0           2.0          1.9           1.5         2.2         2.0     2.0      2.1      2.1
    Other expenditure 2/                                          3.2           3.2          2.4           2.8         2.1         1.1     1.4      1.4      1.4
  Transactions in nonfinancial assets                             3.2           4.0          2.5           2.9         4.1         5.1     5.2      5.2      5.3
    Acquisition of nonfinancial assets                            3.3           4.0          2.5           2.9         4.1         5.1     5.2      5.2      5.3
    Disposals of nonfinancial assets                              0.1           0.0          0.1           0.0         0.0         0.0     0.0      0.0      0.0
""
 Overall balance (above-the-line)                                 -5.6         -4.8         -1.8          -1.5        -2.3        -1.9    -1.9     -1.9     -1.9
 Statistical discrepancy                                          -1.1         -0.1          0.5           0.0         0.0         0.0     0.0      0.0      0.0
 Overall balance (below-the-line)                                 -6.7         -4.9         -1.3          -1.5        -2.3        -1.9    -1.9     -1.9     -1.9
""
 Financing                                                         5.9          4.9          1.3           1.5         2.3         1.9     1.9      1.9      1.9
   Domestic financing                                              2.0          1.6          0.7           0.2         2.7         1.0     0.1      0.5      0.8
    Banking system                                                 2.9          1.4          0.7           0.6         3.8         0.9     0.2      0.7      1.0
      CBA                                                         -0.8          0.3         -0.5           0.4         0.4        -0.3     0.0      0.0      0.0
      Commercial Banks                                             3.7          1.1          1.2           0.3         3.4         1.2     0.2      0.7      1.0
    Nonbanks                                                      -0.8          0.1          0.0          -0.4        -1.1         0.0     0.0     -0.1     -0.2
      T-Bills/other                                               -0.3         -0.1         -0.2           0.0        -0.6        -0.2     0.0     -0.1     -0.2
      Promissory note/other                                        0.0         -1.7          0.0           0.0         0.0         0.0     0.0      0.0      0.0
      Net lending                                                 -0.6          1.9          0.2          -0.4        -0.4         0.3     0.0      0.0      0.0
     External financing                                            3.8          3.4          0.6           1.3        -0.5         0.9     1.7      1.4      1.0
       Amortization due                                           -0.7         -0.9         -1.1          -4.2        -2.1        -1.4    -1.4     -1.4     -1.3
       Net lending                                                -1.0         -0.8         -0.8          -0.9        -0.9        -0.9    -0.8     -0.8     -0.8
     Other financing 3/                                            0.9          0.0          0.0           0.0         0.0         0.0     0.0      0.0      0.0
 Memorandum items:
"  Nominal GDP (in billion of drams)                             5,067        5,564         6,005         6,541      7,095       7,636    8,283    8,992    9,751"
  Program balance 4/                                              -8.1         -3.6          -2.6          -2.0       -3.4        -2.5     -2.7     -2.8     -2.7
  Primary balance 5/                                              -5.2         -1.5          -0.1          -0.3       -1.2        -0.1     -0.5     -0.7     -0.7
""
" Sources: Ministry of Finance, Central Bank of Armenia, and Fund staff estimates and projections."
" 1/ In 2016, an additional subsidy of AMD 2 billion is assumed to cover the electricity tariff differential for households and SMEs."
 2/ Includes acquisition of military equipment.
 3/ EFSD financing ($100 million in 2015-17).
 4/ The program balance is measured as below-the-line overall balance minus net lending.
" 5/ Sum of overall balance (above the line), interest expense, and domestic and external net lending."
""
""
""
""
24      INTERNATIONAL MONETARY FUND
