V1
CHAD
"Table 3. Chad: Fiscal Operations of the Central Government, 2017-23"
"(Percent of non-oil GDP, unless otherwise indicated)"
2017            2018                       2019                                2020                                 2021                              2022                           2023
Prel.       Prel.     4th Rev. — Proj.     4th Rev. — Proj.       4th Rev. Proj. 4thRev. — Proj.       Proj.
Total revenue and grants                                                                        17.1          18.3         18.9        18.9        20.9        22.5          21.5       22.5        22.3        22.5          23.3
Revenue                                                                                                                                                        12.8                14.8              15.7              15.8              17.6              19.1                  18.6           19.5             19.4             19.6                20.3
oil’                                                                                                           4.1             6.7           6.9           7.0           8.1           9.7             8.8         9.7          9.4          9.6            9.9
Non-oil                                                                                                                                                                      8.7                    8.1                   8.8                 8.8                  9.4                 9.4                      9.8               9.8              10.0              10.0                  10.4
Tax                                                                                                         7.7            7.5           8.1           8.2           8.7           8.7             9.1         9.1           9.3          9.3            9.7
Non-tax                                                                                                                                                         1.0                   0.6                 0.7                 0.7                 0.7                 0.7                     0.7              0.7                0.7                0.7                   0.7
Grants                                                                                                         4.3             3.5           3.2           3.1            3.3           3.4             2.9         2.9          3.4          3.5            3.8
"Budget support                                                                                          2.1             2.4           1.0           0.9           1,1           1.2             0.6         0.6          0.7          0.7            0.7"
Project grants                                                                                            2.1             1.1            2.2           2.2           2.2           2.2             2.3         2.3          2.7          2.8            3.1
Expenditure                                                                                                                                                      18.0                16.5               18.9              18.9               18.6              19.5                  19.0           20.0             18.7             19.4                18.9
Current                                                                                                                                                               13.7                 12.0               12.7              12.7               12.4              13.1                   12.3            13.3             11.9              12.7                 12.1
Wages and salaries                                                                               7.8            6.4          6.7          6.9          6.4          6.7            6.1         6.4         5.7          6.0            5.6
Goods and services                                                                            1.8           2.0          2.1          2.0          2.1          1.9            2.3        2.4         2.4         2.4           2.4
Transfers and subsidies”                                                                  2.1           2.2         2.5         2.5         2.5         3.3           2.7        3.5         2.7         3.4          3.3
Interest                                                                                                                                              1.9                  1.3                1.4               1.3                14               1.1                   1.2             1.0              1.1               1.0                 0.9
Domestic                                                                                                0.7            0.6           0.4           0.4           0.5           0.5             0.5         0.4          0.4          0.4            0.4
External                                                                                                                                                         1.2                   0.8                 0.9                0.8                 0.9                 0.7                     0.7              0.6                0.7                0.6                   0.5
Memo: Glencore loan (after restructuring)                                                        7.7               0.6             0.7            0.6             0.7            05               0.5          0.4            0.5            0.4              0.3
