V1
CHAD
"Table 3. Chad: Fiscal Operations of the Central Government, 2017-21"
"(Percent of non-oil GDP, unless otherwise indicated)"
2017                     2018                                   2019                                                2020                                                  2021
Prel.            Prel.          5th Rev.         Est.          5th Rev.        Proj.          5th Rev.        Proj.
Total revenue and grants                                                                                                      17.1                         18.3                        18.9                     17.3                       22.5                     19.5                         22.5                     17.9
Revenue                                                                                                                          12.8                      14.9                      15.8                   15.7                      19.1                   15.2                        19.5                   14.4
Oil’                                                                                                4.1                  6.7                  7.0                6.4                  9.7               6.4                   9.7                5.2
Non-oil                                                                                          8.7                  8.1                  8.8                9.4                  9.4               8.8                   9.8                9.2
Tax                                                                                              7.7                  7.5                  8.2                9.0                  8.7               8.4                   9.1                8.8
Non-tax                                                                                                                                       1.0                            0.6                            0.7                         0.4                           0.7                        0.4                              0.7                        0.4
Grants                                                                                                                                                  43                            3.5                            3.1                          1.5                            3.4                        43                              2.9                        3.5
Budget support                                                                         2.1                 2.4                 0.9               0.1                 1.2              2.0                  0.6               1.1
Project grants                                                                                 2.1                   1.1                  2.2                14                  2.2               2.3                   2.3                24
Expenditure                                                                                                                           18.0                       16.5                       18.9                    18.0                      19.5                   21.0                        20.0                   21.3
Current                                                                                                                                               13.7                         12.0                         12.7                      12.5                         13.1                      14.4                           13.3                      14.4
Wages and salaries                                                                7.8                6.4                6.9              7.0               6.7             7.7                 6.4              7.6
Civil Service                                                                   6.0               48               48             48              47             5.5                44             5.5
Military                                                                                        1.8                  1.6                  2.1                2.2                  2.0               2.2                   2.0                2.1        |
Goods and services                                                                  1.8                2.0                2.0              1.6                1.9              1.9                 2.4              2.0
Transfers and subsidies*                                                          2.1                2.2                2.5              2.6               3.3              3.7                 3.5              3.7
Interest                                                                                          1.9                  1.3                  1.3                1.2                  1.1                1.2                   1.0                1.1
Domestic                                                                                     0.7                  0.6                  0.4                0.4                  0.5               0.5                   0.4                0.4
External                                                                                                                                        1.2                            0.8                            0.8                        0.8                           0.7                        0.7                              0.6                        0.7
Memo: Glencore loan (after restructuring)                                          7.17                     0.6                     0.6                  0.6                    0.5                  0.5                      0.4                  0.5
Investment                                                                                       44                  45                  6.3                5.6                  64               6.6                   6.7                7.0
Domestically financed                                                                           0.7                   1.7                   2.3                 3.0                   2.4                 2.4                    2.5                 2.5
Foreign financed?                                                                  3.6                2.8                4.0              2.6               4.0             4.2                 4.2              ot
"Overall balance (incl. grants, commitment)                                     -0.9              1.9              -0.1            -0.8              3.0            -1.5               2.5             -3.4"
