V1
DOMINICA
""
""
            Table 3b. Dominica: The Statement of Operations of the Central Government 1/2/
                                                                              (In percent of GDP)
""
                                                                                                                                                   Projected
                                                                   2012        2013      2014       2015       2016     2017     2018     2019      2020     2021      2022      2023
""
                                                                                                        (in percent of GDP)
Revenue                                                               30.3       30.0       27.1       31.5     47.1     46.8     37.0     34.8       27.8     27.2      27.3      27.3
  Taxes                                                               22.2       21.8       22.1       22.7     23.5     18.9     20.1     21.7       22.3     22.4      22.6      22.6
    Taxes on income                                                    4.3        4.2        4.2         4.7     4.4      3.2      3.1      3.5        3.9      3.9       4.1       4.1
    Taxes on property                                                  0.5        0.5        0.5         0.5     0.6      0.4      0.4      0.6        0.6      0.6       0.6       0.6
    Taxes on goods and services                                       13.1       12.8       12.9       12.9     13.4     11.4     11.9     12.8       13.2     13.2      13.2      13.2
    Taxes on international trade and transactions                      4.3        4.2        4.5         4.6     5.1      4.0      4.6      4.8        4.8      4.8       4.8       4.8
  Grants 3/                                                            2.7        3.1        2.0         2.1     0.9      9.1      8.1      6.2        0.9      0.9       0.9       0.9
  Other revenue                                                        5.4        5.1        3.0         6.8    22.7     18.7      8.8      6.8        4.5      3.8       3.8       3.7
    Property income                                                    0.4        0.1        0.1         0.1     0.1      0.0      0.0      0.0        0.0      0.0       0.0       0.0
"    Sales, fees, and fines                                             0.8        0.9        0.8         0.7     0.7      0.6      0.6      0.6        0.6      0.6       0.6       0.6"
"    Other nontax revenue, of which:                                    4.3        4.0        2.0         6.0    21.9     18.0      8.2      6.2        3.9      3.2       3.1       3.1"
      Citizenship-by-Investment                                        3.8        3.6        1.6         4.8    21.6     13.9      7.8      5.8        3.5      2.8       2.8       2.7
Expenditure                                                           35.6       32.8       31.7       32.4     43.3     46.1     41.0     38.9       36.2     34.2      26.3      26.5
  Expense                                                             25.2       23.9       24.8       24.9     27.4     28.8     26.9     25.3       24.7     24.0      23.2      23.4
    Compensation of employees                                         10.9       10.3       11.1       10.1     10.0     12.9     11.5     10.5       10.4      9.9       9.6       9.8
    Purchase of goods and services                                     7.2        6.7        7.0        7.0      8.8      8.6      8.6      8.0        7.6      7.3       6.8       6.8
    Interest                                                           2.0        2.0        1.6        1.9      1.6      1.3      1.9      1.8        1.8      1.9       1.9       1.9
    Grants and social benefits (transfers and subsidies)               5.1        4.9        5.2        5.9      7.0      7.0      5.6      5.2        5.0      5.0       5.0       5.0
    Other expense                                                     -0.1        0.0        0.0        0.0      0.0     -1.1     -0.7     -0.2        0.0      0.0       0.0       0.0
      Net lending                                                     -0.1        0.0        0.0        0.0      0.0     -1.1     -0.7     -0.2        0.0      0.0       0.0       0.0
  Net acquisition of nonfinancial assets                              10.4        8.9        6.8        7.5     15.9     17.3     14.1     13.6       11.5     10.2       3.1       3.1
    Grant-financed capital expenditure                                 2.7        3.1        2.0        2.1      0.9      3.5      3.8      1.8        0.9      0.9       0.9       0.9
    Other capital expenditure                                          7.9        5.8        4.9        5.5     15.0     13.8     10.3     11.8       10.6      9.3       2.2       2.2
    Capital revenue                                                   -0.2        0.0        0.0        0.0      0.0      0.0      0.0      0.0        0.0      0.0       0.0       0.0
Gross operating balance                                                5.1        6.1        2.2        6.6     19.8     18.0     10.1       9.5       3.1      3.1       4.1       3.8
Natural disaster (ND) annualised cost 4/                               0.0        0.0        0.0        0.0      0.0      0.0       1.5      1.5       1.5      1.5       1.5       1.5
"Net lending/borrowing (overall balance, excl. ND cost)                 -5.4      -2.8       -4.6       -0.9      3.8      0.7      -4.0     -4.1      -8.4     -7.0       1.0       0.8"
"Net lending/borrowing (overall balance, incl. ND cost)                 -5.4      -2.8       -4.6       -0.9      3.8      0.7      -5.5     -5.6      -9.9     -8.5      -0.5      -0.7"
Net financial transactions                                             -5.4      -2.8       -4.6       -0.9      3.8      0.7      -5.5     -5.6      -9.9     -8.5      -0.5      -0.7
 Net acquisition of financial assets                                    0.0       0.0        0.0        0.0      0.0     -4.2       2.5      2.4       1.9      3.0      -1.8       0.0
   Currency and deposits                                                0.0       0.0        0.0        0.0      0.0     -4.2       2.5      2.4       1.9      3.0      -1.8       0.0
 Net incurrence of liabilities                                          3.2       2.0       -0.8       -0.1     -2.1      3.6       3.0      3.1       8.0      5.6       2.3       0.7
   Domestic                                                             0.7      -1.8       -0.2       -0.2     -1.1      0.0       0.0      0.0       0.0      0.0       0.0       0.0
   Foreign                                                              2.5       3.8       -0.5        0.1     -1.0      3.6       3.0      3.1       8.0      5.6       2.3       0.7
 Other flows 5/                                                        2.1        0.8        5.4        1.0     -1.8      0.0       0.0      0.0       0.0      0.0       0.0       0.0
Memorandum items:
 Primary balance                                                       -3.4       -0.8       -3.0        1.0      5.4      2.0     -2.1     -2.3       -6.6     -5.2       2.9       2.6
 Primary balance (excl. CBI)                                           -7.2       -4.4       -4.6       -3.8   -16.2    -11.9      -9.9     -8.1     -10.1      -8.0       0.1      -0.1
 Primary balance (excl. CBI and ND cost)                               -7.2       -4.4       -4.6       -3.8   -14.7    -10.4      -8.4     -6.6       -8.6     -6.5       1.6       1.4
 Overall balance (excl. CBI)                                           -9.1       -6.4       -6.2       -5.7   -17.7    -13.2    -11.8      -9.9     -11.9      -9.8      -1.7      -2.0
 Public sector debt 6/                                                72.4       80.1       78.7       75.3     71.7     82.7     87.7     83.3       86.1     87.8      87.1      85.2
   Domestic                                                           19.6       18.5       17.7       17.1     17.1     16.7     16.6     15.2       13.2     12.1      11.4      10.5
     Central Governement                                              17.3       14.8       14.2       13.3     12.0     13.1     13.3     12.1       11.4     10.8      10.4      10.1
     Rest of public sector                                              2.2        3.7        3.5        3.8      5.0      3.6      3.2      3.1        1.9      1.2       1.0       0.4
   Foreign                                                            52.8       61.6       61.0       58.1     54.7     66.0     71.1     68.1       72.8     75.8      75.7      74.7
     Central Governement                                              44.4       46.4       44.7       42.7     40.8     48.2     52.0     50.5       55.2     58.2      58.4      57.2
     Rest of public sector                                              8.4      15.2       16.3       15.4     13.9     17.8     19.1     17.6       17.7     17.6      17.3      17.4
" Nominal GDP, fiscal year (EC$ millions)                             1,342      1,399      1,435      1,507    1,537    1,408    1,383    1,520      1,627    1,707     1,771     1,830"
""
Sources: Dominican authorities; and Fund staff estimates and projections.
 1/ The GFSM 2001 format presentation is an approximation and is based on the GFS 1986 format data.
 2/ Fiscal year (July-June) basis. Figures shown for a given year relate to the fiscal year beginning on July 1 of that year.
 3/ Does not include grants that were received but not spent.
