V1
                                                                                                                           GREECE
""
""
""
"                      Table 3. Greece: General Government Operations, 2017–24   "
""
                                               2017       2018     2019        2020        2021          2022   2023    2024
""
                                                                                           Projections
""
                                                                            (Billions of euros)
""
Revenue                                         87.3       88.3     90.4       91.5        92.6          94.4    96.1    97.4
  Indirect taxes                                30.6       31.3     31.9       32.3        32.9          33.5    34.2    34.5
  Direct taxes                                  17.7       18.6     18.3       18.1        18.2          18.8    19.2    19.8
  Social contributions                          26.0       26.3     26.8       27.6        28.3          29.1    29.8    30.6
  Other current revenue                          5.3        4.1      3.7        3.9         3.9           3.9     3.5     3.1
  Sales                                          5.3        5.3      5.8        5.8         5.8           5.9     6.0     6.0
  Capital revenue                                2.5        2.7      4.0        3.8         3.6           3.3     3.3     3.3
""
Primary expenditure                             79.8       80.6     83.4       85.4        87.2          88.8    90.9    92.5
  Social benefits                               38.4       38.3     38.8       38.9        39.4          40.0    40.8    41.4
  Subsidies                                      1.7        1.6      1.8        1.8         1.8           1.8     1.8     1.7
  Other current expenditure                      2.7        3.4      4.4        4.1         4.2           4.4     4.5     4.5
  Compensation of employees                     21.5       21.7     22.4       23.5        24.0          24.6    25.2    25.9
  Intermediate consumption                       9.2        8.4      9.2        9.6        10.1          10.4    10.8    10.9
  Investment                                     5.0        4.3      4.9        5.5         5.8           5.8     6.0     6.1
  Capital transfers payable                      1.3        2.9      2.0        1.9         1.8           1.8     1.8     1.9
""
Primary balance                                   7.5       7.7      7.0         6.1         5.4          5.5     5.1     4.9
  Cash basis                                      5.5       6.1      6.0         4.0         3.6          3.7     4.2     4.7
Interest                                          5.6       6.1      6.9         7.0         7.0          7.4     7.7     7.8
Overall balance                                   1.9       1.6      0.2        -0.9        -1.6         -1.9    -2.5    -2.8
""
Gross debt 2/                                  323.1      341.4    334.4      334.8       336.3      335.4      332.8   333.8
                                                                            (Percent of GDP)
""
Total primary revenue                           48.5       47.8     47.7       46.8        45.8          45.3    44.9    44.4
  Indirect taxes                                17.0       17.0     16.8       16.5        16.3          16.1    16.0    15.7
  Direct taxes                                   9.8       10.1      9.7        9.3         9.0           9.0     9.0     9.0
  Social contributions                          14.4       14.2     14.2       14.1        14.0          14.0    13.9    13.9
  Other current revenue                          3.0        2.2      1.9        2.0         1.9           1.9     1.6     1.4
  Sales                                          2.9        2.9      3.1        3.0         2.9           2.8     2.8     2.7
  Capital revenue                                1.4        1.5      2.1        2.0         1.8           1.6     1.6     1.5
""
Total primary expenditure                       44.3       43.6     44.0       43.7        43.1          42.7    42.5    42.1
  Social benefits                               21.3       20.7     20.5       19.9        19.5          19.2    19.1    18.9
  Subsidies                                      0.9        0.8      0.9        0.9         0.9           0.9     0.9     0.8
  Other current expenditure                      1.5        1.8      2.3        2.1         2.1           2.1     2.1     2.1
  Compensation of employees                     11.9       11.8     11.8       12.0        11.9          11.8    11.8    11.8
  Intermediate consumption                       5.1        4.6      4.8        4.9         5.0           5.0     5.0     5.0
  Investment                                     2.8        2.3      2.6        2.8         2.8           2.8     2.8     2.8
  Capital transfers payable                      0.7        1.6      1.0        1.0         0.9           0.9     0.9     0.8
""
Primary balance                                   4.1       4.2      3.7         3.1         2.7          2.6     2.4     2.2
  Cash basis                                      3.0       3.3      3.2         2.1         1.8          1.8     2.0     2.1
Interest                                          3.1       3.3      3.6         3.6         3.5          3.6     3.6     3.5
Overall balance                                   1.0       0.9      0.1        -0.5        -0.8         -0.9    -1.2    -1.3
""
Gross debt 2/                                  179.3      184.9    176.5      171.4       166.3      161.0      155.6   152.0
""
Nominal GDP (billions of euros)                180.2      184.7    189.4      195.3       202.2      208.3      213.9   219.6
""
  Sources: ELSTAT; Ministry of Finance; and IMF staff estimates.
  1/ Based on the primary balance definition outlined in the EU enhanced surveillance framework with Greece.
  2/ General government debt includes the stock of deferred interest.
""
""
""
""
                                                                                       INTERNATIONAL MONETARY FUND              35
