V1
HAITI
""
""
""
"                         Table 5b. Haiti: Non-Financial Public Sector Operations, FY2019–25"
                                   (Fiscal year ending September 30; percent of GDP)
                                                                                       FY2019        FY2020       FY2021        FY2022       FY2023        FY2024        FY2025
                                                                                                                      Est.         Proj.        Proj.         Proj.        Proj.
 Total revenue and grants                                                                   8.0          7.5           8.3          8.6           8.8          9.0           8.7
     Domestic revenue                                                                       6.4          6.2           5.9          5.8           6.4          6.7           7.1
      Domestic taxes                                                                        4.3          3.6           4.4          4.1           4.4          4.6           4.8
      Customs duties                                                                        1.6          1.5           1.3          1.5           1.7          1.8           1.9
        Of which: fuel taxes                                                                0.0          0.0           0.0          0.0           0.0          0.0           0.0
      Other current revenue                                                                 0.5          1.1           0.2          0.3           0.3          0.3           0.3
     Grants                                                                                 1.7          1.3           2.4          2.7           2.4          2.3           1.7
      Budget support 1/                                                                     0.0          0.3           0.2          0.1           0.4          0.4           0.4
      Project grants                                                                        1.7          1.0           2.2          2.6           2.0          1.9           1.3
""
 Total expenditure 2/                                                                     10.1           9.9         10.8          10.1         11.1          11.7         11.6
     Current expenditure                                                                    8.0          8.1           7.4          6.6           7.7          8.0           8.2
      Wages and salaries                                                                    3.2          3.1           3.2          3.2           3.3          3.4           3.5
      Goods and services                                                                    1.9          2.2           2.1          1.5           2.1          2.2           2.3
      Interest payments                                                                     0.3          0.2           0.4          0.2           0.2          0.2           0.2
      Transfers and subsidies                                                               2.7          1.9           1.7          1.7           2.1          2.1           2.3
        Of which: Transfers to EDH                                                          1.1          0.8           0.5          0.4           0.4          0.4           0.4
        Of which: Fuel direct subsidies to oil companies                                    1.0          0.6           0.6          1.1           1.1          1.0           1.0
      Exceptional expenditures 3/                                                           0.0          0.6           0.0          0.0           0.0          0.0           0.0
""
     Capital expenditure                                                                    2.1          1.8           3.4          3.5           3.3          3.8           3.3
      Domestically financed                                                                 0.4          0.9           0.9          0.7           1.0          1.4           1.5
      Foreign-financed                                                                      1.7          0.9           2.5          2.8           2.3          2.3           1.8
""
 Central government balance including grants                                               -2.1         -2.4          -2.5         -1.5          -2.3         -2.7          -2.8
     Excluding grants and externally financed projects                                     -2.1         -2.7          -2.4         -1.5          -2.3         -2.6          -2.7
" Primary balance of NFPS, incl. grants and other transfers to EDH                          -1.8         -2.1          -2.2         -1.3          -2.1         -2.5          -2.6"
 Adjustment (unsettled payment obligations)                                                -0.5          0.8          -0.1          0.0           0.0          0.0           0.0
" Overall balance of NFPS, including grants                                                 -1.7         -3.2          -2.4         -1.5          -2.3         -2.7          -2.8"
""
" Financing, NFPS                                                                            1.7          3.2           2.4          1.5           2.3          2.7           2.8"
     External net financing                                                                -0.2         -0.5          -0.3         -0.3          -0.1          0.0           0.1
      Loans (net)                                                                          -0.5         -0.5          -0.2         -0.3          -0.1          0.0           0.1
              Disbursements                                                                 0.0          0.2           0.3          0.2           0.3          0.5           0.5
              Amortization                                                                 -0.6         -0.6          -0.4         -0.5          -0.4         -0.4          -0.4
      Arrears (net)                                                                         0.3          0.0          -0.2          0.0           0.0          0.0           0.0
""
     Internal net financing                                                                 1.9          3.6           2.8          1.9           2.4          2.7           2.7
      Banking system                                                                        0.8          3.5           3.2          2.7           2.4          2.7           2.7
        BRH 4/                                                                              0.8          2.8           2.9          2.2           2.0          2.0           2.0
        Commercial banks                                                                    0.0          0.6           0.2          0.6           0.4          0.7           0.7
      Nonbank financing 5/                                                                  1.1          0.1          -0.4         -0.8           0.0          0.0           0.0
""
 Memorandum items
 Forgone fuel taxes and fuel direct subsidies                                               2.6          2.0           1.9          2.5           2.4          2.2           2.1
     o/w Forgone fuel taxes                                                                 1.6          1.4           1.3          1.4           1.3          1.2           1.1
     o/w Fuel direct subsidies to oil companies                                             1.0          0.6           0.6          1.1           1.1          1.0           1.0
" Health, education and agriculture spending                                                 1.5          2.0           1.7          1.7           1.8          1.8           1.9"
" Nominal GDP (millions of gourdes)                                                   1,244,014    1,449,888     1,699,208    2,149,404     2,558,976    2,944,778      3,374,825"
 Sources: Ministry of Finance and Economy; and Fund staff estimates and projections.
" 1/ Includes previously-programmed multilateral budget support that could be delayed, as well as CCRT debt relief."
" 2/ Commitment basis, except for domestically financed spending, which is reported on the basis of project account replenishments."
 3/ Includes all COVID-related expenditures for FY2020 and FY2021.
 4/ Amounts include RCF financing for FY2020 and the full two-year debt-relief under the CCRT and for FY2021 half of the SDR allocation.
" 5/ Includes the net change in the stock of government securities held by non-banks, of checks that are not yet cashed, of supplier credits and of domestic arrears."
""
""
""
""
28       INTERNATIONAL MONETARY FUND
