V1
HONDURAS
""
""
                         Table 3. Honduras: Statement of Operations of the Central Government
                                                  (In percent of GDP)
""
                                                                  Actual                      Prelim.         Program            Proj.     Program      Proj.                  Projections
                                                               2017          2018               2019                2020                              2021             2022    2023          2024    2025
""
""
 Revenue                                                        20.3          20.3              19.2              17.3           16.0              18.4         17.6   18.8    18.9          19.0    19.1
  Taxes                                                         18.3          18.5              17.5              15.6           14.1              16.8         15.7   17.1    17.1          17.3    17.4
    Taxes on income                                              6.2           6.3               5.7               4.9            4.2               4.9          4.4    4.8     4.8           4.9     5.0
    Taxes on property                                            0.1           0.1               0.1               0.1            0.0               0.1          0.1    0.1     0.1           0.1     0.1
    Taxes on goods and services                                 10.8          10.8              10.6               9.6            9.0              10.6         10.1   10.9    11.0          11.1    11.1
    Taxes on foreign trade                                       0.8           0.8               0.7               0.6            0.5               0.8          0.7    0.8     0.8           0.8     0.8
    Other taxes                                                  0.5           0.5               0.4               0.4            0.4               0.4          0.4    0.4     0.4           0.4     0.4
  Social contributions                                           0.0           0.0               0.0               0.0            0.0               0.0          0.0    0.0     0.0           0.0     0.0
  Grants                                                         0.6           0.7               0.7               0.6            0.6               0.6          0.5    0.6     0.6           0.6     0.6
  Other revenue                                                  1.4           1.1               1.0               1.1            1.2               1.0          1.3    1.2     1.1           1.1     1.1
 Expenditure                                                    23.0          22.4              21.6              23.4           22.1              23.3         22.9   22.1    22.0          21.9    22.0
  Expense                                                       20.2          20.0              19.6              21.2           20.2              20.7         20.9   19.8    19.7          19.5    19.4
    Compensation of employees                                    8.5           8.3               8.3               8.6            8.6               8.4          8.6    8.3     8.3           8.3     8.3
    Purchases of goods and services 1/                           2.7           2.2               2.6               3.3            2.8               3.0          3.0    2.5     2.5           2.5     2.5
    Interest                                                     2.7           3.0               2.8               3.1            3.3               3.3          3.4    3.4     3.3           3.2     3.1
      Domestic                                                   1.7           1.9               1.8               2.0            2.2               2.1          2.3    2.3     2.3           2.4     2.4
      Foreign                                                    1.0           1.1               1.0               1.1            1.1               1.1          1.1    1.1     1.0           0.8     0.8
    Subsidies                                                    0.0           0.2               0.0               0.2            0.2               0.2          0.0    0.0     0.0           0.0     0.0
    Grants                                                       2.6           2.5               2.5               2.3            2.1               2.5          2.3    2.3     2.3           2.3     2.3
      Current                                                    1.5           1.6               1.6               1.4            1.3               1.6          1.3    1.3     1.3           1.3     1.3
      Capital                                                    1.0           0.9               0.9               0.9            0.8               0.9          1.0    1.0     1.0           1.0     1.0
    Social benefits                                              1.9           1.6               1.4               1.7            1.4               1.7          1.5    1.7     1.7           1.8     1.8
    Other expense                                                1.8           2.2               2.0               2.1            1.8               1.7          2.1    1.6     1.6           1.4     1.4
      Current                                                    0.2           0.2               0.3               0.2            0.2               0.2          0.2    0.2     0.2           0.2     0.2
      Capital                                                    1.6           2.0               1.7               1.9            1.6               1.6          1.9    1.4     1.4           1.2     1.2
   Net acquisition of nonfinancial assets                        2.8           2.4               2.0               2.2            1.9               2.7          2.0    2.3     2.3           2.4     2.6
 Gross Operating Balance                                         0.1           0.3              -0.5              -3.9           -4.2              -2.3         -3.3   -1.0    -0.8          -0.5    -0.3
 Net lending (+)/borrowing (-)                                  -2.7          -2.2              -2.5              -6.1           -6.2              -4.9         -5.3   -3.3    -3.2          -2.9    -2.9
 Net financial transactions                                     -2.7          -2.2              -2.5              -6.1           -6.2              -4.9         -5.3   -3.3    -3.2          -2.9    -2.9
  Net acquisition of financial assets                            2.6           1.1               0.0              -0.5            3.1              -0.2          0.0    0.4     0.1           0.4     0.3
    Foreign                                                      0.0           0.0               0.0               0.4            0.0               0.3          0.0    0.0     0.0           0.0     0.0
      Currency and deposits                                      0.0           0.0               0.0               0.0            0.0               0.0          0.0    0.0     0.0           0.0     0.0
      Loans                                                      0.0           0.0               0.0                0.4           0.0                0.3         0.0    0.0     0.0           0.0     0.0
      Other accounts receivable                                  0.0           0.0                   0.0            0.0           0.0                0.0         0.0    0.0     0.0           0.0     0.0
    Domestic                                                     2.6           1.1                   0.0           -0.9           3.1               -0.4         0.0    0.4     0.1           0.4     0.3
      Currency and deposits                                      2.6           1.1                   0.0           -0.9           0.1               -0.4        -0.4    0.1     0.1           0.4     0.3
      Debt securities                                            0.0           0.0                   0.0            0.0           0.0                0.0         0.0    0.0     0.0           0.0     0.0
      Loans                                                      0.0           0.0                   0.0            0.0           3.0                0.0         0.4    0.3     0.0           0.0     0.0
      Other accounts receivable                                  0.0           0.0                   0.0            0.0           0.0                0.0         0.0    0.0     0.0           0.0     0.0
  Net incurrence of liabilities                                  5.3           3.3                   2.5            5.6           9.3                4.8         5.2    3.7     3.2           3.3     3.2
    Foreign                                                      3.6           0.9                   1.5            1.3           3.5                2.1         4.2    0.6     0.1          -1.0    -1.1
      Currency and deposits                                      0.0           0.0                   0.0            0.0           0.0                0.0         0.0    0.0     0.0           0.0     0.0
      Loans                                                      3.7           0.9                   1.5            1.3           3.6                2.1         4.2    0.7     0.1          -1.0    -1.1
                 Disbursment                                     4.8           1.9                   2.5            4.4           6.8                3.3         5.4    2.4     1.9           1.1     1.1
                 Amorizations                                   -1.1          -1.0                  -1.0           -3.1          -3.2               -1.1        -1.2   -1.8    -1.8          -2.1    -2.2
      Other accounts payable                                     0.0           0.0                   0.0            0.0           0.0                0.0         0.0    0.0     0.0           0.0     0.0
      Exceptional financing 2/                                   0.0           0.0                   0.0            0.0           0.0                0.0         0.0    0.0     0.0           0.0     0.0
      Other external                                             0.0           0.0                   0.0            0.0           0.0                0.0         0.0    0.0     0.0           0.0     0.0
