V1
                                                                                                                                                                   JAPAN
""
""
""
"                           Table 7. Japan: General Government Operations, 2014–21"
                                                                 (In Percent of GDP)
                                                                       2014         2015         2016          2017         2018           2019         2020     2021
                                                                                                                                    Est.                   Proj.
""
Total revenue                                                             33.3         34.2         34.3          34.2         33.8           34.0         34.6    34.6
 Taxes 1/                                                                 18.3         18.7         18.5          18.8         18.7           18.9         19.5    19.5
 Social contributions                                                     12.5         12.5         12.8          12.9         12.9           12.9         13.0    13.0
   o/w Social security contributions                                      12.0         12.0         12.4          12.5         12.4           12.4         12.4    12.4
 Other revenue                                                             2.4          3.0          2.9           2.5          2.2            2.2          2.1     2.1
   o/w interest income                                                     1.4          1.4          1.3           1.4          1.4            1.4          1.3     1.3
""
Total expenditure                                                         38.9         38.0         38.0          37.3         37.4           37.6         38.0    37.4
 Expense                                                                  38.1         37.5         37.5          36.8         36.7           36.7         36.9    36.5
   Consumption                                                            11.5         11.2         11.1          10.9         10.9           10.8         10.9    10.8
   Social benefits                                                        21.5         21.2         21.4          21.2         21.4           21.5         21.6    21.7
    o/w Social security benefits                                          19.0         18.8         18.9          18.8         19.0           19.1         19.3    19.4
   Interest                                                                2.2          2.1          2.0           1.9          1.7            1.6          1.3     1.2
   Other expense                                                           3.0          3.0          2.9           2.9          2.7            2.8          3.0     2.7
   (Memo) Compensation of employees 2/                                     5.6          5.4          5.4           5.3           …              …            …       …
   (Memo) Use of goods and services 2/                                     3.4          3.3          3.4           3.3           …              …            …       …
""
 Net investment in nonfinancial assets                                        0.8          0.6          0.5           0.6          0.7            0.9       1.1     0.9
  Gross investment in nonfinancial assets                                     4.2          3.9          3.8           3.9          4.0            4.1       4.3     4.0
    o/w public investment                                                     4.0          3.7          3.6           3.7          3.8            3.9       4.1     3.9
    o/w land acquisition                                                      0.2          0.2          0.2           0.2          0.2            0.2       0.2     0.2
  (less) Consumption of fixed capital                                         3.5          3.4          3.3           3.3          3.3            3.2       3.2     3.2
""
Net lending/borrowing (overall balance)                                   -5.6         -3.8         -3.7          -3.1         -3.6           -3.6         -3.5    -2.8
 Excluding social security fund                                           -6.0         -4.8         -4.9          -4.2         -4.1           -4.1         -4.5    -3.9
Primary balance                                                           -4.9         -3.2         -3.0          -2.7         -3.3           -3.4         -3.5    -2.9
Structural balance 3/                                                     -5.5         -4.3         -4.1          -3.4         -3.4           -3.5         -3.4    -2.7
Structural primary balance 3/                                             -4.7         -3.7         -3.4          -2.9         -3.1           -3.3         -3.4    -2.8
""
Stock positions 4/
  Debt
   Gross 5/                                                              236.1        231.6        236.5         234.6        237.9          239.0        239.8   241.1
   Net                                                                   148.5        147.8        152.7         150.8        154.1          155.2        156.1   157.4
""
 Net worth                                                                13.0          8.9          4.1           7.2              …              …         …       …
 Nonfinancial assets                                                     133.9        129.7        130.0         130.0              …              …         …       …
  Produced assets                                                        110.8        107.9        108.2         108.4              …              …         …       …
  Non-produced assets                                                     23.1         21.8         21.8          21.6              …              …         …       …
 Net financial worth                                                    -120.9       -120.8       -125.9        -122.8              …              …         …       …
""
 Financial assets                                                        118.2        113.8        113.6         114.8              …              …         …       …
"   Monetary Gold and SDR, etc.                                             0.8          0.7          0.7           0.6              …              …         …       …"
   Currency and deposits                                                  12.0         15.1         17.7          16.8              …              …         …       …
   Loans                                                                   5.9          4.4          4.6           4.4              …              …         …       …
   Debt securities                                                        18.4         16.6         16.2          15.1              …              …         …       …
   Equity and investment fund shares                                      30.6         30.0         29.6          31.0              …              …         …       …
     o/w shares                                                           10.3         10.0         10.0          11.4              …              …         …       …
"   Insurance, pension and standardized guarantee schemes                   0.0          0.0          0.0           0.0              …              …         …       …"
   Financial derivatives and employee stock options                        0.0          0.0          0.1           0.0              …              …         …       …
   Other financial assets                                                 50.5         47.1         44.8          46.9              …              …         …       …
""
 Liabilities                                                             239.1        234.5        239.5         237.6              …              …         …       …
"   Monetary Gold and SDR, etc.                                             0.4          0.4          0.4           0.4              …              …         …       …"
   Currency and deposits                                                   0.0          0.0          0.0           0.0              …              …         …       …
   Loans                                                                  32.2         30.8         30.3          29.1              …              …         …       …
   Debt securities                                                       194.6        191.4        197.5         196.6              …              …         …       …
   Equity and investment fund shares                                       3.0          3.0          2.9           2.9              …              …         …       …
"   Insurance, pension and standardized guarantee schemes                   0.0          0.0          0.0           0.0              …              …         …       …"
   Financial derivatives and employee stock options                        0.0          0.0          0.0           0.0              …              …         …       …
   Other liabilities                                                       8.8          9.0          8.5           8.7              …              …         …       …
Memorandum item :
 Nominal GDP (trillion yen)                                              513.9        531.3        535.5         545.9        547.1          556.1        565.4   570.8
""
 Sources: Japan Cabinet Office; IMF staff estimates and projections.
 1/ Including fines.
 2/ Fiscal year basis.
 3/ In percent of potential GDP.
 4/ Market value basis.
 5/ Nonconsolidated basis.
""
""
""
""
                                                                                                              INTERNATIONAL MONETARY FUND                                 55
