V1
LAO PEOPLE’S DEMOCRATIC REPUBLIC
""
""
""
"                 Table 3. Laop P.D.R.: General Government Operations, 2014–2022 (Concluded)"
""
                                        2003/04        2014           2015           2016          2017       2018        2019       2020       2021       2022
                                                                                                    Est.      Proj.       Proj.      Proj.      Proj.      Proj.
""
"                                                      (In percent of CY GDP, unless otherwise indicated)"
 Revenue and Grants                                     21.0           17.9           15.8          16.7      17.0        17.4       17.4       17.1       16.8
        Of which: Resource revenue 1/                    2.1             1.6           1.6           1.7       1.3         2.0        2.1        1.8        1.5
        Nonrenewable resources                           1.3             0.9           0.8           0.9       0.7         1.0        0.9        0.5        0.2
        Renewable resources                              0.8             0.7           0.7           0.9       0.6         1.0        1.2        1.3        1.4
        Nonresource revenue                             14.4           14.0           12.9          13.2      13.8        13.6       13.5       13.4       13.4
  Taxes                                                 13.9           13.1           12.4          12.3      12.3        12.8       12.8       12.4       12.1
     Of which: Resource revenue 1/                       1.7             1.2           1.1           1.3       0.9         1.6        1.6        1.2        0.9
         Nonrenewable resources                          1.2             0.8           0.8           0.8       0.7         1.0        0.9        0.5        0.2
         Renewable resources                             0.4             0.4           0.4           0.5       0.2         0.6        0.7        0.7        0.7
         Nonresource revenue                            12.2           11.9           11.3          11.0      11.5        11.2       11.2       11.2       11.2
""
""
""
      Income and profit taxes                           2.8            2.7             2.6           2.4       2.7         2.9        2.8        2.6        2.4
        Income taxes                                    1.0            1.2             1.3           0.9       1.2         1.3        1.3        1.4        1.5
        Profit taxes                                    1.8            1.5             1.4           1.5       1.5         1.6        1.5        1.2        0.9
          Of which: Mining                              0.6            0.4             0.4           0.4       0.3         0.6        0.6        0.3        0.1
          Of which: Nonmining                           1.3            1.1             1.0           1.1       1.1         1.0        0.9        0.9        0.8
      VAT                                               3.9            3.7             3.3           3.9       3.9         3.9        3.9        4.0        4.0
      Excise duties                                     3.0            2.9             3.1           3.0       3.2         3.1        3.0        2.9        2.8
      Import duties                                     1.3            1.5             1.4           1.0       1.0         1.0        1.1        1.1        1.1
      Royalties                                         1.0            0.7             0.7           0.9       0.5         0.9        0.9        0.8        0.7
        Mining                                          0.7            0.4             0.4           0.4       0.3         0.4        0.3        0.2        0.0
        Hydropower                                      0.3            0.3             0.3           0.5       0.1         0.6        0.6        0.6        0.6
      Other taxes                                       2.0            1.7             1.3           1.1       1.2         0.9        1.0        1.0        1.0
     Other revenues                                     2.7            2.5             2.1           2.6       2.8         2.8        2.9        2.9        2.9
        Of which: Dividends                             0.8            0.6             0.5           0.8       0.7         0.7        0.7        0.9        0.9
        Of which: Resource revenue 1/                   0.5            0.4             0.5           0.4       0.5         0.5        0.5        0.7        0.6
            Nonrenewable resources                      0.1            0.1             0.1           0.0       0.0         0.0        0.1        0.1        0.0
           Renewable resources                          0.4            0.3             0.4           0.4       0.4         0.4        0.5        0.6        0.6
           Nonresource revenue                          2.2            2.1             1.6           2.2       2.3         2.4        2.3        2.2        2.2
     Grants 3/                                          4.5            2.2            1.4           1.8        1.8         1.8        1.8        1.8        1.8
