V1
KINGDOM OF LESOTHO
""
""
""
"             Table 3. Lesotho: Fiscal Operations of the Central Government, 2018/19–2025/261,2"
                                               (Percent of GDP)
                                                                2018/19       2019/20        2020/21    2020/21    2021/22    2022/23    2023/24      2024/25    2025/26
                                                                 Act.           Est.         Budget                              Projections
""
     Revenue                                                        47.4          46.3          50.6       50.0       44.4       42.1          46.3      47.4       48.4
         Tax revenue3                                               21.9          20.9           16.9       17.3       19.6       20.5         21.3       22.1       22.4
"            Taxes on income, profits, and capital gain              12.1          11.3            9.3        9.5       10.4       10.9         11.3       11.7       11.9"
            Taxes on property                                        0.0           0.0            0.0        0.0        0.0        0.0          0.0        0.0        0.0
            Taxes on goods and services                              9.7           9.6            7.6        7.8        9.1        9.6         10.0       10.5       10.5
            Taxes on international trade                             0.1           0.0            0.0        0.0        0.0        0.0          0.0        0.0        0.0
          Grants                                                     4.0           3.5            3.1       3.1        3.1        3.0           3.0       2.9        2.9
             Budget Support                                          0.7           0.7            0.7       0.7        0.6        0.6           0.5       0.5        0.5
             Project grants                                          3.4           2.8            2.4       2.4        2.4        2.4           2.4       2.4        2.4
         Non-tax revenue                                             5.2           4.6            5.1       4.1        4.6        4.9           4.9       4.9        4.9
           Property income                                           2.0           1.5            1.4       1.0        1.5        1.5           1.5       1.5        1.5
           Sales of goods and services                               3.2           3.1            3.8       3.1        3.1        3.3           3.3       3.3        3.3
           Other non-tax revenue                                     0.0           0.0            0.0       0.0        0.0        0.0           0.0       0.0        0.0
         SACU                                                       16.3          17.3           25.4      25.4       17.1       13.7          17.2      17.5       18.2
""
     Expense                                                        39.1          37.7          46.5       47.0       40.5       39.0          37.5      37.5       37.3
      Compensation of employees                                     17.6          16.4          20.3       18.9       18.3       17.3          16.1      15.8       15.5
        Wages and salaries                                          16.1          15.1          18.8       17.6       17.0       16.0          14.8      14.6       14.3
        Social contributions                                         1.5           1.3           1.5        1.3        1.3        1.3           1.2       1.2        1.2
      Use of goods and services                                      9.2           8.8           9.6       11.9        9.3        8.6           8.4       8.4        8.3
      Interest payments                                              1.3           1.3           1.4        1.5        1.7        1.9           2.0       2.0        2.0
        Domestic                                                     0.6           0.7           0.6        0.6        0.8        1.0           1.1       1.2        1.2
        External                                                     0.7           0.6           0.8        0.8        0.9        0.9           0.9       0.9        0.9
      Subsidies                                                      1.0           1.0           3.0        1.5        1.3        1.3           1.2       1.2        1.2
      Grants                                                         3.0           3.2           3.2        3.2        3.2        3.2           3.2       3.2        3.2
      Social benefits                                                5.1           4.7           6.2        7.5        4.9        4.9           4.9       5.1        5.3
      Other expenses                                                 1.9           2.3           2.7        2.5        1.8        1.8           1.8       1.8        1.8
""
     Gross operating balance                                         8.3           8.6            4.1        2.9        3.9        3.2          8.8        9.9      11.1
""
     Non-financial assets                                          12.5           14.2          15.9       10.2       11.8       10.5           9.2       9.8       10.6
      Domestically financed                                         6.9            9.3           9.5        3.8        3.5        3.4           3.5       3.8        4.3
      Externally financed                                           5.6            5.0           9.1        6.5        8.3        7.1           5.7       6.0        6.3
""
     Financing gap                                                   0.0           0.0            0.0        0.0        0.0        0.0          0.0        0.0        0.0
""
     Net lending(+)/borrowing (-) (Overall fiscal balance)          -4.2          -5.6          -11.8       -7.3       -7.9       -7.3         -0.4       0.1        0.5
""
     Transactions in financial assets and liabilities               -6.4          -6.3          -11.8       -7.3       -7.9       -7.3         -0.4        0.1        0.5
      Financial assets                                              -1.6          -5.3           -9.1       -4.1        0.9        0.0          2.4        3.0        3.8
        Domestic                                                    -1.6          -5.3           -9.1       -4.1        0.9        0.0          2.4        3.0        3.8
         Deposits                                                   -1.7          -5.3           -9.1       -4.1        0.9        0.0          2.4        3.0        3.8
           Central bank                                             -1.7          -0.1           -9.1       -4.1        0.9        0.0          2.4        3.0        3.8
           Commercial banks                                          0.0          -5.2           -0.1        0.0        0.0        0.0          0.0        0.0        0.0
         Loans                                                       0.1           0.0            0.0        0.0        0.0        0.0          0.0        0.0        0.0
""
         Financial liabilities                                       4.8           1.0            2.7        3.2        8.8        7.3          2.8        2.9        3.3
           Domestic                                                  3.9           0.4           -1.8       -1.6        1.6        1.4          1.3        1.0        0.9
            of which: Change in domestic arrears                     0.6           0.0           -2.3       -2.3        0.0        0.0          0.0        0.0        0.0
           Foreign                                                   0.9           0.6            4.5        4.8        7.2        5.9          1.5        1.9        2.3
              Disbursements                                          2.3           2.1            5.8        6.7        9.0        7.6          3.3        3.6        3.9
               of which: G20 DSSI                                    0.0           0.0            0.0        0.3        0.0        0.0          0.0        0.0        0.0
               of which: World Bank COVID-19 EPRP                    0.0           0.0            0.0        0.4        0.0        0.0          0.0        0.0        0.0
               of which: unidentified financing                      0.0           0.0            0.0        2.3        3.2        2.9          0.0        0.0        0.0
              Amortization                                           2.3           2.1           -2.3        6.7        9.0        7.6          3.3        3.6        3.9
     Statistical discrepancy                                            2.3            0.7        0.0        0.0        0.0        0.0          0.0        0.0        0.0
     Sources: Lesotho authorities and IMF staff estimates and
     1
         The fiscal year runs from April 1 to March 31.
     2
       Data for 17/18 and 18/19 are presented on a modified cash basis to correctly reflect current year expenses.
     3
       Other taxes are not shown in the table.
""
""
""
""
16         INTERNATIONAL MONETARY FUND
