V1
REPUBLIC OF LITHUANIA
""
""
""
"                               Table 2. Lithuania: General Government Operations, 2015–241"
"                                           (ESA 2010 aggregates, in percent of GDP)"
                                                               2015        2016       2017          2018       2019       2020     2021          2022    2023     2024
                                                                                                                                   Projections
""
     Statement of Operations
""
     Revenue                                                       34.7       34.4           33.6     34.7       35.7       35.8     35.8        35.8      35.7     35.7
     Revenue excluding EU grants                                   32.8       33.6           33.0     33.9       34.5       34.5     34.6        34.7      34.7     34.7
      Tax revenue                                                  17.0       17.3           17.0     17.3       20.6       20.6     20.6        20.7      20.7     20.7
         Direct taxes                                               5.4         5.6           5.4      5.7        8.7        8.8      8.8         8.9       8.9      8.8
           Personal income tax                                      3.8         4.0           3.9      4.1        7.1        7.2      7.2         7.2       7.2      7.2
           Corporate income tax                                     1.5         1.6           1.5      1.5        1.6        1.6      1.6         1.6       1.6      1.6
         Indirect taxes                                            11.6       11.7           11.6     11.6       11.9       11.8     11.8        11.8      11.8     11.9
           VAT                                                      7.7         7.8           7.8      7.8        8.0        8.0      8.0         8.1       8.1      8.1
           Excises                                                  3.1         3.1           3.1      3.2        3.3        3.2      3.2         3.2       3.2      3.2
           Other                                                    0.8         0.8           0.7      0.6        0.6        0.6      0.6         0.6       0.6      0.6
      Social contributions                                         11.9       12.5           12.6     13.1       10.3       10.5     10.5        10.5      10.5     10.5
      Grants                                                        1.9         0.8           0.6      0.8        1.3        1.2      1.2         1.1       1.1      1.0
      Other revenue                                                 3.9         3.8           3.4      3.6        3.6        3.5      3.5         3.5       3.4      3.4
""
     Total expenditure                                             34.9       34.1           33.1     34.0       35.4       35.5     35.7        35.7      35.6     35.6
       Current spending                                            31.1       31.0           29.8     30.7       32.0       32.3     32.4        32.5      32.6     32.8
         Compensation of employees                                  9.6         9.8           9.5      9.8       10.0        9.9      9.9         9.9       9.9      9.9
         Goods and services                                         5.0         4.8           4.6      4.4        4.8        4.8      4.8         4.8       4.8      4.8
         Interest payments                                          1.5         1.3           1.1      0.9        0.9        0.7      0.5         0.4       0.3      0.3
            Foreign                                                 1.5         1.4           1.0      0.8        0.7        0.6      0.5         0.4       0.3      0.3
            Domestic                                                0.0        -0.1           0.1      0.1        0.1        0.1      0.0         0.0       0.0      0.0
         Subsidies                                                  0.4         0.4           0.3      0.4        0.5        0.5      0.5         0.5       0.5      0.5
         Grants                                                     0.9         0.9           0.7      0.7        0.7        0.7      0.7         0.7       0.7      0.7
         Social benefits                                           12.5       12.6           12.6     13.5       14.1       14.7     15.0        15.3      15.4     15.6
         Other expense                                              1.2         1.2           1.0      1.1        1.1        1.1      1.1         1.1       1.1      1.1
       Capital spending                                             3.8         3.1           3.3      3.2        3.4        3.2      3.3         3.1       3.0      2.8
""
     Net lending (+) / borrowing (-)                               -0.2         0.3           0.5      0.7        0.3        0.2      0.1         0.1       0.1      0.1
     Net lending (+) / borrowing (-) excl. one-offs                -0.5         0.2           0.5      0.7        0.3        0.2      0.1         0.1       0.1      0.1
""
     Net acquisition of financial assets                            1.2        -0.1           2.9      0.0        0.0        0.0      0.0         0.0       0.0      0.0
        Domestic                                                    0.2        -0.2           2.9      -0.5       -0.4      -0.4     -0.4         -0.4     -0.4     -0.3
        Foreign                                                     1.1         0.1          -0.1      0.5        0.4        0.4      0.4         0.4       0.4      0.3
""
     Net incurrence of liabilities                                  1.4        -0.4           2.3      -0.7       -0.3      -0.2     -0.1         -0.1     -0.1     -0.1
        Domestic                                                    2.3        -1.8          -1.0      1.8        -0.5      -0.2      0.0         0.0       0.1      0.0
        Foreign                                                    -0.9         1.4           3.3      -2.4       0.1        0.0     -0.1         -0.1     -0.2     -0.1
""
     Financial Balance Sheet
""
     Financial assets                                             109.0      118.5          119.3          …          …       …        …            …        …        …
      Currency and deposits                                        24.2       28.5           38.0          …          …       …        …            …        …        …
      Securities other than shares                                  0.8         0.8           0.5          …          …       …        …            …        …        …
      Loans                                                         1.2         1.5           1.2          …          …       …        …            …        …        …
      Shares and other equity                                      62.8       63.2           58.7          …          …       …        …            …        …        …
      Other financial assets                                       20.0       24.6           20.8          …          …       …        …            …        …        …
                                                                                                           …          …       …        …            …        …        …
     Financial liabilities                                        204.8      208.0          191.4          …          …       …        …            …        …        …
      Currency and deposits                                         4.8         5.5           4.7          …          …       …        …            …        …        …
      Securities other than shares                                148.2      152.2          145.1          …          …       …        …            …        …        …
      Loans                                                        30.6       29.2           24.1          …          …       …        …            …        …        …
      Other liabilities                                            21.0       20.8           17.2          …          …       …        …            …        …        …
                                                                                                           …          …       …        …            …        …        …
      Net financial worth                                         -95.8      -89.5          -72.0          …          …       …        …            …        …        …
""
     Memorandum items:
"      GDP (in millions of euros)                                37,434      38,849     42,191       45,114     47,716     50,172   52,603    55,088      57,604   60,239"
      General government debt (Maastricht def.)                    42.6       39.9           39.4     34.2       32.0       30.2     28.7        27.3      26.0     24.7
         Foreign debt                                              30.8       35.5           34.1     29.5       28.0       26.6     25.3        24.0      22.8     21.7
         Domestic debt                                             11.8         4.4           5.3      4.7        4.0        3.6      3.4         3.2       3.2      3.1
""
      Sources: Ministry of Finance; Ministry of Social Security; and IMF staff estimates.
     1/ Passive projections from 2019 onward. Projections incorporate only announced budgetary measures.
""
""
""
""
28     INTERNATIONAL MONETARY FUND
