V1
MALDIVES
""
""
""
"           Table 2b. Maldives: Central Government Finances, 2007–15 (Baseline Scenario)"
"                                                     (In percent of GDP, unless otherwise specified)"
""
                                                                 2007       2008    2009    2010       2011     2012      2013         2014    2015
                                                                                                        Est.    Proj. Budget   Proj.   Proj.   Proj.
""
 Total revenue and grants                                         38.4      30.8    22.6    23.9       31.0      28.9   32.8    32.4   31.1    30.3
   Revenue (excluding privatization receipts)                     33.1      28.7    20.9    23.4       28.5      27.5   31.3    30.2   29.5    28.8
      Tax revenue                                                 14.7      13.9    10.8    10.7       15.8      20.6     …     22.8   22.5    21.8
         Import duties                                            10.6      10.1     7.3     7.5        8.2       3.8     …      4.6    4.2     4.0
         Airport service charge                                    0.0       0.0     0.0     0.1        1.1       1.0     …      0.8    0.8     0.7
         Business profit tax (BPT)                                 0.0       0.0     0.0     0.0        0.1       4.4     …      3.8    3.8     3.8
         Goods and services tax (GST)                              0.0       0.0     0.0     0.0        2.9       8.1     …     11.5   12.7    12.2
              Of which: General GST                                0.0       0.0     0.0     0.0        0.3       2.9     …      3.3    3.3     3.3
                          Tourism GST 1/                           0.0       0.0     0.0     0.0        2.6       5.2     …      8.2    9.4     8.9
         Tourism tax ($8 bed tax) 1/                               2.8       2.3     2.1     2.2        2.4       2.4     …      1.0    0.0     0.0
         Other                                                     1.4       1.5     1.4     0.9        1.1       0.9     …      1.0    1.0     1.0
      Nontax revenue                                              18.2      14.6    10.1    12.5       12.6       6.8     …      7.3    7.0     7.0
         SOE profit transfers                                      4.0       4.2     2.7     3.9        2.7       1.2     …      1.8    1.9     1.9
"         Royalties, land, and resort rent                          9.4       6.7     4.1     4.6        7.6       3.8     …      3.5    3.2     3.2"
         Other                                                     4.8       3.7     3.3     3.9        2.3       1.7     …      2.0    1.9     1.9
      Capital revenue                                              0.2       0.2     0.1     0.2        0.1       0.1     …      0.1    0.1     0.1
   Grants                                                          5.3       2.1     1.7     0.6        2.5       1.4    1.5     2.2    1.6     1.5
""
 Expenditure and net lending                                      42.0      42.0    43.1    39.6       42.3      42.3   36.8    48.7   43.9    42.8
   Current expenditure                                            33.2      30.8    34.5    30.9       33.7      30.4   26.2    37.4   34.7    33.6
     Of which: Salaries and allowances                            11.1      14.7    18.7    15.3       14.5      13.2     …     13.8   13.2    12.6
"        Transportation, communication, and utilities               5.1       4.3     3.5     3.2        3.0       2.5     …      3.0    3.0     3.0"
        Social welfare contributions                              11.1       4.5     4.6     5.0        4.2       7.0     …      9.0    5.7     5.5
        Repairs and maintenance                                    1.0       0.7     0.5     0.4        0.4       0.4     …      0.6    0.6     0.6
        Subsidies and transfers                                    0.9       2.0     1.7     2.3        6.5       2.7     …      4.1    5.4     5.2
"           Food, medicine, and other                               0.6       1.7     1.3     1.4        4.1       0.8     …      1.8    1.7     1.6"
           Pensions                                                0.3       0.3     0.4     0.9        0.8       0.8     …      0.8    2.3     2.3
        Interest                                                   1.2       1.2     2.4     2.5        2.3       2.7     …      3.9    3.8     3.7
        Other                                                      2.9       3.4     3.1     2.2        2.7       1.9     …      2.9    2.9     2.9
   Capital expenditure                                             8.9      11.9     9.2     9.4        9.7      12.2   10.9    11.7    9.5     9.5
   Net lending                                                    -0.2      -0.7    -0.6    -0.7       -1.1      -0.4   -0.3    -0.3   -0.3    -0.3
""
 Overall balance                                                  -3.6      -11.2   -20.5   -15.6      -11.3    -13.4   -4.0   -16.3   -12.8   -12.4
" Overall balance, excluding grants                                -8.9      -13.4   -22.2   -16.2      -13.7    -14.8   -5.5   -18.5   -14.3   -14.0"
""
 Financing 2/                                                      3.6      11.2    20.5    15.6       11.3      13.4    4.0    16.3   12.8    12.4
    Privatization                                                  0.2       0.2     2.0     4.5        1.2       0.0     …      0.0    0.0     0.0
       External sources                                            0.0       0.0     2.0     4.4        0.0       0.0     …      0.0    0.0     0.0
       Domestic sources                                            0.2       0.2     0.0     0.1        1.2       0.0     …      0.0    0.0     0.0
    External debt                                                  3.5       3.1     3.4     3.1        3.8       7.7     …      7.9    7.4     7.3
    Domestic debt                                                 -0.1       8.0    15.1     8.0        6.3       5.7     …      8.4    5.4     5.2
""
 Memorandum items:
 Current balance                                                  -0.2   -2.2 -13.6    -7.5   -5.2                -3.0     …    -7.2   -5.1   -4.8
 Primary balance                                                  -2.4 -10.1  -18.1  -13.2    -9.0              -10.7      …  -12.4    -9.0   -8.7
 Public and publicly guaranteed debt 3/                          45.3   45.7   58.6   65.7   72.4                80.4      …   86.2   90.9   95.5
    Domestic                                                     18.1   20.8   31.4   37.2   38.9                41.8      …   44.2   44.0   45.5
    External (excluding IMF and currency swaps by MMA)           27.2   24.9   27.2   28.4   33.5                38.6      …   52.9   46.9   50.1
" GDP (in millions of rufiyaa)                                  19,737 24,213 25,403 27,316 31,447              34,012 38,153 36,774 40,640 44,560"
""
 Sources: Maldivian authorities; and IMF staff estimates and projections.
 1/ The bed tax will be eliminated at mid-2013.
 2/ Includes unidentified financing.
 3/ Arrears are not included.
""
""
""
""
22   INTERNATIONAL MONETARY FUND
