V1
REPUBLIC OF MOLDOVA
""
""
""
"                           Table 3a. Moldova: General Government Budget, 2015–2023"
"                                (Millions of Moldovan lei, unless otherwise indicated)"
                                                                        2015       2016      2017            2018               2019        2020        2021        2022        2023
""
                                                                                                         2nd
                                                                                                                    Proj.       Proj.       Proj.       Proj.       Proj.       Proj.
                                                                                                        Review
"        Revenues and grants                                              43,670    45,947    53,379     56,999      57,963      62,157      66,960      72,611      79,072       86,130"
"         Revenues                                                        41,764    44,574    52,371     54,212      56,037      60,661      66,102      72,027      78,434       85,435"
"           Tax revenues                                                  38,758    42,502    49,990     51,895      53,538      58,046      63,459      69,188      75,490       82,355"
"             Personal income                                              2,745     3,182     3,649      3,852       3,951       4,252       4,626       5,059       5,491        5,991"
"             Corporate income                                             2,808     3,363     4,074      4,481       4,551       5,137       5,761       6,439       7,171        7,823"
             Property tax                                                   359       404       546        543         560         577         588         599         617          673
"             VAT                                                         13,714    14,564    16,870     17,294      17,968      19,611      21,584      23,423      25,585       27,912"
"             Excises                                                      3,844     4,546     5,950      5,903       6,165       6,667       7,236       7,981       8,596        9,377"
"             Foreign trade                                                1,328     1,452     1,591      1,585       1,696       1,849       2,062       2,165       2,431        2,652"
"             Other                                                        1,835     1,722     1,796      1,772       1,817       1,850       1,875       1,900       2,072        2,261"
"             Social Fund contributions                                    9,269    10,031    11,866     12,546      12,866      13,842      15,087      16,540      17,996       19,633"
"             Health Fund contributions                                    2,855     3,240     3,648      3,920       3,964       4,262       4,641       5,083       5,530        6,033"
"           Non-tax revenues                                               3,006     2,072     2,381      2,317       2,499       2,615       2,643       2,839       2,945        3,080"
             NBM profit transfers                                           889         0         0          0           0           0           0           0           0            0
"         Grants                                                           1,906     1,373     1,009      2,787       1,926       1,496         858         584         637          695"
"           Budget support                                                     0       953       741      2,189       1,285         648         189         234         255          279"
"           Project                                                        1,906       420       268        598         641         848         668         350         382          417"
""
"        Expenditure and net lending                                      46,502    48,774    54,823     62,264      63,644      69,097      74,135      78,745      85,532       93,178"
"         Current expenditure                                             41,059    43,773    49,091     54,288      55,558      58,572      62,989      67,729      73,588       80,033"
"           Wages                                                         10,530    10,967    12,506     13,769      14,030      14,947      16,097      17,343      18,690       20,390"
"           Goods and services                                            10,151     9,498    10,587     11,645      11,645      12,579      13,578      14,808      16,154       17,624"
"           Interest payments                                              1,099     1,812     1,959      1,962       1,680       1,978       2,242       2,324       2,544        2,878"
"             Domestic                                                       832     1,477     1,581      1,540       1,274       1,405       1,492       1,495       1,668        1,877"
"             Foreign                                                        268       334       378        422         406         572         750         830         876        1,001"
"           Transfers                                                     16,903    18,198    20,383     21,628      22,091      22,443      24,121      26,046      28,579       31,342"
"             Transfers to economy 1/                                      2,126     1,799     2,417      2,134       2,620       2,860       3,118       3,400       3,709        4,047"
"             Transfers to households                                     14,777    16,399    17,966     19,494      19,471      19,583      21,003      22,646      24,869       27,295"
"           Other current expenditure                                      2,376     3,299     3,655      5,285       6,112       6,625       6,953       7,208       7,621        7,800"
"         Capital expenditure                                              5,443     5,000     5,733      7,975       8,087      10,525      11,146      11,016      11,944       13,146"
"           Of which: SOEs onlending projects                                          340       299        550         618       1,201       1,752       1,322       1,442        1,573"
""
"        One-off revenue and expenditure items 2/                               0   -13,341          0         0             0           0           0           0           0           0"
""
"        Augmented overall balance (incl. one-off items) 3/               -2,832    -16,168    -1,444     -5,264     -5,681      -6,940      -7,176      -6,134      -6,461       -7,048"
"        Augmented overall balance (excl. one-off items) 3/               -2,832     -2,827    -1,444     -5,264     -5,681      -6,940      -7,176      -6,134      -6,461       -7,048"
"        Augmented primary balance (excl. one-off items) 3/               -1,816     -1,131       510     -3,591     -4,041      -5,004      -4,938      -3,814      -3,921       -4,175"
""
"        Financing (excl. one-off items)                                   2,832        107      -906      2,489      3,904       5,560       7,176       6,134       6,461        7,048"
"           Budget financing                                                 260     -1,431    -1,750     -1,574       -450       1,729         304         559       1,178        1,277"
"             Central government                                             133       -451    -1,265     -1,380         32       2,066         304         559       1,178        1,277"
"               Net domestic                                                  17       -127      -581         87      1,601       3,601       2,402       2,694       3,265        2,872"
"               Net foreign (excl. project loans)                           -437       -710    -1,187     -2,210     -2,208      -2,354      -2,134      -2,284      -2,237       -1,795"
               Privatization                                                 35        279       153        261        157         337          36         150         150          200
               Others                                                       518        108       350        482        482         482           0           0           0            0
             Local governments                                                0       -794      -285       -194       -277        -337           0           0           0            0
               Privatization                                                 19         18         6          2          5        -337           0           0           0            0
             Social Fund                                                     37        -96      -204          0       -204           0           0           0           0            0
             Health Fund                                                     90        -91         4          0          0           0           0           0           0            0
"           Net project loans                                              2,333      1,538       844      4,063      4,354       3,831       6,871       5,574       5,283        5,771"
"             Of which: Onlending (through commercial banks)                   0        -38      -530       -642       -611      -1,642           0           0           0            0"
"          Financing gap                                                       0      2,719     2,350      2,775      1,776       1,379           0           0           0            0"
"             World Bank                                                       …        889         0      1,061        505         510           0           0           0            0"
             IMF                                                              0        480         0        473        465         472           0           0           0            0
"             Others                                                           …      1,350     2,350      1,241        807         397           0           0           0            0"
          Financing for one-off items
"            Government securities issued                                       0   13,341           0         0             0           0           0           0           0           0"
""
                                                                                                              (Millions of Moldovan lei)
        Memorandum items:
"        Public and publicly guaranteed debt                              54,943    56,793    55,707     67,376      60,874      68,533      75,295      81,580      90,955      100,125"
"         General Government debt                                         47,166    49,594    49,834     62,108      55,490      63,861      71,397      78,561      88,456       98,013"
"           Domestic debt                                                 20,809    21,520    22,579     25,933      23,325      25,494      25,896      28,590      31,855       34,727"
           Domestic expenditure arrears                                     744       101        40          0           0           0           0           0           0            0
"           External debt                                                 25,613    27,973    27,216     36,175      32,165      38,367      45,501      49,971      56,601       63,287"
"         Other 4/                                                         7,777     7,199     5,873      5,268       5,385       4,673       3,898       3,019       2,499        2,112"
""
         Sources: Moldovan authorities; and IMF staff estimates and projections.
"         1/ As of 2016, capital transfers are excluded from transfers to economy and recorded under capital expenditure."
         2/ Includes banking sector resolution costs in 2016.
         3/ Augmented balance includes externally financed on-lending to SOEs.
         4/ Includes mainly central bank liabilities to the IMF.
""
""
""
""
24   INTERNATIONAL MONETARY FUND
