V1
REPUBLIC OF MOLDOVA
""
""
""
"          Table 4. Moldova: Accounts of the National Bank of Moldova and Monetary Survey,"
                                             2012–2020
"                                             (Millions of Moldovan lei, unless otherwise indicated)"
                                                             2012      2013      2014       2015      2016      2017      2018      2019      2020
""
                                                                                                                                  Prelim.     Proj.
""
 National Bank of Moldova
"  Net foreign assets 1/                                    24,690    30,969     27,540    27,826    37,695    42,153    45,700    47,526    46,560"
"   NFA (convertible)                                       24,693    31,006     27,539    27,850    38,041    43,045    46,855    48,513    47,560"
"     Gross reserves                                        30,339    36,829     33,676    34,536    44,078    47,936    51,345    52,654    50,750"
"     Reserve liabilities                                    5,647     5,823      6,137     6,686     6,037     4,891     4,490     4,141     3,190"
""
"     Net domestic assets                                    -4,159    -4,891       182      1,863   -4,419     -5,156    -2,143      -675    -1,841"
"      Net claims on general government                         192       476      -270     -1,163   10,397      7,964     7,956     9,347     9,107"
"      Credit to banks                                       -3,451    -2,340     7,427     13,399   -5,915     -9,217    -6,299    -5,403    -5,781"
"      Other items (net)                                       -900    -3,027    -6,975    -10,373   -8,901     -3,903    -3,800    -4,619    -5,167"
""
"     Reserve money                                         20,531    26,078     27,722    29,689    33,276    36,997    43,557    46,851    44,719"
"      Currency in circulation                              13,241    17,550     17,500    15,509    17,274    19,053    21,077    22,953    23,315"
"      Banks' reserves                                       7,285     8,515     10,222    13,335    15,007    17,240    22,315    23,860    21,404"
"       Required reserves                                    5,202     6,346      6,290    11,521    13,494    16,266    18,656    20,518    20,894"
"       Other reserves                                       2,082     2,169      3,932     1,814     1,513       974     3,659     3,342       510"
""
 Monetary survey
"  Net foreign assets                                       23,141    32,072     43,152    49,300    61,509    67,877    71,780    74,503    76,023"
"   NFA (convertible)                                       23,427    31,731     37,497    43,317    55,633    61,871    65,793    68,481    70,010"
"    Of which: commercial banks                             -1,266       725      9,958    15,466    17,593    18,826    18,938    19,968    22,450"
"    Foreign assets of commercial banks                      4,778    10,496     19,005    22,205    22,274    23,237    22,641    23,342    26,073"
"    Foreign liabilities of commercial banks                -6,044    -9,770     -9,047    -6,739    -4,681    -4,411    -3,703    -3,374    -3,623"
"   NFA (non-convertible)                                     -286       340      5,655     5,984     5,876     6,006     5,987     6,022     6,012"
""
"     Net domestic assets                                    26,372    30,560    22,821     14,705     8,999     9,233    11,378    15,448    16,993"
"      Net claims on general government                       1,004     1,478       821        -99    12,612    11,455    12,353    13,438    17,891"
"      Credit to economy                                     35,948    42,633    41,273     42,721    39,455    38,101    39,656    44,207    42,277"
"        Moldovan lei                                        20,624    25,289    25,173     24,219    21,656    21,657    22,779    27,302    24,102"
"        Foreign exchange                                    15,324    17,343    16,100     18,502    17,798    16,445    16,878    16,905    18,175"
"               in U.S. dollars                               1,270     1,328     1,031        941       891       962       985       982       959"
"      Other items (net)                                    -10,580   -13,551   -19,273    -27,917   -43,068   -40,323   -40,631   -42,198   -43,174"
""
"     Broad money (M3)                                      49,513    62,631     65,973    64,005    70,508    77,110    83,159    89,951    93,015"
"     Broad money (M2: excluding FCD)                       34,915    45,117     43,220    39,260    46,418    53,043    58,334    63,137    58,511"
"      Currency in circulation                              13,241    17,550     17,509    15,509    17,274    19,053    21,077    22,953    23,315"
"      Total deposits                                       36,272    45,081     48,464    48,497    53,245    58,003    62,081    66,997    69,701"
"        Domestic currency deposits                         21,674    27,567     25,711    23,751    29,155    33,937    37,257    40,184    35,196"
"        Foreign currency deposits (FCD)                    14,599    17,514     22,753    24,745    24,090    24,067    24,824    26,814    34,505"
"              in U.S. dollars                               1,210     1,341      1,457     1,259     1,206     1,407     1,448     1,558     1,820"
""
 Memorandum items:
  Reserve money growth (percent change; annual)              19.7      27.0         6.3       7.1     12.1      11.2      17.7        7.6      -4.6
  Broad money growth (percent change; annual)                20.8      26.5         5.3      -3.0     10.2        9.4       7.8       8.2       3.4
"  Credit to economy (percent change, annual)                 16.1      18.6        -3.2       3.5      -7.6      -3.4       4.1     11.5       -4.4"
   in lei                                                    20.1      22.6        -0.5      -3.8    -10.6        0.0       5.2     19.9     -11.7
   in foreign exchange ($ equivalent)                          8.1       4.6     -22.4       -8.7      -5.4       8.0       2.4      -0.2      -2.4
"  Gross international reserves (millions of U.S. dollars    2,515     2,821      2,157     1,757     2,206     2,803     2,995     3,060     2,677"
     Percent of domestic-currency broad money                  87        82         78        88        95        90        88        83        87
"  Net international reserves (millions of U.S. dollars)     2,047     2,375      1,764     1,417     1,904     2,517     2,733     2,819     2,509"
  Broad money multiplier                                       2.4       2.4        2.4       2.2       2.1       2.1       1.9       1.9       2.1
""
     Sources: National Bank of Moldova; and IMF staff estimates and projections.
"     1/ Monetary accounts are presented at actual exchange rates, unless otherwise indicated."
""
""
""
""
14      INTERNATIONAL MONETARY FUND
