V1
                                                                                                                              CANADA
""
""
""
""
"         Table 4. Canada: Statement of General Government Operations and Balance Sheet,"
                                           2010–18   
"                                               (Percent of GDP, unless otherwise indicated)"
""
""
                                              2010        2011        2012         2013       2014    2015    2016    2017    2018
""
""
Government operations
Revenue                                       38.4        38.3        38.5         38.5       38.6    40.0    40.2    40.0    40.2
 Taxes                                        26.5        26.4        26.7         26.6       26.8    28.2    28.5    28.4    28.6
 Social contributions                          4.5         4.5         4.6          4.7        4.6     4.8     4.8     4.6     4.6
 Grants                                        0.1         0.1         0.1          0.1        0.1     0.1     0.1     0.1     0.1
 Other revenue                                 7.2         7.3         7.1          7.2        7.2     7.0     6.8     7.0     7.0
""
Total expenditure                              43.1        41.6        40.9         40.0       38.4    40.0    40.6    40.3    40.6
 Expense                                       41.3        40.4        39.9         39.3       38.2    39.6    40.2    39.7    39.9
   Compensation of employees                   12.4        12.2        12.1         12.1       11.9    12.1    12.2    12.0    12.1
   Use of goods and services                    9.0         8.8         8.7          8.4        8.2     8.5     8.6     8.6     8.6
   Consumption of fixed capital                 3.1         3.1         3.2          3.2        3.2     3.3     3.3     3.2     3.2
   Interest                                     3.7         3.6         3.5          3.4        3.2     3.1     3.0     2.9     3.0
   Subsidies                                    1.1         1.1         1.1          0.9        0.9     0.9     0.9     1.0     0.9
   Grants                                       0.3         0.3         0.3          0.3        0.2     0.2     0.3     0.2     0.2
   Social benefits                              9.6         9.3         9.3          9.2        9.0     9.7    10.0     9.9     9.9
   Other expense                                2.2         2.0         1.8          1.8        1.7     1.7     1.8     1.9     2.0
 Net acquisition of nonfinancial assets         1.8         1.2         1.0          0.7        0.2     0.4     0.4     0.6     0.6
""
Gross operating balance                         0.2         1.1          1.8         2.4        3.6     3.7     3.4     3.5     3.5
Net operating balance                          -2.9        -2.1         -1.5        -0.8        0.4     0.4     0.0     0.3     0.3
Net lending or borrowing                       -4.7        -3.2         -2.5        -1.4        0.2     0.0    -0.4    -0.3    -0.4
""
Balance sheet (market value)
Net worth                                      -1.7        -2.1         -8.7         1.1       -0.5    -3.6     1.5     8.1    10.6
""
Nonfinancial assets                            48.2        50.8        44.8         49.4       46.6    42.7    46.3    46.9    48.2
Net financial worth                           -49.9       -52.8       -53.5        -48.3      -47.1   -46.3   -44.7   -38.8   -37.6
 Financial assets                              62.7        62.2        65.8         67.8       69.4    76.4    77.1    78.1    78.5
   Currency and deposits                        3.2         3.1         3.9          4.5        4.7     5.0     5.4     5.3     5.1
   Securities other than shares                14.7        14.0        14.3         15.4       15.0    16.4    15.6    15.6    16.0
   Loans                                       15.8        15.8        15.7         15.2       14.7    17.0    17.0    16.4    17.5
   Shares and other equity                     17.0        17.2        18.8         20.2       21.8    25.0    26.4    28.6    29.2
   Insurance technical reserves                 0.0         0.0         0.0          0.0        0.0     0.0     0.0     0.0     0.0
   Other accounts receivable                   12.0        12.0        13.0         12.5       13.3    13.0    12.8    12.1    10.6
""
 Financial liabilities 2/                     112.6       115.0       119.3       116.1       116.5   122.7   121.9   116.9   116.1
   Currency and deposits                        0.3         0.3         0.3         0.3         0.3     0.3     0.3     0.3     0.3
   Securities other than shares                75.3        78.6        81.8        78.2        78.4    82.6    83.6    80.2    79.6
   Loans                                        4.2         4.3         4.2         4.4         4.4     4.4     4.4     4.3     4.3
   Shares and other equity                      0.0         0.0         0.0         0.0         0.0     0.0     0.0     0.0     0.0
   Insurance technical reserves                19.1        18.8        18.4        17.5        16.5    17.2    16.3    15.2    15.2
   Other accounts payable                      13.7        13.0        14.6        15.8        17.0    18.1    17.2    16.8    16.8
""
Memorandum items:
"Nominal GDP (in billions of Can$)             1,666       1,774       1,827       1,902       1,995   1,990   2,028   2,142   2,218"
""
""
Sources: Statistics Canada; and Haver Analytics.
1/ Government Finance Statistics basis.
2/ Includes unfunded public sector pension liabilities.
""
""
""
""
                                                                                               INTERNATIONAL MONETARY FUND            45
