V1
GUINEA-BISSAU
""
""
""
"          Table 3a. Guinea-Bissau: Consolidated Operations of the Central Government, 2019–26"
                                              (CFAF billions)
                                                                                      2020          2021       2022        2023        2024    2025    2026
                                                                       2019
                                                                                      Prel.                                   Proj.
""
 Revenue and grants                                                      130.1          134.7       162.0      173.6      190.9        202.6   219.8   236.6
     Tax revenue                                                           79.1           67.8       87.9       98.3      109.3        119.6   130.6   140.9
     Nontax revenue                                                        26.5           32.0       27.0       29.9        32.1        34.5    37.5    39.9
     Grants                                                                24.5           35.0       47.0       45.4        49.5        48.4    51.8    55.9
         Budget support                                                       1.9             0.0     3.7        4.6         4.2         0.0     0.0     0.0
         Project grants                                                    22.6           33.0       42.5       40.8        45.3        48.4    51.8    55.9
         Capital grants from CCRT                                             0.0             2.0     0.9        0.0         0.0         0.0     0.0     0.0
""
 Expenditure                                                             163.2          212.9       206.1      217.1      233.1        241.8   255.2   274.9
     Expense                                                             124.7          137.2       134.4      141.6      149.2        157.6   169.7   180.8
         Wages and salaries                                                46.9           54.3       56.6       56.2        58.5        61.3    65.4    69.1
         Goods and services                                                18.7           21.2       24.4       26.1        27.2        28.5    31.1    33.2
         Transfers                                                         27.1           27.3       23.6       24.5        25.8        28.2    30.5    31.8
         Non regularized spending                                             0.0             0.0     0.0        0.0         0.0         0.0     0.0     0.0
         Interest                                                             9.2         13.9       14.1       18.4        20.6        22.1    23.7    26.3
         Other                                                             22.7           20.5       15.8       16.4        17.0        17.6    19.0    20.4
     Net acquisition of nonfinancial assets                                38.5           75.7       71.7       75.5        83.9        84.3    85.6    94.1
         Domestically financed                                                1.8             9.9    10.0       16.2        20.1        17.3    15.3    19.8
         Foreign financed (including BOAD)                                 36.7           65.7       61.7       59.3        63.8        66.9    70.3    74.3
""
" Overall balance, including grants (commitment)                           -33.1         -78.2       -44.1      -43.5       -42.2       -39.3   -35.4   -38.3"
" Overall balance, excluding grants (commitment)                           -57.6        -113.1       -91.2      -88.8       -91.8       -87.7   -87.2   -94.1"
""
 Change in arrears                                                         -0.5               0.6   -13.7        0.0         0.0         0.0     0.0     0.0
     Domestic arrears1                                                     -2.3           -0.8      -12.3        0.0         0.0         0.0     0.0     0.0
         Accumulation current year                                            9.8             3.3     0.0        0.0         0.0         0.0     0.0     0.0
         Payment previous years (-)                                       -12.1           -4.1      -12.3        0.0         0.0         0.0     0.0     0.0
     Net external arrears                                                     1.8             0.5    -0.5        0.0         0.0         0.0     0.0     0.0
     Net BOAD interest arrears                                                0.0             0.9    -0.9        0.0         0.0         0.0     0.0     0.0
 Float and statistical discrepancy                                         -7.4           -0.2        0.0        0.0         0.0         0.0     0.0     0.0
""
" Overall balance, including grants (cash)                                 -41.0          -77.8      -57.8      -43.5       -42.2       -39.3   -35.4   -38.3"
""
 Financing2                                                                41.0           77.8       47.0       43.5        42.2        39.3    35.4    38.3
     Net acquisition of financial assets (- = build up)                    -2.4          -28.7       11.1        0.0         0.0         0.0     0.0     0.0
         Bank deposits                                                        3.0        -12.8       11.1        0.0         0.0         0.0     0.0     0.0
           BCEAO                                                              0.2         -1.8        0.0        0.0         0.0         0.0     0.0     0.0
           Local commercial banks                                             2.8        -11.1       11.1        0.0         0.0         0.0     0.0     0.0
         Other3                                                            -5.4          -15.9        0.0        0.0         0.0         0.0     0.0     0.0
           of which: Bank recapitalization                                 -3.5               0.0     0.0        0.0         0.0         0.0     0.0     0.0
     Domestic financing                                                    39.6           84.6       30.1       38.0        36.2        31.3    27.9    28.6
           BCEAO credit                                                    -1.2           -2.0       10.1       -1.6        -2.8        -3.1    -4.8    -4.4
            (o/w) IMF                                                      -1.2           -2.0       10.1       -1.6        -2.8        -3.1    -2.6    -2.2
           Other domestic (net)                                            40.7           86.6       20.1       39.6        39.1        34.4    32.7    33.0
            Local commercial banks                                         14.5           17.5      -33.3        0.0         0.0         0.0     0.0     0.0
            Regional commercial banks                                      18.3           48.7       54.6       41.7        44.8        42.6    40.1    39.7
            Regional financing (BOAD)                                         7.9         20.3       -1.3       -2.1        -5.7        -8.2    -7.3    -6.7
""
     Foreign financing (net)                                                  3.8         21.9        5.8        5.5         6.0         7.9     7.5     9.6
         Disbursements                                                        5.5         24.3        9.2        9.3        11.0        12.9    14.0    16.0
           Projects                                                           5.5         24.3        9.2        9.3        11.0        12.9    14.0    16.0
           Programs                                                           0.0             0.0     0.0        0.0         0.0         0.0     0.0     0.0
         Amortization                                                      -1.6           -2.3       -3.4       -3.9        -5.0        -5.0    -6.6    -6.4
         Debt relief                                                          0.0             0.0     0.0        0.0         0.0         0.0     0.0     0.0
""
 Residual financing gap                                                       0.0             0.0    10.8        0.0         0.0         0.0     0.0     0.0
""
""
 Memorandum item:
     Domestic primary balance (commitment)4                               -11.7          -33.5      -15.4      -11.2        -7.3         1.3     6.9     6.4
""
     Sources: Guinea-Bissau authorities; and IMF staff estimates and projections.
     1
         Recorded as arrears when payments were not made for more than 30 days for wages and more than 90 days for other expenditures.
     2
         Financing is on currency basis.
     3
         WARCIP project from 2018 onwards; in 2019 equity investment and bank recapitalization; in 2020 on-lending support to banks.
     4
"         Excludes grants, foreign and BOAD financed capital spending, and interest."
""
""
""
""
26         INTERNATIONAL MONETARY FUND
