V1
ICELAND
""
""
""
"                          Table 5. Iceland: General Government Financial Balance Sheet, 2016–27"
                                                                                           (Percent of GDP)
                                                  2016           2017           2018          2019    2020    2021    2022    2023    2024    2025    2026    2027
                                                                                                      Prel.   Proj.   Proj.   Proj.   Proj.   Proj.   Proj.   Proj.
""
Financial Assets                                   86.7          83.7           78.9          74.2     82.2    75.2   63.7    56.1    51.7    48.0    48.2    42.3
  Currency and deposits                            14.8          11.4           12.5          12.1     16.7    15.1   13.1    12.3    11.6    11.1    14.3    11.1
  Other assets                                    104.4          95.2           89.2          86.1     65.5    60.1   50.6    43.8    40.1    36.9    33.9    31.1
   Securities other than shares                     4.7           5.8            6.7           4.3      4.7     4.3    3.8     3.6     3.4     3.2     3.1      2.9
   Loans                                           35.8          29.1           24.0          23.0     20.8    17.5   15.7    14.7    14.1    13.6    13.0    12.5
   Shares and other equities                       21.0          27.8           27.5          27.6     32.2    31.9   26.2    22.0    20.3    18.9    17.5    16.3
   Other accounts receivable 1/                    42.9          32.5           31.0          31.2      7.7     6.4    4.8     3.5     2.4     1.3     0.3     -0.6
""
Liabilities                                      116.4          105.0           95.6          98.8    114.0   109.7   99.2    92.1    87.7    83.5    82.5    75.0
  Gross debt                                      82.4           71.6           63.1          66.2     77.4    75.0   68.3    63.3    60.5    57.5    57.8    51.4
   Securities other than shares                   62.4           54.6           47.8          48.2     56.3    50.5   44.6    40.7    38.5    36.0    36.9    31.2
   Loans                                          20.0           17.0           15.3          18.1     21.1    24.5   23.7    22.6    22.0    21.5    20.9    20.2
     Krona denominated                            11.7           12.4           10.8          11.7     12.3    13.5   12.9    12.6    12.5    12.5    12.3    12.0
     Foreign currency denominated                  8.3            4.6            4.5           6.4      8.8    11.0   10.7    10.0     9.5     9.0     8.6     8.2
  Other liabilities                               34.0           33.4           32.4          32.6     36.6    34.7   30.8    28.7    27.2    26.0    24.7    23.6
   Insurance technical reserves                   27.7           26.9           26.2          27.0     29.2    26.6   23.6    22.0    20.8    19.9    18.9    18.1
   Other accounts payable                          6.3            6.4            6.2           5.6      7.4     8.1    7.2     6.7     6.4     6.1     5.8     5.5
Net Financial Worth 1/                            -29.7         -21.3          -16.6         -24.6    -31.8   -34.5   -35.5   -36.0   -36.0   -35.5   -34.3   -32.8
Memorandum Item:
 Net debt 2/                                       67.6           60.2          50.7           54.1    60.8    59.9    55.2    51.1    48.9    46.4    43.5    40.3
""
Sources: Ministry of Finance; Statistics Iceland; and IMF staff projections.
1/ Assumes all assets of the institutions reclassified into the general government are financial.
2/ Gross debt less currency and deposits.
""
""
""
""
38        INTERNATIONAL MONETARY FUND
