V1
                                                                                                                           REPUBLIC OF NORTH MACEDONIA
""
""
""
"                    Table 2a. North Macedonia: Central Government Operations, 2016–25"
"                                 (Billions of denars, unless otherwise indicated)"
                                                                 2016     2017     2018     2019           2020                2021         2022         2023         2024         2025
""
                                                                                                      Budget      Proj.        Proj.        Proj.        Proj.        Proj.        Proj.
""
""
""
Total Revenues                                                    169.0   179.4     188.4     203.9     222.3      189.5        219.1        234.1        248.4        262.6         277.5
 Tax Revenues and Contributions                                   150.4   157.5     171.0     178.9     197.2      167.4        193.6        207.0        219.6        232.2         245.4
   PIT                                                             14.2    15.3      17.6      18.7      20.3       18.0         19.5         20.7         22.0         23.2          24.6
   CIT                                                             10.8    11.4      14.7      11.6      16.0        6.5         15.2         17.0         18.0         19.0          20.1
   VAT (net)                                                       45.9    47.9      49.3      52.1      55.7       48.7         56.1         60.7         64.4         68.3          72.1
   Excises                                                         22.2    23.1      25.1      26.1      28.9       25.3         27.1         28.6         30.4         32.1          34.1
   Custom Duties                                                    4.8     5.2       5.6       6.0       6.2        5.5          6.1          6.6          7.0          7.4           7.8
   Other Taxes                                                      2.2     1.9       2.2       2.3       3.0        2.3          2.5          2.6          2.8          2.9           3.1
   Social Contributions                                            50.3    52.9      56.5      62.2      67.0       61.2         67.2         70.7         75.0         79.2          83.6
    Pensions                                                       33.8    35.6      38.0      41.9      45.4       41.5         45.5         47.8         50.8         53.6          56.6
   Unemployment                                                     2.2     2.3       2.4       2.6       2.8        2.6          2.8          2.9          3.1          3.3           3.4
   Health                                                          14.3    15.0      16.1      17.6      18.9       17.2         19.0         19.9         21.1         22.3          23.6
 Non-Tax Revenues                                                 12.97    13.4      12.3      18.8      17.3       16.1         17.5         18.7         19.8         20.9          22.1
 Capital Revenues                                                   2.0     1.3       2.2       2.4       2.2        2.3          2.5          2.7          2.9          3.0           3.2
 Grants                                                             3.6     7.2       3.0       3.9       5.6         3.6          5.4          5.8          6.1          6.5          6.8
""
Expenditures                                                      185.0   196.3     200.0    217.5      239.7      234.2        241.9        256.3        271.8        287.5         303.9
 Current Expenditures                                             168.4   176.7     187.9    199.7      215.9      221.5        222.9        235.4        248.8        262.3         277.3
  Wages and salaries                                               26.0    26.2      26.4     27.8       30.6       28.8         31.5         33.3         35.2         37.2          39.4
  Goods and services                                               16.8    15.3      14.6     16.3       20.6       17.5         18.3         19.3         20.4         21.6          22.8
  Transfers                                                       118.9   126.8     139.3    147.6      156.5      166.8        163.5        172.4        182.1        191.7         202.5
    Pension fund expenditures                                      54.6    58.1      61.2     65.2       68.9       68.9         70.0         73.9         77.9         82.2          86.8
    Health                                                         25.6    27.0      28.9     30.8       33.7       34.6         34.2         36.2         38.4         40.5          42.8
    Other                                                          38.7    41.6      49.1     51.5       53.9       63.4         59.3         62.3         65.8         68.9          72.9
  Interest                                                          6.8     8.4       7.7      8.1        8.3        8.4          9.6         10.3         11.0         11.8          12.6
 Capital Expenditures                                              17.0    19.9      12.1     17.8       23.8       12.7         19.0         20.9         23.1         25.2          26.7
 Lending minus repayment 1/                                        -0.4    -0.3      -0.1      0.0        0.0        0.0          0.0          0.0          0.0          0.0           0.0
""
Overall fiscal balance                                            -16.1   -16.9     -11.6     -13.6     -17.4       -44.7        -22.8        -22.2        -23.5        -25.0        -26.4
Primary fiscal balance                                             -9.3    -8.5      -3.9      -5.5      -9.1       -36.3        -13.2        -11.9        -12.4        -13.2        -13.8
""
Financing                                                          16.1    16.9      11.6      13.6      17.4       44.7         22.8         22.2         23.5         25.0          26.4
"  Domestic, net                                                    -3.4    21.3      -5.3       9.9      -1.0       29.2         24.5          4.2         24.3         16.3          30.4"
   Central Bank deposits                                           -5.3    10.5      -9.6       1.2      -1.1        6.2         -1.3         -1.3         -1.3         -1.3          -1.3
   Other net domestic financing                                     1.9    10.8       4.3       8.7       0.1       23.1         25.8          5.4         25.5         17.6          31.7
  Privatization receipts                                            0.2     0.4       0.3       0.7       0.0        0.0          0.0          0.0          0.0          0.0           0.0
"  Foreign, net                                                     19.3     -4.8     16.6       3.0      18.3        15.5         -1.7         18.0         -0.8          8.6          -4.1"
""
Memo items:
 Gross general government debt (in percent of GDP) 2/              39.8    39.5      40.6      40.2      40.9        46.4         45.9         46.0         46.3         46.8         47.2
 Nominal GDP (billions of denars)                                   595     617       658       698       740         688          747          796          845          892          942
 Stock of government deposits at the NBRM (billions of denars
                                                                     33      22        35       32                        26           27           28           29           31           32
 eop)
 Public and publicly guaranteed debt (in percent of GDP) 2/ 3/     46.7    46.2      47.6      47.8      52.9        55.5         55.7         56.0         55.8         55.8         55.8
""
""
Sources: MoF and IMF staff estimates.
1/ Results from excluding: (i) revenues from lending; and (ii) lending guarantees from current expenditures.
2/ The historical debt ratios differ slightly from the numbers reported by MoF due to using end-year debt in local currency divided by local currency GDP.
3/ Includes general government and non-financial SOEs.
""
""
""
""
                                                                                                                INTERNATIONAL MONETARY FUND                                                11
